GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
0298819c-c447-44f3-9067-433801c5838a	1	62920	16884157	8675	-0.0136
0298819c-c447-44f3-9067-433801c5838a	1	16886219	16951445	51	0.5353
0298819c-c447-44f3-9067-433801c5838a	1	16955930	34637053	10165	-0.0092
0298819c-c447-44f3-9067-433801c5838a	1	34637069	34638890	19	-0.6241
0298819c-c447-44f3-9067-433801c5838a	1	34648667	65432318	19128	-0.0012
0298819c-c447-44f3-9067-433801c5838a	1	65437762	65440582	2	2.0728
0298819c-c447-44f3-9067-433801c5838a	1	65441079	72275051	4437	0.0078
0298819c-c447-44f3-9067-433801c5838a	1	72280850	72351072	66	0.3688
0298819c-c447-44f3-9067-433801c5838a	1	72351338	105079911	20552	0.0114
0298819c-c447-44f3-9067-433801c5838a	1	105080318	105080931	2	2.1962
0298819c-c447-44f3-9067-433801c5838a	1	105084196	105470754	215	-0.0101
0298819c-c447-44f3-9067-433801c5838a	1	105476583	105479753	17	1.2871
0298819c-c447-44f3-9067-433801c5838a	1	105481433	109684695	2614	0.0139
0298819c-c447-44f3-9067-433801c5838a	1	109684893	109702376	14	1.6094
0298819c-c447-44f3-9067-433801c5838a	1	109703504	152583051	9500	0.0048
0298819c-c447-44f3-9067-433801c5838a	1	152583230	152614064	33	1.5252
0298819c-c447-44f3-9067-433801c5838a	1	152614100	152787202	166	-0.0037
0298819c-c447-44f3-9067-433801c5838a	1	152789447	152796224	37	0.7283
0298819c-c447-44f3-9067-433801c5838a	1	152801429	158896783	3582	-0.0016
0298819c-c447-44f3-9067-433801c5838a	1	158898711	158899969	2	2.7818
0298819c-c447-44f3-9067-433801c5838a	1	158905028	169247699	7596	0.0059
0298819c-c447-44f3-9067-433801c5838a	1	169264736	169272528	6	-2.107
0298819c-c447-44f3-9067-433801c5838a	1	169273163	174828177	3490	0.0043
0298819c-c447-44f3-9067-433801c5838a	1	174828195	174832716	11	0.9791
0298819c-c447-44f3-9067-433801c5838a	1	174832734	193187149	12148	0.0114
0298819c-c447-44f3-9067-433801c5838a	1	193187187	193187202	2	2.2099
0298819c-c447-44f3-9067-433801c5838a	1	193187218	196740316	2373	0.009
0298819c-c447-44f3-9067-433801c5838a	1	196740630	196832312	61	0.7125
0298819c-c447-44f3-9067-433801c5838a	1	196832525	243163650	31828	-0.0006
0298819c-c447-44f3-9067-433801c5838a	1	243164636	243187175	8	1.1949
0298819c-c447-44f3-9067-433801c5838a	1	243189078	248930189	3666	0.0253
0298819c-c447-44f3-9067-433801c5838a	2	12784	7499242	5883	-0.0056
0298819c-c447-44f3-9067-433801c5838a	2	7502934	7506841	2	2.558
0298819c-c447-44f3-9067-433801c5838a	2	7506876	32505822	16575	0.0042
0298819c-c447-44f3-9067-433801c5838a	2	32506851	32509219	2	2.2458
0298819c-c447-44f3-9067-433801c5838a	2	32510766	34492013	1461	0.001
0298819c-c447-44f3-9067-433801c5838a	2	34492045	34492775	6	0.6219
0298819c-c447-44f3-9067-433801c5838a	2	34492790	34511990	19	-0.7338
0298819c-c447-44f3-9067-433801c5838a	2	34512096	35742057	860	0.0018
0298819c-c447-44f3-9067-433801c5838a	2	35742319	35772407	11	0.9136
0298819c-c447-44f3-9067-433801c5838a	2	35772438	52527330	12011	0.0095
0298819c-c447-44f3-9067-433801c5838a	2	52527342	52554404	39	0.5281
0298819c-c447-44f3-9067-433801c5838a	2	52560811	75607167	14722	0.0103
0298819c-c447-44f3-9067-433801c5838a	2	75609885	75665711	77	0.3156
0298819c-c447-44f3-9067-433801c5838a	2	75666012	119416560	21900	0.007
0298819c-c447-44f3-9067-433801c5838a	2	119417480	119422789	4	-2.1343
0298819c-c447-44f3-9067-433801c5838a	2	119422990	127099470	4779	0.0078
0298819c-c447-44f3-9067-433801c5838a	2	127100187	127100370	2	2.6587
0298819c-c447-44f3-9067-433801c5838a	2	127101070	208189585	48449	0.01
0298819c-c447-44f3-9067-433801c5838a	2	208190524	208193673	2	2.5039
0298819c-c447-44f3-9067-433801c5838a	2	208195839	228394089	13061	0.0067
0298819c-c447-44f3-9067-433801c5838a	2	228397576	228399698	2	2.2418
0298819c-c447-44f3-9067-433801c5838a	2	228401658	241841244	8314	-0.0151
0298819c-c447-44f3-9067-433801c5838a	2	241973315	242084107	96	-0.9247
0298819c-c447-44f3-9067-433801c5838a	2	242087337	242147305	30	-0.0481
0298819c-c447-44f3-9067-433801c5838a	3	20930	37935926	27373	0.0162
0298819c-c447-44f3-9067-433801c5838a	3	37940617	37945437	18	-0.7413
0298819c-c447-44f3-9067-433801c5838a	3	37945615	60858970	13857	0.0035
0298819c-c447-44f3-9067-433801c5838a	3	60863732	60864509	2	2.1088
0298819c-c447-44f3-9067-433801c5838a	3	60864804	68697013	6127	0.0035
0298819c-c447-44f3-9067-433801c5838a	3	68697108	68699635	16	-0.8815
0298819c-c447-44f3-9067-433801c5838a	3	68699794	75372019	4837	0.0108
0298819c-c447-44f3-9067-433801c5838a	3	75377956	75590356	72	-2.3563
0298819c-c447-44f3-9067-433801c5838a	3	75596233	89336737	7618	0.0135
0298819c-c447-44f3-9067-433801c5838a	3	89337324	89360696	33	0.4766
0298819c-c447-44f3-9067-433801c5838a	3	89360887	133306023	23962	0.0041
0298819c-c447-44f3-9067-433801c5838a	3	133306038	133306053	2	2.3075
0298819c-c447-44f3-9067-433801c5838a	3	133306168	161797809	17326	0.007
0298819c-c447-44f3-9067-433801c5838a	3	161797839	161797861	2	2.1247
0298819c-c447-44f3-9067-433801c5838a	3	161798156	162499233	474	0.051
0298819c-c447-44f3-9067-433801c5838a	3	162500556	162500617	4	1.1523
0298819c-c447-44f3-9067-433801c5838a	3	162500632	162795304	195	0.0568
0298819c-c447-44f3-9067-433801c5838a	3	162795361	162807070	9	-0.93
0298819c-c447-44f3-9067-433801c5838a	3	162810842	162827928	11	0.3332
0298819c-c447-44f3-9067-433801c5838a	3	162828441	162834293	4	-1.4012
0298819c-c447-44f3-9067-433801c5838a	3	162845543	187877506	15266	0.0076
0298819c-c447-44f3-9067-433801c5838a	3	187877590	187877925	2	2.5324
0298819c-c447-44f3-9067-433801c5838a	3	187877952	193160256	3790	0.0148
0298819c-c447-44f3-9067-433801c5838a	3	193160406	193168646	18	-1.0124
0298819c-c447-44f3-9067-433801c5838a	3	193168669	195529851	1461	-0.0059
0298819c-c447-44f3-9067-433801c5838a	3	195532499	195752877	59	-0.4339
0298819c-c447-44f3-9067-433801c5838a	3	195754940	198169247	1158	-0.0033
0298819c-c447-44f3-9067-433801c5838a	4	68929	810466	273	-0.0141
0298819c-c447-44f3-9067-433801c5838a	4	819605	905355	40	-0.4506
0298819c-c447-44f3-9067-433801c5838a	4	916158	10229874	5372	-0.0073
0298819c-c447-44f3-9067-433801c5838a	4	10232590	10232642	2	2.2232
0298819c-c447-44f3-9067-433801c5838a	4	10232984	63828222	33307	0.0059
0298819c-c447-44f3-9067-433801c5838a	4	63831751	63839810	16	0.7276
0298819c-c447-44f3-9067-433801c5838a	4	63839893	68478894	2852	0.0198
0298819c-c447-44f3-9067-433801c5838a	4	68494770	68663241	72	0.7244
0298819c-c447-44f3-9067-433801c5838a	4	68671434	68954565	144	0.0113
0298819c-c447-44f3-9067-433801c5838a	4	68954618	69452478	270	0.1682
0298819c-c447-44f3-9067-433801c5838a	4	69453762	103824414	20785	0.0053
0298819c-c447-44f3-9067-433801c5838a	4	103830473	103830480	5	1.7972
0298819c-c447-44f3-9067-433801c5838a	4	103830487	114252544	6251	0.0061
0298819c-c447-44f3-9067-433801c5838a	4	114254167	114263110	26	1.0179
0298819c-c447-44f3-9067-433801c5838a	4	114263154	115254166	615	0.0062
0298819c-c447-44f3-9067-433801c5838a	4	115254207	115254969	9	0.9893
0298819c-c447-44f3-9067-433801c5838a	4	115259026	160120152	26448	0.0036
0298819c-c447-44f3-9067-433801c5838a	4	160131622	160149615	37	-0.8644
0298819c-c447-44f3-9067-433801c5838a	4	160149637	160958972	591	0.0263
0298819c-c447-44f3-9067-433801c5838a	4	160958989	160963756	19	-0.7492
0298819c-c447-44f3-9067-433801c5838a	4	160963767	172068222	7016	0.0093
0298819c-c447-44f3-9067-433801c5838a	4	172068257	172068382	7	-1.4075
0298819c-c447-44f3-9067-433801c5838a	4	172074828	190106768	11965	0.0097
0298819c-c447-44f3-9067-433801c5838a	5	15532	742574	323	-0.0524
0298819c-c447-44f3-9067-433801c5838a	5	760901	825192	27	-0.942
0298819c-c447-44f3-9067-433801c5838a	5	825538	1890119	567	-0.1125
0298819c-c447-44f3-9067-433801c5838a	5	1891707	5902979	3680	-0.0122
0298819c-c447-44f3-9067-433801c5838a	5	5903291	5903420	2	-3.1632
0298819c-c447-44f3-9067-433801c5838a	5	5903520	10809062	4106	0.0052
0298819c-c447-44f3-9067-433801c5838a	5	10810477	10810492	2	-1.9053
0298819c-c447-44f3-9067-433801c5838a	5	10811362	12785150	1402	-0.0078
0298819c-c447-44f3-9067-433801c5838a	5	12790757	12815668	5	1.5451
0298819c-c447-44f3-9067-433801c5838a	5	12815753	12838421	13	-1.0347
0298819c-c447-44f3-9067-433801c5838a	5	12849089	17608147	3154	-0.0003
0298819c-c447-44f3-9067-433801c5838a	5	17625524	17642176	8	-1.1571
0298819c-c447-44f3-9067-433801c5838a	5	17642442	55648434	20534	0.0102
0298819c-c447-44f3-9067-433801c5838a	5	55648442	55653361	3	1.8318
0298819c-c447-44f3-9067-433801c5838a	5	55654016	76154195	12032	0.0103
0298819c-c447-44f3-9067-433801c5838a	5	76154242	76154319	3	1.968
0298819c-c447-44f3-9067-433801c5838a	5	76154351	176033084	63326	0.0099
0298819c-c447-44f3-9067-433801c5838a	5	176038686	176042504	2	-2.6568
0298819c-c447-44f3-9067-433801c5838a	5	176043321	177771448	719	-0.047
0298819c-c447-44f3-9067-433801c5838a	5	177800550	177805604	3	1.9771
0298819c-c447-44f3-9067-433801c5838a	5	177827964	181363319	1976	-0.0204
0298819c-c447-44f3-9067-433801c5838a	6	149661	29882603	21499	-0.0021
0298819c-c447-44f3-9067-433801c5838a	6	29903859	29933799	16	-0.9031
0298819c-c447-44f3-9067-433801c5838a	6	29940692	31318499	633	-0.0069
0298819c-c447-44f3-9067-433801c5838a	6	31318528	31319724	4	-2.4532
0298819c-c447-44f3-9067-433801c5838a	6	31327629	66301114	19454	0.0022
0298819c-c447-44f3-9067-433801c5838a	6	66301485	66321672	23	0.6522
0298819c-c447-44f3-9067-433801c5838a	6	66321687	73882142	4985	0.0088
0298819c-c447-44f3-9067-433801c5838a	6	73882509	73885038	7	0.984
0298819c-c447-44f3-9067-433801c5838a	6	73887573	78252909	2748	0.0067
0298819c-c447-44f3-9067-433801c5838a	6	78253157	78325223	109	-0.3534
0298819c-c447-44f3-9067-433801c5838a	6	78325310	170741917	59160	0.0045
0298819c-c447-44f3-9067-433801c5838a	7	43355	8786255	5025	-0.0057
0298819c-c447-44f3-9067-433801c5838a	7	8787540	8826227	48	-0.9235
0298819c-c447-44f3-9067-433801c5838a	7	8826367	19158902	8356	0.0317
0298819c-c447-44f3-9067-433801c5838a	7	19159031	19180879	51	0.5115
0298819c-c447-44f3-9067-433801c5838a	7	19181042	38263543	13681	-0.0003
0298819c-c447-44f3-9067-433801c5838a	7	38263833	38356875	118	0.2875
0298819c-c447-44f3-9067-433801c5838a	7	38361356	67164253	14622	0.005
0298819c-c447-44f3-9067-433801c5838a	7	67164342	67204078	15	-1.056
0298819c-c447-44f3-9067-433801c5838a	7	67207129	88892050	12284	0.003
0298819c-c447-44f3-9067-433801c5838a	7	88897077	89340899	310	0.1554
0298819c-c447-44f3-9067-433801c5838a	7	89341606	91578827	1502	0.0213
0298819c-c447-44f3-9067-433801c5838a	7	91589569	91589817	3	-1.97
0298819c-c447-44f3-9067-433801c5838a	7	91595717	91728539	94	0.0113
0298819c-c447-44f3-9067-433801c5838a	7	91728554	91729718	8	1.187
0298819c-c447-44f3-9067-433801c5838a	7	91730021	126406489	20286	0.0054
0298819c-c447-44f3-9067-433801c5838a	7	126406546	126406822	3	1.7673
0298819c-c447-44f3-9067-433801c5838a	7	126406823	142342176	10064	-0.0017
0298819c-c447-44f3-9067-433801c5838a	7	142344216	142747837	234	0.1699
0298819c-c447-44f3-9067-433801c5838a	7	142750453	144207186	782	-0.0002
0298819c-c447-44f3-9067-433801c5838a	7	144249785	144295437	8	1.0969
0298819c-c447-44f3-9067-433801c5838a	7	144306653	159334314	9581	-0.0059
0298819c-c447-44f3-9067-433801c5838a	8	81254	590949	279	-0.095
0298819c-c447-44f3-9067-433801c5838a	8	591776	2844412	1742	-0.0155
0298819c-c447-44f3-9067-433801c5838a	8	2846011	2846377	7	-1.3619
