GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
857e4a9f-c213-4449-806e-9aa2156317f8	1	62920	98588	12	-0.2488
857e4a9f-c213-4449-806e-9aa2156317f8	1	98602	599171	8	0.8796
857e4a9f-c213-4449-806e-9aa2156317f8	1	668210	826738	16	0.0054
857e4a9f-c213-4449-806e-9aa2156317f8	1	833413	855169	7	-1.1584
857e4a9f-c213-4449-806e-9aa2156317f8	1	855630	1696479	167	-0.1134
857e4a9f-c213-4449-806e-9aa2156317f8	1	1696979	1741164	15	-1.3263
857e4a9f-c213-4449-806e-9aa2156317f8	1	1756148	25256850	13766	-0.0039
857e4a9f-c213-4449-806e-9aa2156317f8	1	25266637	25320455	24	0.7937
857e4a9f-c213-4449-806e-9aa2156317f8	1	25336819	37825009	6654	0.006
857e4a9f-c213-4449-806e-9aa2156317f8	1	37828964	37834568	2	-1.5339
857e4a9f-c213-4449-806e-9aa2156317f8	1	37837043	48054240	5829	0.0116
857e4a9f-c213-4449-806e-9aa2156317f8	1	48054495	48055479	6	-1.1549
857e4a9f-c213-4449-806e-9aa2156317f8	1	48056525	103620877	36220	0.0065
857e4a9f-c213-4449-806e-9aa2156317f8	1	103621165	103760781	6	1.0769
857e4a9f-c213-4449-806e-9aa2156317f8	1	103760879	108187137	2867	0.0111
857e4a9f-c213-4449-806e-9aa2156317f8	1	108191613	108192255	2	-3.2526
857e4a9f-c213-4449-806e-9aa2156317f8	1	108194874	108274557	20	-0.5844
857e4a9f-c213-4449-806e-9aa2156317f8	1	108310648	109684893	672	0.0146
857e4a9f-c213-4449-806e-9aa2156317f8	1	109690352	109697556	13	-0.847
857e4a9f-c213-4449-806e-9aa2156317f8	1	109702376	147531237	7788	0.0114
857e4a9f-c213-4449-806e-9aa2156317f8	1	147531740	147536565	2	-1.5221
857e4a9f-c213-4449-806e-9aa2156317f8	1	147536979	152583230	1760	0.0185
857e4a9f-c213-4449-806e-9aa2156317f8	1	152583291	152613762	30	-1.9242
857e4a9f-c213-4449-806e-9aa2156317f8	1	152613802	152619786	15	-0.3991
857e4a9f-c213-4449-806e-9aa2156317f8	1	152619805	152787202	155	0.0019
857e4a9f-c213-4449-806e-9aa2156317f8	1	152789447	152795141	24	-0.2429
857e4a9f-c213-4449-806e-9aa2156317f8	1	152795198	152801429	14	-0.6702
857e4a9f-c213-4449-806e-9aa2156317f8	1	152804279	169247699	11243	0.0077
857e4a9f-c213-4449-806e-9aa2156317f8	1	169264736	169269493	5	-2.7943
857e4a9f-c213-4449-806e-9aa2156317f8	1	169269507	179354603	6593	0.0046
857e4a9f-c213-4449-806e-9aa2156317f8	1	179361393	179364180	4	-1.1878
857e4a9f-c213-4449-806e-9aa2156317f8	1	179370071	224876404	30550	0.0076
857e4a9f-c213-4449-806e-9aa2156317f8	1	224876903	224882466	4	-1.6181
857e4a9f-c213-4449-806e-9aa2156317f8	1	224884525	242881668	12968	-0.0008
