GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
d8e56723-bc82-4b8a-8d91-736117258a38	1	62920	462795	18	-0.6866
d8e56723-bc82-4b8a-8d91-736117258a38	1	462894	969227	49	0.1247
d8e56723-bc82-4b8a-8d91-736117258a38	1	983193	3087793	583	-0.1074
d8e56723-bc82-4b8a-8d91-736117258a38	1	3093405	16868660	8021	-0.0015
d8e56723-bc82-4b8a-8d91-736117258a38	1	16877002	16934716	45	0.5277
d8e56723-bc82-4b8a-8d91-736117258a38	1	16934753	17266911	244	-0.0112
d8e56723-bc82-4b8a-8d91-736117258a38	1	17268401	17292800	21	0.6975
d8e56723-bc82-4b8a-8d91-736117258a38	1	17293514	21572998	2835	-0.0018
d8e56723-bc82-4b8a-8d91-736117258a38	1	21573927	21573951	2	-1.7513
d8e56723-bc82-4b8a-8d91-736117258a38	1	21574330	25256850	2145	-0.0165
d8e56723-bc82-4b8a-8d91-736117258a38	1	25266637	25320455	24	-2.1906
d8e56723-bc82-4b8a-8d91-736117258a38	1	25336819	40556404	8116	0.0003
d8e56723-bc82-4b8a-8d91-736117258a38	1	40562178	40562538	3	-1.6216
d8e56723-bc82-4b8a-8d91-736117258a38	1	40563254	103613180	40516	0.0018
d8e56723-bc82-4b8a-8d91-736117258a38	1	103614539	103717410	11	-1.0874
d8e56723-bc82-4b8a-8d91-736117258a38	1	103717617	104793611	547	-0.0194
d8e56723-bc82-4b8a-8d91-736117258a38	1	104800961	104837352	19	0.295
d8e56723-bc82-4b8a-8d91-736117258a38	1	104843640	105476614	353	0.0092
d8e56723-bc82-4b8a-8d91-736117258a38	1	105476688	105479753	15	0.8715
d8e56723-bc82-4b8a-8d91-736117258a38	1	105481433	109684893	2628	-0.0002
d8e56723-bc82-4b8a-8d91-736117258a38	1	109690352	109697556	13	2.0457
d8e56723-bc82-4b8a-8d91-736117258a38	1	109702376	110833598	831	0.0342
d8e56723-bc82-4b8a-8d91-736117258a38	1	110834746	110841332	36	-0.7832
d8e56723-bc82-4b8a-8d91-736117258a38	1	110841350	111311454	371	0.0047
d8e56723-bc82-4b8a-8d91-736117258a38	1	111311474	111311498	2	-1.3663
d8e56723-bc82-4b8a-8d91-736117258a38	1	111311558	112153880	703	0.017
d8e56723-bc82-4b8a-8d91-736117258a38	1	112153915	112154768	18	-0.6252
d8e56723-bc82-4b8a-8d91-736117258a38	1	112163334	121601998	5140	-0.002
d8e56723-bc82-4b8a-8d91-736117258a38	1	121705338	143942271	129	-0.7938
d8e56723-bc82-4b8a-8d91-736117258a38	1	144432083	152583051	2303	0.0125
d8e56723-bc82-4b8a-8d91-736117258a38	1	152583230	152614064	33	-1.9015
d8e56723-bc82-4b8a-8d91-736117258a38	1	152614100	152790593	187	0.0071
d8e56723-bc82-4b8a-8d91-736117258a38	1	152794991	152796224	17	-0.586
d8e56723-bc82-4b8a-8d91-736117258a38	1	152801429	196745743	29360	0.0024
d8e56723-bc82-4b8a-8d91-736117258a38	1	196758720	196762956	4	-2.1555
d8e56723-bc82-4b8a-8d91-736117258a38	1	196769493	196788990	31	-0.0045
d8e56723-bc82-4b8a-8d91-736117258a38	1	196789019	196913278	79	-0.8164
d8e56723-bc82-4b8a-8d91-736117258a38	1	196915055	208313444	7376	-0.0032
d8e56723-bc82-4b8a-8d91-736117258a38	1	208316136	208316756	3	-1.667
d8e56723-bc82-4b8a-8d91-736117258a38	1	208317550	246638346	26890	-0.0043
d8e56723-bc82-4b8a-8d91-736117258a38	1	246638558	246841508	153	-0.2079
d8e56723-bc82-4b8a-8d91-736117258a38	1	246846583	248930189	1182	0.0226
d8e56723-bc82-4b8a-8d91-736117258a38	2	12784	14565932	11006	0
d8e56723-bc82-4b8a-8d91-736117258a38	2	14566145	14569897	9	-1.2794
d8e56723-bc82-4b8a-8d91-736117258a38	2	14569968	27216883	8267	-0.0021
d8e56723-bc82-4b8a-8d91-736117258a38	2	27218434	27218632	3	-1.6308
d8e56723-bc82-4b8a-8d91-736117258a38	2	27219036	34438376	4714	-0.0085
d8e56723-bc82-4b8a-8d91-736117258a38	2	34438862	34511990	53	-0.4545
d8e56723-bc82-4b8a-8d91-736117258a38	2	34512096	41906416	5585	0.0183
d8e56723-bc82-4b8a-8d91-736117258a38	2	41906436	41906511	2	-2.3181
d8e56723-bc82-4b8a-8d91-736117258a38	2	41907196	52527330	7379	0.0048
d8e56723-bc82-4b8a-8d91-736117258a38	2	52527342	52554404	39	-2.6011
d8e56723-bc82-4b8a-8d91-736117258a38	2	52560811	127084967	41641	0.0019
d8e56723-bc82-4b8a-8d91-736117258a38	2	127085066	127101070	10	-1.0277
d8e56723-bc82-4b8a-8d91-736117258a38	2	127103254	127111397	7	0.233
d8e56723-bc82-4b8a-8d91-736117258a38	2	127118461	127133410	14	-0.402
d8e56723-bc82-4b8a-8d91-736117258a38	2	127138687	128880504	997	-0.0107
d8e56723-bc82-4b8a-8d91-736117258a38	2	128880904	128882741	15	0.5317
d8e56723-bc82-4b8a-8d91-736117258a38	2	128882755	130063181	875	-0.0254
d8e56723-bc82-4b8a-8d91-736117258a38	2	130063277	130116915	7	-0.9549
d8e56723-bc82-4b8a-8d91-736117258a38	2	130117303	159102108	17278	0.0027
d8e56723-bc82-4b8a-8d91-736117258a38	2	159103831	159104461	2	-2.6184
d8e56723-bc82-4b8a-8d91-736117258a38	2	159106775	163786978	2792	0.0063
d8e56723-bc82-4b8a-8d91-736117258a38	2	163787078	163788616	4	-1.1579
d8e56723-bc82-4b8a-8d91-736117258a38	2	163790132	183220725	12208	0.003
d8e56723-bc82-4b8a-8d91-736117258a38	2	183221060	183224417	8	-1.1272
d8e56723-bc82-4b8a-8d91-736117258a38	2	183224996	232371246	29894	0.0018
d8e56723-bc82-4b8a-8d91-736117258a38	2	232371275	232399421	34	-0.4327
d8e56723-bc82-4b8a-8d91-736117258a38	2	232399818	241576690	5976	-0.0067
d8e56723-bc82-4b8a-8d91-736117258a38	2	241576877	241703438	15	-0.5887
d8e56723-bc82-4b8a-8d91-736117258a38	2	241704894	242147305	150	-0.0088
d8e56723-bc82-4b8a-8d91-736117258a38	3	20930	6175287	5405	0.0136
d8e56723-bc82-4b8a-8d91-736117258a38	3	6181626	6208735	74	-0.9155
d8e56723-bc82-4b8a-8d91-736117258a38	3	6212299	6604856	320	-0.0277
d8e56723-bc82-4b8a-8d91-736117258a38	3	6609441	6611645	23	-0.6658
d8e56723-bc82-4b8a-8d91-736117258a38	3	6613391	6761361	121	0.0354
d8e56723-bc82-4b8a-8d91-736117258a38	3	6761791	6762114	3	-1.244
d8e56723-bc82-4b8a-8d91-736117258a38	3	6763152	13579820	5169	-0.0044
d8e56723-bc82-4b8a-8d91-736117258a38	3	13580032	13580411	3	-1.6464
d8e56723-bc82-4b8a-8d91-736117258a38	3	13583399	32999632	13266	-0.0003
d8e56723-bc82-4b8a-8d91-736117258a38	3	33001109	33007329	5	-1.1803
d8e56723-bc82-4b8a-8d91-736117258a38	3	33009209	59807336	15864	-0.0076
d8e56723-bc82-4b8a-8d91-736117258a38	3	59807935	59810199	3	-1.8183
d8e56723-bc82-4b8a-8d91-736117258a38	3	59810815	98180575	22660	0.0029
d8e56723-bc82-4b8a-8d91-736117258a38	3	98189826	98197104	5	-1.2461
d8e56723-bc82-4b8a-8d91-736117258a38	3	98199423	99218940	590	-0.0003
d8e56723-bc82-4b8a-8d91-736117258a38	3	99225614	99230470	37	-0.6125
d8e56723-bc82-4b8a-8d91-736117258a38	3	99230577	130035092	18631	-0.0063
d8e56723-bc82-4b8a-8d91-736117258a38	3	130035506	130201415	78	-0.2694
d8e56723-bc82-4b8a-8d91-736117258a38	3	130202376	162822221	20182	0.0027
d8e56723-bc82-4b8a-8d91-736117258a38	3	162822685	162869490	23	0.4828
d8e56723-bc82-4b8a-8d91-736117258a38	3	162869779	184382716	12935	-0.0022
d8e56723-bc82-4b8a-8d91-736117258a38	3	184390100	184442384	27	-0.3772
d8e56723-bc82-4b8a-8d91-736117258a38	3	184443475	193160256	6175	-0.0016
d8e56723-bc82-4b8a-8d91-736117258a38	3	193160406	193162684	5	0.6034
d8e56723-bc82-4b8a-8d91-736117258a38	3	193162798	193165114	12	1.7522
d8e56723-bc82-4b8a-8d91-736117258a38	3	193168646	195691392	1481	-0.021
d8e56723-bc82-4b8a-8d91-736117258a38	3	195695418	195715711	15	0.9609
d8e56723-bc82-4b8a-8d91-736117258a38	3	195719726	195737444	18	0.2775
d8e56723-bc82-4b8a-8d91-736117258a38	3	195737636	195747892	5	1.2188
d8e56723-bc82-4b8a-8d91-736117258a38	3	195751823	198169247	1164	-0.039
d8e56723-bc82-4b8a-8d91-736117258a38	4	68929	10208766	5675	-0.0202
d8e56723-bc82-4b8a-8d91-736117258a38	4	10221792	10229874	28	2.4496
d8e56723-bc82-4b8a-8d91-736117258a38	4	10232590	10389091	177	0.0264
d8e56723-bc82-4b8a-8d91-736117258a38	4	10390730	10399044	16	-0.7442
d8e56723-bc82-4b8a-8d91-736117258a38	4	10401094	34785541	16744	0.003
d8e56723-bc82-4b8a-8d91-736117258a38	4	34786399	34828250	34	0.4953
d8e56723-bc82-4b8a-8d91-736117258a38	4	34828291	49080266	8927	0.0009
