GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
c00b53a9-bb48-4841-974d-7087eacd5420	1	62920	2916767	559	0.1327
c00b53a9-bb48-4841-974d-7087eacd5420	1	2917178	5958331	2220	0.2407
c00b53a9-bb48-4841-974d-7087eacd5420	1	5963169	7875855	1113	0.1652
c00b53a9-bb48-4841-974d-7087eacd5420	1	7877508	12447808	2382	0.1136
c00b53a9-bb48-4841-974d-7087eacd5420	1	12450255	15155558	1603	0.2341
c00b53a9-bb48-4841-974d-7087eacd5420	1	15157969	15822848	433	0.0771
c00b53a9-bb48-4841-974d-7087eacd5420	1	15823420	15827002	2	0.9029
c00b53a9-bb48-4841-974d-7087eacd5420	1	15827041	15827430	5	-2.0411
c00b53a9-bb48-4841-974d-7087eacd5420	1	15827706	16679239	332	0.0403
c00b53a9-bb48-4841-974d-7087eacd5420	1	16679281	19047111	1607	0.2095
c00b53a9-bb48-4841-974d-7087eacd5420	1	19047958	19846770	544	0.0813
c00b53a9-bb48-4841-974d-7087eacd5420	1	19847365	19848619	2	-2.2446
c00b53a9-bb48-4841-974d-7087eacd5420	1	19848752	25256850	3168	0.1302
c00b53a9-bb48-4841-974d-7087eacd5420	1	25266637	25320455	24	-0.8606
c00b53a9-bb48-4841-974d-7087eacd5420	1	25336819	29365890	1685	0.0949
c00b53a9-bb48-4841-974d-7087eacd5420	1	29366567	30631546	1010	0.2722
c00b53a9-bb48-4841-974d-7087eacd5420	1	30632911	31506888	473	0.1197
c00b53a9-bb48-4841-974d-7087eacd5420	1	31507747	31517921	19	0.6552
c00b53a9-bb48-4841-974d-7087eacd5420	1	31525537	31964986	215	0.1476
c00b53a9-bb48-4841-974d-7087eacd5420	1	31970082	33047106	416	0.0456
c00b53a9-bb48-4841-974d-7087eacd5420	1	33047751	34952757	1314	0.2147
c00b53a9-bb48-4841-974d-7087eacd5420	1	34958969	36433909	623	0.1014
c00b53a9-bb48-4841-974d-7087eacd5420	1	36438592	38797978	1487	0.2086
c00b53a9-bb48-4841-974d-7087eacd5420	1	38799477	47441525	4720	0.1358
c00b53a9-bb48-4841-974d-7087eacd5420	1	47441932	50780483	1933	0.1963
c00b53a9-bb48-4841-974d-7087eacd5420	1	50783320	51022040	104	-0.5964
c00b53a9-bb48-4841-974d-7087eacd5420	1	51023178	61785492	7442	0.1607
c00b53a9-bb48-4841-974d-7087eacd5420	1	61787434	61787890	2	-1.8874
c00b53a9-bb48-4841-974d-7087eacd5420	1	61788319	66198905	3244	0.1487
c00b53a9-bb48-4841-974d-7087eacd5420	1	66205085	70948625	3130	-0.2153
c00b53a9-bb48-4841-974d-7087eacd5420	1	70949452	72303233	797	0.1945
c00b53a9-bb48-4841-974d-7087eacd5420	1	72303253	72345465	45	-1.1609
c00b53a9-bb48-4841-974d-7087eacd5420	1	72346221	95277924	14839	0.1594
c00b53a9-bb48-4841-974d-7087eacd5420	1	95278039	96331095	687	0.2649
c00b53a9-bb48-4841-974d-7087eacd5420	1	96333479	102213050	3683	0.1664
c00b53a9-bb48-4841-974d-7087eacd5420	1	102214828	102378611	141	0.4188
c00b53a9-bb48-4841-974d-7087eacd5420	1	102383702	105470754	1526	0.1811
c00b53a9-bb48-4841-974d-7087eacd5420	1	105476583	105479753	17	-0.9579
c00b53a9-bb48-4841-974d-7087eacd5420	1	105481433	112153465	4583	0.1999
c00b53a9-bb48-4841-974d-7087eacd5420	1	112153571	112154768	23	1.1752
c00b53a9-bb48-4841-974d-7087eacd5420	1	112163334	143748590	5240	0.178
c00b53a9-bb48-4841-974d-7087eacd5420	1	143748728	143760271	17	0.7808
c00b53a9-bb48-4841-974d-7087eacd5420	1	143762042	145664420	29	0.2612
c00b53a9-bb48-4841-974d-7087eacd5420	1	145670653	147905610	769	0.1216
c00b53a9-bb48-4841-974d-7087eacd5420	1	147906537	151988377	1157	0.0209
c00b53a9-bb48-4841-974d-7087eacd5420	1	151989169	152567682	335	0.1542
c00b53a9-bb48-4841-974d-7087eacd5420	1	152567806	152575425	4	1.3138
c00b53a9-bb48-4841-974d-7087eacd5420	1	152575461	152583291	18	0.2039
c00b53a9-bb48-4841-974d-7087eacd5420	1	152583319	152614118	33	-1.1245
c00b53a9-bb48-4841-974d-7087eacd5420	1	152618018	152787202	166	0.1705
c00b53a9-bb48-4841-974d-7087eacd5420	1	152789447	152795783	32	0.8323
c00b53a9-bb48-4841-974d-7087eacd5420	1	152795805	157191447	2277	0.0611
c00b53a9-bb48-4841-974d-7087eacd5420	1	157198281	159655868	1816	0.1681
c00b53a9-bb48-4841-974d-7087eacd5420	1	159655876	164904486	3682	0.0864
c00b53a9-bb48-4841-974d-7087eacd5420	1	164906058	166570002	1386	0.1821
c00b53a9-bb48-4841-974d-7087eacd5420	1	166570280	169247699	2056	0.0829
