GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
dd83e500-4ae8-4132-82b9-a5510e48dd6f	1	62920	833413	37	-0.1025
dd83e500-4ae8-4132-82b9-a5510e48dd6f	1	841742	3298168	699	0.0874
dd83e500-4ae8-4132-82b9-a5510e48dd6f	1	3301765	16542868	7878	0.0027
dd83e500-4ae8-4132-82b9-a5510e48dd6f	1	16544783	16855942	56	0.5234
dd83e500-4ae8-4132-82b9-a5510e48dd6f	1	16863509	25256850	5281	-0.0114
dd83e500-4ae8-4132-82b9-a5510e48dd6f	1	25266637	25320455	24	0.5039
dd83e500-4ae8-4132-82b9-a5510e48dd6f	1	25336819	75585159	30474	0.0025
dd83e500-4ae8-4132-82b9-a5510e48dd6f	1	75589078	75589169	2	-2.4687
dd83e500-4ae8-4132-82b9-a5510e48dd6f	1	75593824	109684695	21500	0.0013
dd83e500-4ae8-4132-82b9-a5510e48dd6f	1	109684893	109697556	13	-0.9808
dd83e500-4ae8-4132-82b9-a5510e48dd6f	1	109702376	112147704	1931	-0.0031
dd83e500-4ae8-4132-82b9-a5510e48dd6f	1	112153343	112154591	22	-2.0734
dd83e500-4ae8-4132-82b9-a5510e48dd6f	1	112154619	112154768	3	-0.8295
dd83e500-4ae8-4132-82b9-a5510e48dd6f	1	112163334	143734438	5223	0.0054
dd83e500-4ae8-4132-82b9-a5510e48dd6f	1	143748012	143754077	17	0.6482
dd83e500-4ae8-4132-82b9-a5510e48dd6f	1	143754192	152583230	2304	0.0257
dd83e500-4ae8-4132-82b9-a5510e48dd6f	1	152583291	152614100	33	-1.784
dd83e500-4ae8-4132-82b9-a5510e48dd6f	1	152614118	169247699	11382	-0.0036
dd83e500-4ae8-4132-82b9-a5510e48dd6f	1	169264736	169272528	7	-2.3711
dd83e500-4ae8-4132-82b9-a5510e48dd6f	1	169273163	188479092	12571	0.0015
dd83e500-4ae8-4132-82b9-a5510e48dd6f	1	188479173	188486931	2	-1.9902
dd83e500-4ae8-4132-82b9-a5510e48dd6f	1	188487299	196745743	5443	-0.0055
dd83e500-4ae8-4132-82b9-a5510e48dd6f	1	196758720	196854187	63	0.3059
dd83e500-4ae8-4132-82b9-a5510e48dd6f	1	196854483	248930189	35486	0.0042
dd83e500-4ae8-4132-82b9-a5510e48dd6f	2	12784	14564825	10967	0.012
dd83e500-4ae8-4132-82b9-a5510e48dd6f	2	14565932	14569897	10	-1.0925
dd83e500-4ae8-4132-82b9-a5510e48dd6f	2	14570240	34466002	12927	0.0098
dd83e500-4ae8-4132-82b9-a5510e48dd6f	2	34474248	34511990	46	-2.3405
dd83e500-4ae8-4132-82b9-a5510e48dd6f	2	34512096	41011533	4757	0.0154
dd83e500-4ae8-4132-82b9-a5510e48dd6f	2	41011670	41018747	16	-0.7551
dd83e500-4ae8-4132-82b9-a5510e48dd6f	2	41024093	97537802	31810	0.0088
dd83e500-4ae8-4132-82b9-a5510e48dd6f	2	97540809	97545247	3	-2.1293
dd83e500-4ae8-4132-82b9-a5510e48dd6f	2	97545726	106263639	5524	0.0038
dd83e500-4ae8-4132-82b9-a5510e48dd6f	2	106264257	106268901	11	0.8465
dd83e500-4ae8-4132-82b9-a5510e48dd6f	2	106270799	107824280	984	0.0149
dd83e500-4ae8-4132-82b9-a5510e48dd6f	2	107830513	107909583	9	0.8529
dd83e500-4ae8-4132-82b9-a5510e48dd6f	2	107910884	128880504	12295	0.0129
dd83e500-4ae8-4132-82b9-a5510e48dd6f	2	128880904	128882723	14	-0.769
dd83e500-4ae8-4132-82b9-a5510e48dd6f	2	128882741	130036283	872	0.0112
dd83e500-4ae8-4132-82b9-a5510e48dd6f	2	130036310	130116915	13	-0.7078
dd83e500-4ae8-4132-82b9-a5510e48dd6f	2	130117303	183220725	32108	0.0077
dd83e500-4ae8-4132-82b9-a5510e48dd6f	2	183221060	183224996	9	-0.9235
dd83e500-4ae8-4132-82b9-a5510e48dd6f	2	183229270	241841244	35782	0.01
dd83e500-4ae8-4132-82b9-a5510e48dd6f	2	241973315	242092368	103	-1.0189
dd83e500-4ae8-4132-82b9-a5510e48dd6f	2	242095460	242147305	24	0.134
dd83e500-4ae8-4132-82b9-a5510e48dd6f	3	20930	68697013	47366	0.0101
dd83e500-4ae8-4132-82b9-a5510e48dd6f	3	68697108	68698262	14	-1.5529
dd83e500-4ae8-4132-82b9-a5510e48dd6f	3	68699607	99218940	15791	0.0006
dd83e500-4ae8-4132-82b9-a5510e48dd6f	3	99225614	99230470	37	-0.7637
dd83e500-4ae8-4132-82b9-a5510e48dd6f	3	99230577	125950205	16179	0.0066
dd83e500-4ae8-4132-82b9-a5510e48dd6f	3	125954540	125957120	3	-2.2477
dd83e500-4ae8-4132-82b9-a5510e48dd6f	3	125961657	130044855	2370	0.0041
dd83e500-4ae8-4132-82b9-a5510e48dd6f	3	130047743	130087393	37	0.5171
