GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
8cb9f38a-147a-47d0-a631-a1a1cca4c118	1	62920	668210	21	0.2111
8cb9f38a-147a-47d0-a631-a1a1cca4c118	1	771719	3441238	801	-0.571
8cb9f38a-147a-47d0-a631-a1a1cca4c118	1	3446871	4662383	865	-0.4282
8cb9f38a-147a-47d0-a631-a1a1cca4c118	1	4663758	4696372	39	-0.748
8cb9f38a-147a-47d0-a631-a1a1cca4c118	1	4697172	4698109	2	-3.2154
8cb9f38a-147a-47d0-a631-a1a1cca4c118	1	4698379	5185758	423	-0.47
8cb9f38a-147a-47d0-a631-a1a1cca4c118	1	5186566	5190437	3	-6.7175
8cb9f38a-147a-47d0-a631-a1a1cca4c118	1	5192144	16919514	6531	-0.4451
8cb9f38a-147a-47d0-a631-a1a1cca4c118	1	16919676	16934716	19	-1.086
8cb9f38a-147a-47d0-a631-a1a1cca4c118	1	16934753	25277975	5258	-0.4499
8cb9f38a-147a-47d0-a631-a1a1cca4c118	1	25278567	25284961	3	-2.3933
8cb9f38a-147a-47d0-a631-a1a1cca4c118	1	25289805	34626073	4939	-0.4346
8cb9f38a-147a-47d0-a631-a1a1cca4c118	1	34637053	34638890	20	-1.8086
8cb9f38a-147a-47d0-a631-a1a1cca4c118	1	34648667	61647430	16403	-0.4276
8cb9f38a-147a-47d0-a631-a1a1cca4c118	1	61648334	61652515	4	-2.3943
8cb9f38a-147a-47d0-a631-a1a1cca4c118	1	61654137	72297687	7269	-0.4429
8cb9f38a-147a-47d0-a631-a1a1cca4c118	1	72302735	72345465	48	0.8379
8cb9f38a-147a-47d0-a631-a1a1cca4c118	1	72346221	105476688	20904	-0.4359
8cb9f38a-147a-47d0-a631-a1a1cca4c118	1	105476748	105479753	14	-1.632
8cb9f38a-147a-47d0-a631-a1a1cca4c118	1	105481433	110486303	3169	-0.4262
8cb9f38a-147a-47d0-a631-a1a1cca4c118	1	110486946	110488893	2	-2.5125
8cb9f38a-147a-47d0-a631-a1a1cca4c118	1	110489009	112029887	1295	-0.4054
8cb9f38a-147a-47d0-a631-a1a1cca4c118	1	112030532	112030976	2	-3.6006
8cb9f38a-147a-47d0-a631-a1a1cca4c118	1	112031014	112147704	118	-0.4296
8cb9f38a-147a-47d0-a631-a1a1cca4c118	1	112153343	112154390	18	-1.1005
8cb9f38a-147a-47d0-a631-a1a1cca4c118	1	112154552	152588065	7597	-0.4236
8cb9f38a-147a-47d0-a631-a1a1cca4c118	1	152588392	152600940	13	-1.7597
8cb9f38a-147a-47d0-a631-a1a1cca4c118	1	152602773	152606992	4	0.3205
8cb9f38a-147a-47d0-a631-a1a1cca4c118	1	152607145	152613762	5	-1.5787
8cb9f38a-147a-47d0-a631-a1a1cca4c118	1	152613802	152789447	170	-0.4508
8cb9f38a-147a-47d0-a631-a1a1cca4c118	1	152789463	152801429	37	-1.1878
8cb9f38a-147a-47d0-a631-a1a1cca4c118	1	152804279	153745744	633	-0.4441
8cb9f38a-147a-47d0-a631-a1a1cca4c118	1	153745996	153746270	2	-4.0703
8cb9f38a-147a-47d0-a631-a1a1cca4c118	1	153752734	248930189	64469	-0.431
8cb9f38a-147a-47d0-a631-a1a1cca4c118	2	12784	4168830	2983	-0.4322
8cb9f38a-147a-47d0-a631-a1a1cca4c118	2	4168862	4176429	38	-1.6075
8cb9f38a-147a-47d0-a631-a1a1cca4c118	2	4182472	34492841	21014	-0.4017
8cb9f38a-147a-47d0-a631-a1a1cca4c118	2	34492907	34511990	17	-1.9167
8cb9f38a-147a-47d0-a631-a1a1cca4c118	2	34512096	52527727	12967	-0.3996
8cb9f38a-147a-47d0-a631-a1a1cca4c118	2	52527743	52554188	27	0.1157
8cb9f38a-147a-47d0-a631-a1a1cca4c118	2	52554236	68340557	10396	-0.3997
8cb9f38a-147a-47d0-a631-a1a1cca4c118	2	68340729	68340895	2	-3.486
8cb9f38a-147a-47d0-a631-a1a1cca4c118	2	68340927	114642607	23358	-0.3964
8cb9f38a-147a-47d0-a631-a1a1cca4c118	2	114642705	114642854	2	-2.7816
8cb9f38a-147a-47d0-a631-a1a1cca4c118	2	114642870	139603816	15340	-0.3961
8cb9f38a-147a-47d0-a631-a1a1cca4c118	2	139608522	139615765	2	-2.9745
8cb9f38a-147a-47d0-a631-a1a1cca4c118	2	139620979	146107526	4012	-0.3942
8cb9f38a-147a-47d0-a631-a1a1cca4c118	2	146107615	146121331	27	-1.441
8cb9f38a-147a-47d0-a631-a1a1cca4c118	2	146121420	242147305	58878	-0.393
8cb9f38a-147a-47d0-a631-a1a1cca4c118	3	20930	68682877	47629	-0.4358
8cb9f38a-147a-47d0-a631-a1a1cca4c118	3	68697013	68698262	15	0.6745
8cb9f38a-147a-47d0-a631-a1a1cca4c118	3	68699607	72523839	2932	-0.4521
8cb9f38a-147a-47d0-a631-a1a1cca4c118	3	72523979	72527737	2	-3.1052
8cb9f38a-147a-47d0-a631-a1a1cca4c118	3	72527918	75390630	1929	-0.4479
8cb9f38a-147a-47d0-a631-a1a1cca4c118	3	75392096	75805867	115	-0.211
8cb9f38a-147a-47d0-a631-a1a1cca4c118	3	75812545	95737262	9060	-0.447
8cb9f38a-147a-47d0-a631-a1a1cca4c118	3	95748036	95749266	2	-2.8143
8cb9f38a-147a-47d0-a631-a1a1cca4c118	3	95749836	99225667	1846	-0.4346
8cb9f38a-147a-47d0-a631-a1a1cca4c118	3	99225703	99232990	38	-0.0074
8cb9f38a-147a-47d0-a631-a1a1cca4c118	3	99233548	100607461	741	-0.4081
8cb9f38a-147a-47d0-a631-a1a1cca4c118	3	100621224	100723665	58	0.4031
8cb9f38a-147a-47d0-a631-a1a1cca4c118	3	100727772	125717394	15389	-0.4305
8cb9f38a-147a-47d0-a631-a1a1cca4c118	3	125724765	125739919	10	0.4478
8cb9f38a-147a-47d0-a631-a1a1cca4c118	3	125743486	126915411	721	-0.4505
8cb9f38a-147a-47d0-a631-a1a1cca4c118	3	126915645	126929291	7	-1.5001
8cb9f38a-147a-47d0-a631-a1a1cca4c118	3	126930053	130044016	1715	-0.419
8cb9f38a-147a-47d0-a631-a1a1cca4c118	3	130044855	130124370	53	0.1109
8cb9f38a-147a-47d0-a631-a1a1cca4c118	3	130124631	153024048	14320	-0.4319
8cb9f38a-147a-47d0-a631-a1a1cca4c118	3	153025152	153025335	2	-3.1752
8cb9f38a-147a-47d0-a631-a1a1cca4c118	3	153026384	162857273	5909	-0.4351
8cb9f38a-147a-47d0-a631-a1a1cca4c118	3	162860892	162908784	33	0.1935
8cb9f38a-147a-47d0-a631-a1a1cca4c118	3	162908815	193156958	19111	-0.4368
8cb9f38a-147a-47d0-a631-a1a1cca4c118	3	193160113	193165114	20	0.3099
8cb9f38a-147a-47d0-a631-a1a1cca4c118	3	193168646	198169247	2680	-0.4527
8cb9f38a-147a-47d0-a631-a1a1cca4c118	4	68929	121682	37	0.794
8cb9f38a-147a-47d0-a631-a1a1cca4c118	4	141056	34763561	22646	0.3162
8cb9f38a-147a-47d0-a631-a1a1cca4c118	4	34763973	34823103	50	0.7326
8cb9f38a-147a-47d0-a631-a1a1cca4c118	4	34828250	49289175	8964	0.3223
8cb9f38a-147a-47d0-a631-a1a1cca4c118	4	49289338	49656595	19	-0.7027
8cb9f38a-147a-47d0-a631-a1a1cca4c118	4	51819533	68354665	10435	0.3088
8cb9f38a-147a-47d0-a631-a1a1cca4c118	4	68361130	68395346	7	1.8102
8cb9f38a-147a-47d0-a631-a1a1cca4c118	4	68416487	68506285	17	-0.085
8cb9f38a-147a-47d0-a631-a1a1cca4c118	4	68509223	68618369	61	0.8285
8cb9f38a-147a-47d0-a631-a1a1cca4c118	4	68618391	69254604	312	0.386
8cb9f38a-147a-47d0-a631-a1a1cca4c118	4	69254981	69374271	64	-0.1762
8cb9f38a-147a-47d0-a631-a1a1cca4c118	4	69376311	107130169	22852	0.3135
8cb9f38a-147a-47d0-a631-a1a1cca4c118	4	107130343	107155376	39	-0.2541
8cb9f38a-147a-47d0-a631-a1a1cca4c118	4	107156277	151870485	26483	0.3143
8cb9f38a-147a-47d0-a631-a1a1cca4c118	4	151870502	151871415	10	-0.7617
8cb9f38a-147a-47d0-a631-a1a1cca4c118	4	151871739	172066706	12950	0.3188
8cb9f38a-147a-47d0-a631-a1a1cca4c118	4	172066777	172068382	13	0.8758
8cb9f38a-147a-47d0-a631-a1a1cca4c118	4	172074828	181238603	5924	0.3211
8cb9f38a-147a-47d0-a631-a1a1cca4c118	4	181242754	181636852	354	-0.471
8cb9f38a-147a-47d0-a631-a1a1cca4c118	4	181641160	181895448	247	0.302
8cb9f38a-147a-47d0-a631-a1a1cca4c118	4	181896315	182146517	195	0.7797
8cb9f38a-147a-47d0-a631-a1a1cca4c118	4	182147817	190106768	5346	0.3366
8cb9f38a-147a-47d0-a631-a1a1cca4c118	5	15532	48691	17	0.2974
8cb9f38a-147a-47d0-a631-a1a1cca4c118	5	48840	670630	283	0.7452
8cb9f38a-147a-47d0-a631-a1a1cca4c118	5	676334	685633	6	0.3717
8cb9f38a-147a-47d0-a631-a1a1cca4c118	5	698256	801456	30	-0.0885
8cb9f38a-147a-47d0-a631-a1a1cca4c118	5	801650	833513	17	0.7992
8cb9f38a-147a-47d0-a631-a1a1cca4c118	5	852451	1156679	111	1.0861
8cb9f38a-147a-47d0-a631-a1a1cca4c118	5	1158094	1322578	126	0.6762
8cb9f38a-147a-47d0-a631-a1a1cca4c118	5	1325652	5650799	3766	0.2979
8cb9f38a-147a-47d0-a631-a1a1cca4c118	5	5652934	6546321	801	0.7832
8cb9f38a-147a-47d0-a631-a1a1cca4c118	5	6547477	12815668	5017	0.305
8cb9f38a-147a-47d0-a631-a1a1cca4c118	5	12815753	12826538	10	-0.6957
8cb9f38a-147a-47d0-a631-a1a1cca4c118	5	12833745	13079786	73	0.4972
8cb9f38a-147a-47d0-a631-a1a1cca4c118	5	13079907	15638237	1837	0.3071
8cb9f38a-147a-47d0-a631-a1a1cca4c118	5	15639943	15981527	222	0.7953
8cb9f38a-147a-47d0-a631-a1a1cca4c118	5	15987642	17956881	1279	0.2905
8cb9f38a-147a-47d0-a631-a1a1cca4c118	5	17957233	18845228	563	0.7366
8cb9f38a-147a-47d0-a631-a1a1cca4c118	5	18848300	19008252	105	0.931
8cb9f38a-147a-47d0-a631-a1a1cca4c118	5	19008815	19352904	202	0.7481
8cb9f38a-147a-47d0-a631-a1a1cca4c118	5	19355028	25046598	3300	0.2939
8cb9f38a-147a-47d0-a631-a1a1cca4c118	5	25053311	25053532	3	-1.9025
8cb9f38a-147a-47d0-a631-a1a1cca4c118	5	25053895	25767303	405	0.3233
8cb9f38a-147a-47d0-a631-a1a1cca4c118	5	25768782	26629824	546	1.095
8cb9f38a-147a-47d0-a631-a1a1cca4c118	5	26630346	29465488	1635	0.3021
8cb9f38a-147a-47d0-a631-a1a1cca4c118	5	29465696	29567884	75	0.9276
8cb9f38a-147a-47d0-a631-a1a1cca4c118	5	29569649	29950877	237	1.3291
8cb9f38a-147a-47d0-a631-a1a1cca4c118	5	29951477	30672670	407	1.0912
8cb9f38a-147a-47d0-a631-a1a1cca4c118	5	30672691	30682238	10	0.8857
8cb9f38a-147a-47d0-a631-a1a1cca4c118	5	30685896	31042439	255	0.3143
8cb9f38a-147a-47d0-a631-a1a1cca4c118	5	31045577	36503725	3832	0.7714
8cb9f38a-147a-47d0-a631-a1a1cca4c118	5	36503828	37927352	769	0.3079
8cb9f38a-147a-47d0-a631-a1a1cca4c118	5	37928099	38177471	222	1.1215
8cb9f38a-147a-47d0-a631-a1a1cca4c118	5	38178134	40066117	1362	0.7827
8cb9f38a-147a-47d0-a631-a1a1cca4c118	5	40066406	45840201	3017	1.1156
8cb9f38a-147a-47d0-a631-a1a1cca4c118	5	45840986	58025819	5167	0.7851
8cb9f38a-147a-47d0-a631-a1a1cca4c118	5	58030200	58037706	32	2.0149
8cb9f38a-147a-47d0-a631-a1a1cca4c118	5	58042530	63291023	3452	0.7745
8cb9f38a-147a-47d0-a631-a1a1cca4c118	5	63291502	63925275	356	0.8792
8cb9f38a-147a-47d0-a631-a1a1cca4c118	5	63925594	69779164	3486	0.7744
8cb9f38a-147a-47d0-a631-a1a1cca4c118	5	69822096	71358245	23	0.3058
8cb9f38a-147a-47d0-a631-a1a1cca4c118	5	71364924	99155237	16400	0.7816
8cb9f38a-147a-47d0-a631-a1a1cca4c118	5	99155827	100468096	745	0.874
8cb9f38a-147a-47d0-a631-a1a1cca4c118	5	100470355	140839137	25545	0.7794
8cb9f38a-147a-47d0-a631-a1a1cca4c118	5	140844251	140852254	10	-0.4275
8cb9f38a-147a-47d0-a631-a1a1cca4c118	5	140861442	177705442	25001	0.7841
8cb9f38a-147a-47d0-a631-a1a1cca4c118	5	177706657	177879634	20	0.1456
8cb9f38a-147a-47d0-a631-a1a1cca4c118	5	177883336	179669479	1058	0.7809
