GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
6027e609-6272-4658-b606-e160959fdc12	1	62920	1696979	212	0.1865
6027e609-6272-4658-b606-e160959fdc12	1	1710664	1756619	20	0.8677
6027e609-6272-4658-b606-e160959fdc12	1	1756753	3305906	514	0.1867
6027e609-6272-4658-b606-e160959fdc12	1	3306063	25244339	13200	0.0088
6027e609-6272-4658-b606-e160959fdc12	1	25244778	25346663	35	-0.5728
6027e609-6272-4658-b606-e160959fdc12	1	25351593	34626073	4918	0.0106
6027e609-6272-4658-b606-e160959fdc12	1	34637053	34638890	20	-0.608
6027e609-6272-4658-b606-e160959fdc12	1	34648667	72303233	23590	0.0025
6027e609-6272-4658-b606-e160959fdc12	1	72303253	72345450	44	-1.8052
6027e609-6272-4658-b606-e160959fdc12	1	72345465	75585159	1907	-0.0043
6027e609-6272-4658-b606-e160959fdc12	1	75589078	75589169	2	-2.6875
6027e609-6272-4658-b606-e160959fdc12	1	75593824	109690352	21504	-0.0027
6027e609-6272-4658-b606-e160959fdc12	1	109690431	109697556	11	-1.4264
6027e609-6272-4658-b606-e160959fdc12	1	109702376	152787202	9696	0.0065
6027e609-6272-4658-b606-e160959fdc12	1	152789447	152796224	37	-1.5702
6027e609-6272-4658-b606-e160959fdc12	1	152801429	209897717	37974	0.0013
6027e609-6272-4658-b606-e160959fdc12	1	209908268	209910639	3	-2.6172
6027e609-6272-4658-b606-e160959fdc12	1	209913207	222193326	8526	0.0001
6027e609-6272-4658-b606-e160959fdc12	1	222201492	222203662	2	-3.1486
6027e609-6272-4658-b606-e160959fdc12	1	222208792	229675422	4400	0.0099
6027e609-6272-4658-b606-e160959fdc12	1	229681109	229684449	3	-2.9399
6027e609-6272-4658-b606-e160959fdc12	1	229684709	229686006	7	-0.6679
6027e609-6272-4658-b606-e160959fdc12	1	229686151	247578120	13105	0.0016
6027e609-6272-4658-b606-e160959fdc12	1	247586102	248415350	535	-0.105
6027e609-6272-4658-b606-e160959fdc12	1	248415915	248574146	37	0.3587
6027e609-6272-4658-b606-e160959fdc12	1	248585893	248645808	34	-0.9648
6027e609-6272-4658-b606-e160959fdc12	1	248646068	248930189	139	0.0497
6027e609-6272-4658-b606-e160959fdc12	2	12784	18787972	14114	0.0123
6027e609-6272-4658-b606-e160959fdc12	2	18789206	18789702	2	-2.208
6027e609-6272-4658-b606-e160959fdc12	2	18792185	34295406	9682	0.0072
6027e609-6272-4658-b606-e160959fdc12	2	34298911	34300513	2	-2.1659
6027e609-6272-4658-b606-e160959fdc12	2	34300900	34392336	58	0.0897
6027e609-6272-4658-b606-e160959fdc12	2	34398729	34476327	37	-0.2021
6027e609-6272-4658-b606-e160959fdc12	2	34476516	34511990	44	-0.7045
6027e609-6272-4658-b606-e160959fdc12	2	34512096	52512042	12872	-0.001
6027e609-6272-4658-b606-e160959fdc12	2	52512079	52554157	35	0.4588
6027e609-6272-4658-b606-e160959fdc12	2	52554188	97537802	23676	0.0064
6027e609-6272-4658-b606-e160959fdc12	2	97540809	97545726	4	-1.9978
6027e609-6272-4658-b606-e160959fdc12	2	97550415	106258266	5519	0.0112
6027e609-6272-4658-b606-e160959fdc12	2	106263639	106270799	13	0.9966
6027e609-6272-4658-b606-e160959fdc12	2	106270952	146106875	23647	0.0017
6027e609-6272-4658-b606-e160959fdc12	2	146106889	146109366	21	0.7129
6027e609-6272-4658-b606-e160959fdc12	2	146120238	163780342	10497	0.009
6027e609-6272-4658-b606-e160959fdc12	2	163786978	163788616	5	-1.4397
6027e609-6272-4658-b606-e160959fdc12	2	163790132	179196928	9581	0.0031
6027e609-6272-4658-b606-e160959fdc12	2	179202465	179214417	3	-2.2873
6027e609-6272-4658-b606-e160959fdc12	2	179218864	182922414	2393	0.0189
6027e609-6272-4658-b606-e160959fdc12	2	182922717	195397606	6979	-0.026
