GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
6eb877a1-6664-4b70-8830-aa0df2e81154	1	62920	901333	55	-0.0111
6eb877a1-6664-4b70-8830-aa0df2e81154	1	901366	3302046	682	-0.1768
6eb877a1-6664-4b70-8830-aa0df2e81154	1	3302359	12832455	5763	-0.0181
6eb877a1-6664-4b70-8830-aa0df2e81154	1	12850124	12867264	6	-1.0511
6eb877a1-6664-4b70-8830-aa0df2e81154	1	12868035	20556030	4761	-0.0111
6eb877a1-6664-4b70-8830-aa0df2e81154	1	20556451	20558448	7	-0.9396
6eb877a1-6664-4b70-8830-aa0df2e81154	1	20560274	25256850	2710	-0.0075
6eb877a1-6664-4b70-8830-aa0df2e81154	1	25266637	25320455	24	-1.6349
6eb877a1-6664-4b70-8830-aa0df2e81154	1	25336819	37387733	6426	-0.0111
6eb877a1-6664-4b70-8830-aa0df2e81154	1	37388151	37390233	3	-1.6953
6eb877a1-6664-4b70-8830-aa0df2e81154	1	37390270	72284670	22228	-0.0011
6eb877a1-6664-4b70-8830-aa0df2e81154	1	72290430	72297687	9	-0.8774
6eb877a1-6664-4b70-8830-aa0df2e81154	1	72302735	72362629	62	0.3344
6eb877a1-6664-4b70-8830-aa0df2e81154	1	72362638	73348718	585	0.0247
6eb877a1-6664-4b70-8830-aa0df2e81154	1	73350881	73397495	31	-1.1765
6eb877a1-6664-4b70-8830-aa0df2e81154	1	73400221	103616762	19364	0.005
6eb877a1-6664-4b70-8830-aa0df2e81154	1	103620877	103697364	4	0.8153
6eb877a1-6664-4b70-8830-aa0df2e81154	1	103717410	103717617	2	-1.8231
6eb877a1-6664-4b70-8830-aa0df2e81154	1	103760781	109690352	3570	-0.0031
6eb877a1-6664-4b70-8830-aa0df2e81154	1	109690415	109697556	12	1.019
6eb877a1-6664-4b70-8830-aa0df2e81154	1	109702376	112147704	1940	-0.0003
6eb877a1-6664-4b70-8830-aa0df2e81154	1	112153343	112154591	22	-1.9768
