GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
2152e9c3-9720-40b8-8652-533ddb5d26fc	1	62920	98602	13	1.0418
2152e9c3-9720-40b8-8652-533ddb5d26fc	1	259407	3339638	757	-0.6803
2152e9c3-9720-40b8-8652-533ddb5d26fc	1	3343113	5838263	1889	-0.4167
2152e9c3-9720-40b8-8652-533ddb5d26fc	1	5838669	5844684	13	-1.189
2152e9c3-9720-40b8-8652-533ddb5d26fc	1	5844941	9266599	1959	-0.4428
2152e9c3-9720-40b8-8652-533ddb5d26fc	1	9267354	9329159	49	-0.8947
2152e9c3-9720-40b8-8652-533ddb5d26fc	1	9329483	10031603	305	-0.4295
2152e9c3-9720-40b8-8652-533ddb5d26fc	1	10036962	10042953	5	-2.9906
2152e9c3-9720-40b8-8652-533ddb5d26fc	1	10046717	16863509	3640	-0.4393
2152e9c3-9720-40b8-8652-533ddb5d26fc	1	16864367	16956580	58	-0.9835
2152e9c3-9720-40b8-8652-533ddb5d26fc	1	16958425	20556030	2488	-0.4336
2152e9c3-9720-40b8-8652-533ddb5d26fc	1	20556451	20557323	6	-2.8563
2152e9c3-9720-40b8-8652-533ddb5d26fc	1	20558448	25256850	2679	-0.4589
2152e9c3-9720-40b8-8652-533ddb5d26fc	1	25266637	25320455	24	-1.9566
2152e9c3-9720-40b8-8652-533ddb5d26fc	1	25336819	39679390	7606	-0.4391
2152e9c3-9720-40b8-8652-533ddb5d26fc	1	39679625	39688076	12	-1.2576
2152e9c3-9720-40b8-8652-533ddb5d26fc	1	39688962	54230674	7997	-0.4559
2152e9c3-9720-40b8-8652-533ddb5d26fc	1	54231070	72302815	12793	-0.5165
2152e9c3-9720-40b8-8652-533ddb5d26fc	1	72303233	72332927	30	-1.3699
2152e9c3-9720-40b8-8652-533ddb5d26fc	1	72336821	112147704	25298	-0.5228
2152e9c3-9720-40b8-8652-533ddb5d26fc	1	112153343	112154768	25	-1.5975
2152e9c3-9720-40b8-8652-533ddb5d26fc	1	112163334	115312381	1954	-0.4836
2152e9c3-9720-40b8-8652-533ddb5d26fc	1	115312526	115318644	5	-2.049
2152e9c3-9720-40b8-8652-533ddb5d26fc	1	115318683	152583051	5548	-0.4907
2152e9c3-9720-40b8-8652-533ddb5d26fc	1	152583230	152614118	35	0.5422
2152e9c3-9720-40b8-8652-533ddb5d26fc	1	152618018	152789479	167	-0.4082
2152e9c3-9720-40b8-8652-533ddb5d26fc	1	152789532	152796094	33	0.3014
2152e9c3-9720-40b8-8652-533ddb5d26fc	1	152796224	152867032	48	-0.4497
2152e9c3-9720-40b8-8652-533ddb5d26fc	1	152871451	152872109	2	-2.5128
2152e9c3-9720-40b8-8652-533ddb5d26fc	1	152874049	161649069	5152	-0.4585
2152e9c3-9720-40b8-8652-533ddb5d26fc	1	161649136	169247699	5930	-0.499
2152e9c3-9720-40b8-8652-533ddb5d26fc	1	169264736	169272528	6	-1.8896
2152e9c3-9720-40b8-8652-533ddb5d26fc	1	169273163	196741937	17957	-0.5198
2152e9c3-9720-40b8-8652-533ddb5d26fc	1	196742057	196874705	86	-0.1308
2152e9c3-9720-40b8-8652-533ddb5d26fc	1	196874718	198946694	1209	-0.5226
2152e9c3-9720-40b8-8652-533ddb5d26fc	1	198947243	198949562	2	-2.7692
2152e9c3-9720-40b8-8652-533ddb5d26fc	1	198950266	200443345	1041	-0.5285
2152e9c3-9720-40b8-8652-533ddb5d26fc	1	200444144	206491063	3793	-0.4538
2152e9c3-9720-40b8-8652-533ddb5d26fc	1	206491719	242960635	25538	-0.5179
2152e9c3-9720-40b8-8652-533ddb5d26fc	1	242966050	243105104	23	0.2104
2152e9c3-9720-40b8-8652-533ddb5d26fc	1	243105657	247027642	2603	-0.5039
2152e9c3-9720-40b8-8652-533ddb5d26fc	1	247029292	248930189	1079	-0.4493
2152e9c3-9720-40b8-8652-533ddb5d26fc	2	12784	34439683	23850	-0.1088
2152e9c3-9720-40b8-8652-533ddb5d26fc	2	34450400	34511446	50	0.4077
2152e9c3-9720-40b8-8652-533ddb5d26fc	2	34511990	52527330	12857	-0.1093
2152e9c3-9720-40b8-8652-533ddb5d26fc	2	52527342	52554404	39	-2.4691
2152e9c3-9720-40b8-8652-533ddb5d26fc	2	52560811	128880904	42423	-0.1165
2152e9c3-9720-40b8-8652-533ddb5d26fc	2	128880928	128882723	13	-2.11
2152e9c3-9720-40b8-8652-533ddb5d26fc	2	128882741	129026586	111	-0.2242
2152e9c3-9720-40b8-8652-533ddb5d26fc	2	129027150	132002227	1398	-0.0859
2152e9c3-9720-40b8-8652-533ddb5d26fc	2	132002751	132101513	21	0.4198
2152e9c3-9720-40b8-8652-533ddb5d26fc	2	132105177	138311046	4039	-0.1172
2152e9c3-9720-40b8-8652-533ddb5d26fc	2	138312265	139024380	410	-0.1472
