GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
4a69c6a6-bb68-4596-bac2-0d4a1c2a13b6	1	62920	16604834	8650	-0.0081
4a69c6a6-bb68-4596-bac2-0d4a1c2a13b6	1	16605031	16788139	50	-0.411
4a69c6a6-bb68-4596-bac2-0d4a1c2a13b6	1	16855942	25256850	5310	-0.0071
4a69c6a6-bb68-4596-bac2-0d4a1c2a13b6	1	25266637	25320455	24	-1.4403
4a69c6a6-bb68-4596-bac2-0d4a1c2a13b6	1	25336819	27919941	1084	-0.0227
4a69c6a6-bb68-4596-bac2-0d4a1c2a13b6	1	27923172	27928206	2	-2.385
4a69c6a6-bb68-4596-bac2-0d4a1c2a13b6	1	27928344	34637053	3858	-0.0022
4a69c6a6-bb68-4596-bac2-0d4a1c2a13b6	1	34637069	34638890	19	-0.6871
4a69c6a6-bb68-4596-bac2-0d4a1c2a13b6	1	34648667	72302735	23733	-0.0016
4a69c6a6-bb68-4596-bac2-0d4a1c2a13b6	1	72302815	72345465	47	-1.2716
4a69c6a6-bb68-4596-bac2-0d4a1c2a13b6	1	72346221	105470754	20941	-0.0008
4a69c6a6-bb68-4596-bac2-0d4a1c2a13b6	1	105476583	105479753	17	0.9639
4a69c6a6-bb68-4596-bac2-0d4a1c2a13b6	1	105481433	109684893	2635	0.0015
4a69c6a6-bb68-4596-bac2-0d4a1c2a13b6	1	109690352	109692006	10	-0.6836
4a69c6a6-bb68-4596-bac2-0d4a1c2a13b6	1	109696900	112147704	1949	0.002
4a69c6a6-bb68-4596-bac2-0d4a1c2a13b6	1	112153343	112154768	25	0.633
4a69c6a6-bb68-4596-bac2-0d4a1c2a13b6	1	112163334	143541857	5161	0.0014
4a69c6a6-bb68-4596-bac2-0d4a1c2a13b6	1	143545399	143713743	88	-0.6764
4a69c6a6-bb68-4596-bac2-0d4a1c2a13b6	1	143713884	152784330	2545	0.0166
4a69c6a6-bb68-4596-bac2-0d4a1c2a13b6	1	152785214	152796224	39	0.38
4a69c6a6-bb68-4596-bac2-0d4a1c2a13b6	1	152801429	165865957	8684	0.0061
4a69c6a6-bb68-4596-bac2-0d4a1c2a13b6	1	165866127	165866453	4	1.1141
4a69c6a6-bb68-4596-bac2-0d4a1c2a13b6	1	165868741	176079807	6993	0.0065
4a69c6a6-bb68-4596-bac2-0d4a1c2a13b6	1	176085010	176088008	2	2.0623
4a69c6a6-bb68-4596-bac2-0d4a1c2a13b6	1	176088681	177842171	1109	0.0104
4a69c6a6-bb68-4596-bac2-0d4a1c2a13b6	1	177842220	177842236	2	-2.4191
4a69c6a6-bb68-4596-bac2-0d4a1c2a13b6	1	177842364	196745743	12630	0.0027
4a69c6a6-bb68-4596-bac2-0d4a1c2a13b6	1	196758720	196771842	12	-0.9608
4a69c6a6-bb68-4596-bac2-0d4a1c2a13b6	1	196771987	196778912	8	0.5467
4a69c6a6-bb68-4596-bac2-0d4a1c2a13b6	1	196779346	196843377	39	-0.4084
4a69c6a6-bb68-4596-bac2-0d4a1c2a13b6	1	196843400	209897717	8769	-0.0004
4a69c6a6-bb68-4596-bac2-0d4a1c2a13b6	1	209908268	209910639	3	-2.1009
4a69c6a6-bb68-4596-bac2-0d4a1c2a13b6	1	209913207	222193326	8589	0.0048
4a69c6a6-bb68-4596-bac2-0d4a1c2a13b6	1	222201492	222203662	2	-2.4394
4a69c6a6-bb68-4596-bac2-0d4a1c2a13b6	1	222208792	245473108	16202	-0.0019
4a69c6a6-bb68-4596-bac2-0d4a1c2a13b6	1	245473737	245483602	11	-0.8838
4a69c6a6-bb68-4596-bac2-0d4a1c2a13b6	1	245486349	248930189	2186	0.0153
4a69c6a6-bb68-4596-bac2-0d4a1c2a13b6	2	12784	5595907	4187	-0.0041
4a69c6a6-bb68-4596-bac2-0d4a1c2a13b6	2	5596189	5596981	3	-1.6266
4a69c6a6-bb68-4596-bac2-0d4a1c2a13b6	2	5597449	34486267	19892	0.0042
4a69c6a6-bb68-4596-bac2-0d4a1c2a13b6	2	34486323	34515572	36	-0.4029
4a69c6a6-bb68-4596-bac2-0d4a1c2a13b6	2	34515690	34939017	299	0.013
4a69c6a6-bb68-4596-bac2-0d4a1c2a13b6	2	34939049	34961216	9	-0.8273
4a69c6a6-bb68-4596-bac2-0d4a1c2a13b6	2	34961551	36454476	1188	-0.0105
4a69c6a6-bb68-4596-bac2-0d4a1c2a13b6	2	36456127	36459152	6	-1.0665
4a69c6a6-bb68-4596-bac2-0d4a1c2a13b6	2	36462950	41009783	3276	0.0101
4a69c6a6-bb68-4596-bac2-0d4a1c2a13b6	2	41009834	41011449	19	-0.4898
4a69c6a6-bb68-4596-bac2-0d4a1c2a13b6	2	41011463	52527423	8192	0.0028
4a69c6a6-bb68-4596-bac2-0d4a1c2a13b6	2	52527590	52554404	36	-2.243
4a69c6a6-bb68-4596-bac2-0d4a1c2a13b6	2	52560811	80351747	18202	0.007
4a69c6a6-bb68-4596-bac2-0d4a1c2a13b6	2	80352062	80352879	2	-1.9401
4a69c6a6-bb68-4596-bac2-0d4a1c2a13b6	2	80354465	97537802	5626	-0.0017
4a69c6a6-bb68-4596-bac2-0d4a1c2a13b6	2	97540809	97545247	3	-1.6752
4a69c6a6-bb68-4596-bac2-0d4a1c2a13b6	2	97545726	242147305	88402	0.0038
4a69c6a6-bb68-4596-bac2-0d4a1c2a13b6	3	20930	6609524	5811	0.0148
4a69c6a6-bb68-4596-bac2-0d4a1c2a13b6	3	6609550	6611645	21	0.6233
4a69c6a6-bb68-4596-bac2-0d4a1c2a13b6	3	6613391	36242052	20644	0.0018
4a69c6a6-bb68-4596-bac2-0d4a1c2a13b6	3	36242067	36245836	10	-0.7218
4a69c6a6-bb68-4596-bac2-0d4a1c2a13b6	3	36251203	68697013	21249	-0.0028
4a69c6a6-bb68-4596-bac2-0d4a1c2a13b6	3	68697108	68698213	13	-1.1777
