GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
eb2d3b3f-7cf2-44b8-a071-a9590f32e0fa	1	62920	850609	41	0.0465
eb2d3b3f-7cf2-44b8-a071-a9590f32e0fa	1	854017	3364250	732	-0.4487
eb2d3b3f-7cf2-44b8-a071-a9590f32e0fa	1	3366738	72284670	41555	-0.2973
eb2d3b3f-7cf2-44b8-a071-a9590f32e0fa	1	72290430	72297687	9	-2.8553
eb2d3b3f-7cf2-44b8-a071-a9590f32e0fa	1	72302735	72345450	47	0.8253
eb2d3b3f-7cf2-44b8-a071-a9590f32e0fa	1	72345465	105470754	20725	-0.3016
eb2d3b3f-7cf2-44b8-a071-a9590f32e0fa	1	105476583	105481448	19	0.7573
eb2d3b3f-7cf2-44b8-a071-a9590f32e0fa	1	105481468	110834943	3444	-0.3011
eb2d3b3f-7cf2-44b8-a071-a9590f32e0fa	1	110834946	110845604	37	-2.0753
eb2d3b3f-7cf2-44b8-a071-a9590f32e0fa	1	110849445	143494500	6189	-0.2964
eb2d3b3f-7cf2-44b8-a071-a9590f32e0fa	1	143541857	143927887	124	-2.0977
eb2d3b3f-7cf2-44b8-a071-a9590f32e0fa	1	143928045	152583051	2290	-0.3178
eb2d3b3f-7cf2-44b8-a071-a9590f32e0fa	1	152583230	152614118	35	0.8593
eb2d3b3f-7cf2-44b8-a071-a9590f32e0fa	1	152618018	218004190	43661	-0.3013
eb2d3b3f-7cf2-44b8-a071-a9590f32e0fa	1	218006249	218008896	6	-3.751
eb2d3b3f-7cf2-44b8-a071-a9590f32e0fa	1	218008915	245258894	18749	-0.3185
eb2d3b3f-7cf2-44b8-a071-a9590f32e0fa	1	245259275	245259486	2	-3.2133
eb2d3b3f-7cf2-44b8-a071-a9590f32e0fa	1	245259539	248546369	2154	-0.3039
eb2d3b3f-7cf2-44b8-a071-a9590f32e0fa	1	248550567	248645808	37	-1.9247
eb2d3b3f-7cf2-44b8-a071-a9590f32e0fa	1	248646068	248930189	139	-0.3416
eb2d3b3f-7cf2-44b8-a071-a9590f32e0fa	2	12784	34437911	23778	-0.2832
eb2d3b3f-7cf2-44b8-a071-a9590f32e0fa	2	34438291	34502718	50	0.2342
eb2d3b3f-7cf2-44b8-a071-a9590f32e0fa	2	34502784	179553606	85842	-0.2778
eb2d3b3f-7cf2-44b8-a071-a9590f32e0fa	2	179553661	179556770	20	-1.3363
eb2d3b3f-7cf2-44b8-a071-a9590f32e0fa	2	179556785	242147305	38132	-0.2805
eb2d3b3f-7cf2-44b8-a071-a9590f32e0fa	3	20930	13579496	11016	0.2566
eb2d3b3f-7cf2-44b8-a071-a9590f32e0fa	3	13579820	13580056	3	-2.0351
eb2d3b3f-7cf2-44b8-a071-a9590f32e0fa	3	13580089	68676600	36331	0.2443
eb2d3b3f-7cf2-44b8-a071-a9590f32e0fa	3	68682877	68698262	16	-1.2133
eb2d3b3f-7cf2-44b8-a071-a9590f32e0fa	3	68699607	125950205	31996	0.2452
eb2d3b3f-7cf2-44b8-a071-a9590f32e0fa	3	125954540	125957120	3	-2.2023
eb2d3b3f-7cf2-44b8-a071-a9590f32e0fa	3	125961657	130044016	2368	0.2488
eb2d3b3f-7cf2-44b8-a071-a9590f32e0fa	3	130044855	130087393	38	-0.4588
eb2d3b3f-7cf2-44b8-a071-a9590f32e0fa	3	130088081	175015229	27453	0.2487
eb2d3b3f-7cf2-44b8-a071-a9590f32e0fa	3	175019221	175093900	55	-0.2755
eb2d3b3f-7cf2-44b8-a071-a9590f32e0fa	3	175096609	175528477	410	0.2825
eb2d3b3f-7cf2-44b8-a071-a9590f32e0fa	3	175532653	175965677	236	0.7458
