GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
211b34f8-8871-4111-aa1f-a7f838409fa3	1	62920	5585716	2477	0.2766
211b34f8-8871-4111-aa1f-a7f838409fa3	1	5585942	7847944	1394	0.2311
211b34f8-8871-4111-aa1f-a7f838409fa3	1	7848828	12188234	2280	0.1822
211b34f8-8871-4111-aa1f-a7f838409fa3	1	12188446	16542868	2469	0.2451
211b34f8-8871-4111-aa1f-a7f838409fa3	1	16544783	16935752	111	0.4367
211b34f8-8871-4111-aa1f-a7f838409fa3	1	16949746	20450259	2462	0.2459
211b34f8-8871-4111-aa1f-a7f838409fa3	1	20450787	29333156	4460	0.2025
211b34f8-8871-4111-aa1f-a7f838409fa3	1	29333746	30450214	859	0.2716
211b34f8-8871-4111-aa1f-a7f838409fa3	1	30450324	30450576	2	1.8023
211b34f8-8871-4111-aa1f-a7f838409fa3	1	30450939	31984675	885	0.2474
211b34f8-8871-4111-aa1f-a7f838409fa3	1	31987986	32797320	302	0.1138
211b34f8-8871-4111-aa1f-a7f838409fa3	1	32798477	46872530	7961	0.2394
211b34f8-8871-4111-aa1f-a7f838409fa3	1	46878103	50394249	2044	0.2988
211b34f8-8871-4111-aa1f-a7f838409fa3	1	50403012	50407667	7	-0.6467
211b34f8-8871-4111-aa1f-a7f838409fa3	1	50410279	54841907	2374	0.2332
211b34f8-8871-4111-aa1f-a7f838409fa3	1	54842020	61437882	5036	0.3057
211b34f8-8871-4111-aa1f-a7f838409fa3	1	61439812	67777257	4676	0.2642
211b34f8-8871-4111-aa1f-a7f838409fa3	1	67777714	72284670	2723	0.3111
211b34f8-8871-4111-aa1f-a7f838409fa3	1	72290430	72297687	9	-0.5605
211b34f8-8871-4111-aa1f-a7f838409fa3	1	72302735	72339279	36	0.6874
211b34f8-8871-4111-aa1f-a7f838409fa3	1	72339814	92600860	13082	0.307
211b34f8-8871-4111-aa1f-a7f838409fa3	1	92606722	93538094	424	0.19
211b34f8-8871-4111-aa1f-a7f838409fa3	1	93539831	96929856	2309	0.3047
211b34f8-8871-4111-aa1f-a7f838409fa3	1	96931491	96953566	14	-0.5861
211b34f8-8871-4111-aa1f-a7f838409fa3	1	96955683	105470754	4970	0.2938
211b34f8-8871-4111-aa1f-a7f838409fa3	1	105476583	105479722	15	1.7376
211b34f8-8871-4111-aa1f-a7f838409fa3	1	105479738	110833598	3460	0.2865
211b34f8-8871-4111-aa1f-a7f838409fa3	1	110834746	110845604	39	-0.4825
211b34f8-8871-4111-aa1f-a7f838409fa3	1	110849445	114899004	2735	0.2495
211b34f8-8871-4111-aa1f-a7f838409fa3	1	114899448	149891387	4515	0.3032
211b34f8-8871-4111-aa1f-a7f838409fa3	1	149894410	152582700	1389	0.2376
211b34f8-8871-4111-aa1f-a7f838409fa3	1	152583051	152618018	37	0.835
211b34f8-8871-4111-aa1f-a7f838409fa3	1	152618089	153782053	846	0.3006
211b34f8-8871-4111-aa1f-a7f838409fa3	1	153787628	156382605	1190	0.1939
211b34f8-8871-4111-aa1f-a7f838409fa3	1	156382656	158896783	1748	0.267
211b34f8-8871-4111-aa1f-a7f838409fa3	1	158898711	158899969	2	2.9324
211b34f8-8871-4111-aa1f-a7f838409fa3	1	158905028	174827267	11094	0.2724
211b34f8-8871-4111-aa1f-a7f838409fa3	1	174827418	174832716	17	-0.6003
211b34f8-8871-4111-aa1f-a7f838409fa3	1	174832734	178373684	2276	0.3286
211b34f8-8871-4111-aa1f-a7f838409fa3	1	178374172	185342464	4786	0.2711
211b34f8-8871-4111-aa1f-a7f838409fa3	1	185342479	196745692	7467	0.307
211b34f8-8871-4111-aa1f-a7f838409fa3	1	196745743	196843377	60	-0.1916
211b34f8-8871-4111-aa1f-a7f838409fa3	1	196843400	199873395	1833	0.2826
211b34f8-8871-4111-aa1f-a7f838409fa3	1	199873880	207415682	4898	0.2459
211b34f8-8871-4111-aa1f-a7f838409fa3	1	207418177	209897717	1982	0.3033
211b34f8-8871-4111-aa1f-a7f838409fa3	1	209908268	209910639	3	-2.2067
211b34f8-8871-4111-aa1f-a7f838409fa3	1	209913207	211356702	997	0.29
211b34f8-8871-4111-aa1f-a7f838409fa3	1	211359685	213369363	1196	0.2252
211b34f8-8871-4111-aa1f-a7f838409fa3	1	213369970	223490900	7119	0.3086
211b34f8-8871-4111-aa1f-a7f838409fa3	1	223490945	230164999	3998	0.2444
211b34f8-8871-4111-aa1f-a7f838409fa3	1	230166065	235089318	3827	0.291
211b34f8-8871-4111-aa1f-a7f838409fa3	1	235092598	235915030	392	0.1613
211b34f8-8871-4111-aa1f-a7f838409fa3	1	235916192	237803702	1521	0.2705
211b34f8-8871-4111-aa1f-a7f838409fa3	1	237808224	241411122	2880	0.3273
211b34f8-8871-4111-aa1f-a7f838409fa3	1	241413626	248930189	4878	0.2755
211b34f8-8871-4111-aa1f-a7f838409fa3	2	12784	4158097	2972	0.2748
211b34f8-8871-4111-aa1f-a7f838409fa3	2	4166274	4175577	36	-2.0241
211b34f8-8871-4111-aa1f-a7f838409fa3	2	4175922	7990754	3257	0.292
211b34f8-8871-4111-aa1f-a7f838409fa3	2	7991449	11559444	2477	0.2396
211b34f8-8871-4111-aa1f-a7f838409fa3	2	11563497	23796767	8792	0.2918
211b34f8-8871-4111-aa1f-a7f838409fa3	2	23796923	28299817	2171	0.2041
211b34f8-8871-4111-aa1f-a7f838409fa3	2	28300967	34474248	4211	0.2775
211b34f8-8871-4111-aa1f-a7f838409fa3	2	34476327	34491703	16	-0.3121
211b34f8-8871-4111-aa1f-a7f838409fa3	2	34491869	35750907	891	0.2808
211b34f8-8871-4111-aa1f-a7f838409fa3	2	35752724	35762881	7	-1.3974
211b34f8-8871-4111-aa1f-a7f838409fa3	2	35772407	38310022	2029	0.2934
211b34f8-8871-4111-aa1f-a7f838409fa3	2	38313014	39506882	650	0.2013
211b34f8-8871-4111-aa1f-a7f838409fa3	2	39507195	41819654	1877	0.3093
211b34f8-8871-4111-aa1f-a7f838409fa3	2	41819681	48834970	4844	0.2426
211b34f8-8871-4111-aa1f-a7f838409fa3	2	48839840	52516787	2619	0.3061
211b34f8-8871-4111-aa1f-a7f838409fa3	2	52527330	52554404	40	0.7882
211b34f8-8871-4111-aa1f-a7f838409fa3	2	52560811	60636878	5670	0.2853
211b34f8-8871-4111-aa1f-a7f838409fa3	2	60637137	62524484	908	0.1964
211b34f8-8871-4111-aa1f-a7f838409fa3	2	62526941	69589137	4610	0.2769
211b34f8-8871-4111-aa1f-a7f838409fa3	2	69597121	70005995	243	0.1827
211b34f8-8871-4111-aa1f-a7f838409fa3	2	70008901	70010966	4	-0.7356
211b34f8-8871-4111-aa1f-a7f838409fa3	2	70012601	70441453	243	0.1692
211b34f8-8871-4111-aa1f-a7f838409fa3	2	70441759	75044041	2567	0.2515
211b34f8-8871-4111-aa1f-a7f838409fa3	2	75044669	84633345	6318	0.2926
211b34f8-8871-4111-aa1f-a7f838409fa3	2	84634112	86820350	1232	0.2326
211b34f8-8871-4111-aa1f-a7f838409fa3	2	86821579	87546272	140	0.0504
211b34f8-8871-4111-aa1f-a7f838409fa3	2	87551361	97359885	1748	0.2373
211b34f8-8871-4111-aa1f-a7f838409fa3	2	97524284	97545726	9	-0.9619
211b34f8-8871-4111-aa1f-a7f838409fa3	2	97550415	98361291	438	0.219
211b34f8-8871-4111-aa1f-a7f838409fa3	2	98372599	99129995	390	-0.5965
211b34f8-8871-4111-aa1f-a7f838409fa3	2	99152747	100657988	955	0.2367
211b34f8-8871-4111-aa1f-a7f838409fa3	2	100658271	129770465	17735	-0.566
211b34f8-8871-4111-aa1f-a7f838409fa3	2	129772834	130873920	353	0.2231
211b34f8-8871-4111-aa1f-a7f838409fa3	2	130874668	133123961	1161	-0.5397
211b34f8-8871-4111-aa1f-a7f838409fa3	2	133125819	133728551	405	0.3106
