GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
17decefd-123d-41be-ad0a-9c27ed5f1f16	1	62920	15822848	8323	-0.3295
17decefd-123d-41be-ad0a-9c27ed5f1f16	1	15823420	15828515	11	0.3505
17decefd-123d-41be-ad0a-9c27ed5f1f16	1	15839166	16864367	356	-0.3477
17decefd-123d-41be-ad0a-9c27ed5f1f16	1	16868660	16898872	13	-0.8699
17decefd-123d-41be-ad0a-9c27ed5f1f16	1	16899035	16909713	7	-0.1661
17decefd-123d-41be-ad0a-9c27ed5f1f16	1	16909725	16935752	33	-0.782
17decefd-123d-41be-ad0a-9c27ed5f1f16	1	16949746	72323042	33974	-0.3137
17decefd-123d-41be-ad0a-9c27ed5f1f16	1	72323161	72345465	27	-0.9155
17decefd-123d-41be-ad0a-9c27ed5f1f16	1	72346221	103616762	20001	-0.3115
17decefd-123d-41be-ad0a-9c27ed5f1f16	1	103620877	103717410	5	0.9237
17decefd-123d-41be-ad0a-9c27ed5f1f16	1	103717617	105476583	919	-0.3755
17decefd-123d-41be-ad0a-9c27ed5f1f16	1	105476614	105481468	19	0.0395
17decefd-123d-41be-ad0a-9c27ed5f1f16	1	105481515	105912367	280	-0.3789
17decefd-123d-41be-ad0a-9c27ed5f1f16	1	105914701	105914733	2	-1.9736
17decefd-123d-41be-ad0a-9c27ed5f1f16	1	105916475	109684893	2345	-0.3279
17decefd-123d-41be-ad0a-9c27ed5f1f16	1	109690352	109697556	13	1.3789
17decefd-123d-41be-ad0a-9c27ed5f1f16	1	109702376	112147704	1944	-0.2872
17decefd-123d-41be-ad0a-9c27ed5f1f16	1	112153343	112154591	22	-1.5746
17decefd-123d-41be-ad0a-9c27ed5f1f16	1	112154619	152588065	7608	-0.3089
17decefd-123d-41be-ad0a-9c27ed5f1f16	1	152588392	152613762	22	-1.7704
17decefd-123d-41be-ad0a-9c27ed5f1f16	1	152613802	152614118	4	-0.8684
17decefd-123d-41be-ad0a-9c27ed5f1f16	1	152618018	152782154	158	-0.3101
17decefd-123d-41be-ad0a-9c27ed5f1f16	1	152783832	152795883	42	0.1485
17decefd-123d-41be-ad0a-9c27ed5f1f16	1	152796094	169247699	11253	-0.3139
17decefd-123d-41be-ad0a-9c27ed5f1f16	1	169264736	169272528	6	-1.5537
17decefd-123d-41be-ad0a-9c27ed5f1f16	1	169273163	174827267	3507	-0.3003
17decefd-123d-41be-ad0a-9c27ed5f1f16	1	174827418	174832599	15	-1.7776
17decefd-123d-41be-ad0a-9c27ed5f1f16	1	174832702	192914281	12005	-0.3233
17decefd-123d-41be-ad0a-9c27ed5f1f16	1	192915006	192920322	7	-4.8269
17decefd-123d-41be-ad0a-9c27ed5f1f16	1	192921090	192923062	2	-1.6832
17decefd-123d-41be-ad0a-9c27ed5f1f16	1	192925414	194479104	1152	-0.3028
17decefd-123d-41be-ad0a-9c27ed5f1f16	1	194482281	194485888	2	1.2408
17decefd-123d-41be-ad0a-9c27ed5f1f16	1	194487886	196745743	1451	-0.337
17decefd-123d-41be-ad0a-9c27ed5f1f16	1	196758720	196846661	61	-1.2595
17decefd-123d-41be-ad0a-9c27ed5f1f16	1	196847600	248930189	35745	-0.3256
17decefd-123d-41be-ad0a-9c27ed5f1f16	2	12784	4158097	2980	-0.3199
17decefd-123d-41be-ad0a-9c27ed5f1f16	2	4166274	4176429	42	-1.341
17decefd-123d-41be-ad0a-9c27ed5f1f16	2	4182472	34466002	21025	-0.292
17decefd-123d-41be-ad0a-9c27ed5f1f16	2	34474248	34511446	45	0.2109
17decefd-123d-41be-ad0a-9c27ed5f1f16	2	34511990	41988566	5649	-0.2858
17decefd-123d-41be-ad0a-9c27ed5f1f16	2	41991194	41996881	7	-1.1029
17decefd-123d-41be-ad0a-9c27ed5f1f16	2	41999704	45091326	2077	-0.3023
17decefd-123d-41be-ad0a-9c27ed5f1f16	2	45091575	45092366	2	-2.4752
17decefd-123d-41be-ad0a-9c27ed5f1f16	2	45092743	46759642	1395	-0.2677
17decefd-123d-41be-ad0a-9c27ed5f1f16	2	46760934	51980542	3497	-0.3311
17decefd-123d-41be-ad0a-9c27ed5f1f16	2	51981120	52527330	358	-0.2754
17decefd-123d-41be-ad0a-9c27ed5f1f16	2	52527342	52554404	39	0.094
17decefd-123d-41be-ad0a-9c27ed5f1f16	2	52560811	83023449	19741	-0.2943
17decefd-123d-41be-ad0a-9c27ed5f1f16	2	83023673	83023917	3	-2.8
17decefd-123d-41be-ad0a-9c27ed5f1f16	2	83030188	97359885	4067	-0.2873
17decefd-123d-41be-ad0a-9c27ed5f1f16	2	97524284	97545247	8	-1.2288
17decefd-123d-41be-ad0a-9c27ed5f1f16	2	97545726	106265177	5558	-0.2894
17decefd-123d-41be-ad0a-9c27ed5f1f16	2	106266773	106268378	5	-2.9897
17decefd-123d-41be-ad0a-9c27ed5f1f16	2	106268523	122719438	9482	-0.294
17decefd-123d-41be-ad0a-9c27ed5f1f16	2	122722323	122724665	8	-1.488
17decefd-123d-41be-ad0a-9c27ed5f1f16	2	122726077	123576482	631	-0.3015
17decefd-123d-41be-ad0a-9c27ed5f1f16	2	123576495	125694355	1317	-0.3671
17decefd-123d-41be-ad0a-9c27ed5f1f16	2	125694440	146104517	12354	-0.3006
17decefd-123d-41be-ad0a-9c27ed5f1f16	2	146106836	146109366	24	0.5631
17decefd-123d-41be-ad0a-9c27ed5f1f16	2	146120238	155626446	5781	-0.2925
17decefd-123d-41be-ad0a-9c27ed5f1f16	2	155626548	155626551	2	-2.4863
17decefd-123d-41be-ad0a-9c27ed5f1f16	2	155627204	179196928	14453	-0.2877
17decefd-123d-41be-ad0a-9c27ed5f1f16	2	179202465	179214417	3	-1.9756
17decefd-123d-41be-ad0a-9c27ed5f1f16	2	179218864	183709219	2862	-0.2857
17decefd-123d-41be-ad0a-9c27ed5f1f16	2	183712465	183712596	3	-2.1654
17decefd-123d-41be-ad0a-9c27ed5f1f16	2	183716167	193236178	5447	-0.2772
17decefd-123d-41be-ad0a-9c27ed5f1f16	2	193239011	193249368	6	-0.986
17decefd-123d-41be-ad0a-9c27ed5f1f16	2	193249855	193280646	18	-2.6925
