GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
23460fe3-85d8-4715-a7e2-b656926b763c	1	62920	805477	27	-0.2853
23460fe3-85d8-4715-a7e2-b656926b763c	1	806913	1696979	185	0.4055
23460fe3-85d8-4715-a7e2-b656926b763c	1	1710664	1741164	14	-0.7761
23460fe3-85d8-4715-a7e2-b656926b763c	1	1756148	3306087	521	0.2984
23460fe3-85d8-4715-a7e2-b656926b763c	1	3308094	5951845	2031	0.0118
23460fe3-85d8-4715-a7e2-b656926b763c	1	5954503	5988998	19	0.6346
23460fe3-85d8-4715-a7e2-b656926b763c	1	5989543	14736130	4744	0.0268
23460fe3-85d8-4715-a7e2-b656926b763c	1	14737886	14741078	3	-1.3003
23460fe3-85d8-4715-a7e2-b656926b763c	1	14741704	16909775	1151	0.0467
23460fe3-85d8-4715-a7e2-b656926b763c	1	16912972	16997950	53	0.4535
23460fe3-85d8-4715-a7e2-b656926b763c	1	16999460	25256188	5205	0.0122
23460fe3-85d8-4715-a7e2-b656926b763c	1	25256352	25320455	27	0.5709
23460fe3-85d8-4715-a7e2-b656926b763c	1	25336819	30667100	2719	0.0165
23460fe3-85d8-4715-a7e2-b656926b763c	1	30670188	30778851	83	0.3587
23460fe3-85d8-4715-a7e2-b656926b763c	1	30789158	37379639	3600	0.003
23460fe3-85d8-4715-a7e2-b656926b763c	1	37383192	37455442	47	0.4056
23460fe3-85d8-4715-a7e2-b656926b763c	1	37457798	39638912	1186	-0.0201
23460fe3-85d8-4715-a7e2-b656926b763c	1	39648952	39718220	42	0.369
23460fe3-85d8-4715-a7e2-b656926b763c	1	39718250	72302815	20866	0.0049
23460fe3-85d8-4715-a7e2-b656926b763c	1	72303233	72345465	46	-1.5561
23460fe3-85d8-4715-a7e2-b656926b763c	1	72346221	89009572	10842	-0.0072
23460fe3-85d8-4715-a7e2-b656926b763c	1	89012275	89012522	2	-2.5675
23460fe3-85d8-4715-a7e2-b656926b763c	1	89015841	109684893	12572	0.0008
23460fe3-85d8-4715-a7e2-b656926b763c	1	109690352	109697556	12	1.2666
23460fe3-85d8-4715-a7e2-b656926b763c	1	109702376	112153343	1936	0.0045
23460fe3-85d8-4715-a7e2-b656926b763c	1	112153465	112154341	15	0.6805
23460fe3-85d8-4715-a7e2-b656926b763c	1	112154375	114289343	1328	0.0178
23460fe3-85d8-4715-a7e2-b656926b763c	1	114291004	114291088	2	-2.1477
23460fe3-85d8-4715-a7e2-b656926b763c	1	114291180	152582700	6225	0.013
23460fe3-85d8-4715-a7e2-b656926b763c	1	152583051	152614118	36	0.5649
23460fe3-85d8-4715-a7e2-b656926b763c	1	152618018	152784298	161	-0.0058
23460fe3-85d8-4715-a7e2-b656926b763c	1	152784330	152801429	41	0.6396
23460fe3-85d8-4715-a7e2-b656926b763c	1	152804279	196762956	29224	-0.002
23460fe3-85d8-4715-a7e2-b656926b763c	1	196769493	196829534	47	-0.6399
23460fe3-85d8-4715-a7e2-b656926b763c	1	196829693	222193326	17250	0.0044
23460fe3-85d8-4715-a7e2-b656926b763c	1	222201492	222203662	2	-2.8322
23460fe3-85d8-4715-a7e2-b656926b763c	1	222208792	228309186	3599	0.015
23460fe3-85d8-4715-a7e2-b656926b763c	1	228309482	228553446	97	0.273
23460fe3-85d8-4715-a7e2-b656926b763c	1	228656037	231764695	2196	-0.0044
23460fe3-85d8-4715-a7e2-b656926b763c	1	231775548	231812573	32	0.5519
23460fe3-85d8-4715-a7e2-b656926b763c	1	231812900	242899325	8601	0.0098
23460fe3-85d8-4715-a7e2-b656926b763c	1	242899340	242971405	24	0.5469
23460fe3-85d8-4715-a7e2-b656926b763c	1	242971953	246681274	2416	0.0039
23460fe3-85d8-4715-a7e2-b656926b763c	1	246681868	246734832	29	0.6068
23460fe3-85d8-4715-a7e2-b656926b763c	1	246735896	247602365	548	0.0427
23460fe3-85d8-4715-a7e2-b656926b763c	1	247615586	248373102	491	-0.0997
23460fe3-85d8-4715-a7e2-b656926b763c	1	248375793	248930189	235	0.1591
23460fe3-85d8-4715-a7e2-b656926b763c	2	12784	3144361	2173	0.058
23460fe3-85d8-4715-a7e2-b656926b763c	2	3147886	3245891	104	0.3375
23460fe3-85d8-4715-a7e2-b656926b763c	2	3246139	4168830	702	-0.0102
23460fe3-85d8-4715-a7e2-b656926b763c	2	4168862	4175922	33	-0.9075
23460fe3-85d8-4715-a7e2-b656926b763c	2	4175977	7474739	2860	0.0046
23460fe3-85d8-4715-a7e2-b656926b763c	2	7475911	7510595	24	0.7133
23460fe3-85d8-4715-a7e2-b656926b763c	2	7510673	34476516	18020	0.0126
23460fe3-85d8-4715-a7e2-b656926b763c	2	34476558	34511990	43	0.6393
23460fe3-85d8-4715-a7e2-b656926b763c	2	34512096	50671399	11636	0.0016
23460fe3-85d8-4715-a7e2-b656926b763c	2	50671817	51087390	274	-0.161
23460fe3-85d8-4715-a7e2-b656926b763c	2	51087572	52531615	983	-0.0092
23460fe3-85d8-4715-a7e2-b656926b763c	2	52531630	52554137	23	-0.8605
23460fe3-85d8-4715-a7e2-b656926b763c	2	52554157	87286164	21889	0.0005
23460fe3-85d8-4715-a7e2-b656926b763c	2	87287256	87295819	3	-1.7903
23460fe3-85d8-4715-a7e2-b656926b763c	2	87299357	97087848	1722	0.0263
23460fe3-85d8-4715-a7e2-b656926b763c	2	97091772	97609151	94	-0.4095
23460fe3-85d8-4715-a7e2-b656926b763c	2	97624729	115819471	10647	0.0103
23460fe3-85d8-4715-a7e2-b656926b763c	2	115821215	115844540	15	-0.6436
23460fe3-85d8-4715-a7e2-b656926b763c	2	115846421	139603816	14538	0.0053
23460fe3-85d8-4715-a7e2-b656926b763c	2	139608522	139615765	2	-2.9929
23460fe3-85d8-4715-a7e2-b656926b763c	2	139620979	146106861	3980	0.0098
23460fe3-85d8-4715-a7e2-b656926b763c	2	146106875	146109139	19	0.7874
23460fe3-85d8-4715-a7e2-b656926b763c	2	146109230	242147305	58572	0.0047
23460fe3-85d8-4715-a7e2-b656926b763c	3	20930	239919	195	0.0386
23460fe3-85d8-4715-a7e2-b656926b763c	3	241080	2157216	1674	-0.1192
23460fe3-85d8-4715-a7e2-b656926b763c	3	2157233	21119026	13782	-0.0049
23460fe3-85d8-4715-a7e2-b656926b763c	3	21119606	21188178	44	-0.4935
23460fe3-85d8-4715-a7e2-b656926b763c	3	21188230	21714071	401	0.0118
23460fe3-85d8-4715-a7e2-b656926b763c	3	21714189	22292612	557	-0.1301
23460fe3-85d8-4715-a7e2-b656926b763c	3	22294850	37940617	10721	-0.0082
23460fe3-85d8-4715-a7e2-b656926b763c	3	37940970	37942340	12	-0.9348
23460fe3-85d8-4715-a7e2-b656926b763c	3	37942460	50005807	6748	0.0069
23460fe3-85d8-4715-a7e2-b656926b763c	3	50006573	50006579	2	-3.2913
23460fe3-85d8-4715-a7e2-b656926b763c	3	50009136	146614803	57961	-0.0053
23460fe3-85d8-4715-a7e2-b656926b763c	3	146615024	147650849	557	-0.1439
23460fe3-85d8-4715-a7e2-b656926b763c	3	147651241	150781808	1909	0.0164
23460fe3-85d8-4715-a7e2-b656926b763c	3	150781841	150845908	40	0.5256
23460fe3-85d8-4715-a7e2-b656926b763c	3	150848423	156630796	3597	-0.0017
23460fe3-85d8-4715-a7e2-b656926b763c	3	156631211	156633118	2	-2.0442
23460fe3-85d8-4715-a7e2-b656926b763c	3	156637241	175441834	11477	-0.0101
23460fe3-85d8-4715-a7e2-b656926b763c	3	175443714	175993572	334	-0.2128
23460fe3-85d8-4715-a7e2-b656926b763c	3	175995036	193160173	11012	0.0028
23460fe3-85d8-4715-a7e2-b656926b763c	3	193160256	193161217	5	1.3006
23460fe3-85d8-4715-a7e2-b656926b763c	3	193162684	194920587	1168	0.0285
23460fe3-85d8-4715-a7e2-b656926b763c	3	194920617	194921116	4	-1.4753
23460fe3-85d8-4715-a7e2-b656926b763c	3	194921751	195458232	290	-0.001
23460fe3-85d8-4715-a7e2-b656926b763c	3	195459736	195737636	65	0.3358
23460fe3-85d8-4715-a7e2-b656926b763c	3	195737995	195747892	4	1.6554
23460fe3-85d8-4715-a7e2-b656926b763c	3	195751823	196017117	95	0.2811
23460fe3-85d8-4715-a7e2-b656926b763c	3	196019900	196639048	313	0.0057
23460fe3-85d8-4715-a7e2-b656926b763c	3	196640529	197025047	180	0.2018
23460fe3-85d8-4715-a7e2-b656926b763c	3	197025852	198169114	571	-0.0159
23460fe3-85d8-4715-a7e2-b656926b763c	3	198169131	198169247	3	-1.5043
23460fe3-85d8-4715-a7e2-b656926b763c	4	68929	302594	112	-0.0584
23460fe3-85d8-4715-a7e2-b656926b763c	4	304143	1051535	236	0.2334
23460fe3-85d8-4715-a7e2-b656926b763c	4	1057724	2482916	566	0.0425
23460fe3-85d8-4715-a7e2-b656926b763c	4	2484549	2484759	2	-1.6138
23460fe3-85d8-4715-a7e2-b656926b763c	4	2485639	3877891	641	0.0276
23460fe3-85d8-4715-a7e2-b656926b763c	4	3884081	3896017	2	-2.7316
23460fe3-85d8-4715-a7e2-b656926b763c	4	3899125	4180275	76	-0.2848
23460fe3-85d8-4715-a7e2-b656926b763c	4	4182970	7439596	2569	0.0224
23460fe3-85d8-4715-a7e2-b656926b763c	4	7439872	7460799	17	0.6875
23460fe3-85d8-4715-a7e2-b656926b763c	4	7461577	9384259	855	0.029
23460fe3-85d8-4715-a7e2-b656926b763c	4	9389204	9390554	4	-1.3434
23460fe3-85d8-4715-a7e2-b656926b763c	4	9391123	10208245	576	-0.0139
23460fe3-85d8-4715-a7e2-b656926b763c	4	10208322	10233542	40	0.4574
23460fe3-85d8-4715-a7e2-b656926b763c	4	10233558	44989501	23445	-0.007
23460fe3-85d8-4715-a7e2-b656926b763c	4	44992586	45003835	17	-0.4474
23460fe3-85d8-4715-a7e2-b656926b763c	4	45004175	45004318	3	-3.9982
23460fe3-85d8-4715-a7e2-b656926b763c	4	45008952	63816428	9832	-0.0037
23460fe3-85d8-4715-a7e2-b656926b763c	4	63818451	63852325	41	-0.6858
23460fe3-85d8-4715-a7e2-b656926b763c	4	63856498	68395346	2822	-0.0189
23460fe3-85d8-4715-a7e2-b656926b763c	4	68416487	68439221	7	-1.1898
23460fe3-85d8-4715-a7e2-b656926b763c	4	68450733	68501424	9	-0.204
23460fe3-85d8-4715-a7e2-b656926b763c	4	68506285	68671434	71	0.6527
23460fe3-85d8-4715-a7e2-b656926b763c	4	68674307	69252275	302	-0.1676
23460fe3-85d8-4715-a7e2-b656926b763c	4	69254604	103830488	20900	-0.004
23460fe3-85d8-4715-a7e2-b656926b763c	4	103832444	103841700	24	-0.4959
23460fe3-85d8-4715-a7e2-b656926b763c	4	103841886	107129798	1817	0.0109
23460fe3-85d8-4715-a7e2-b656926b763c	4	107130169	107154401	35	-0.6561
23460fe3-85d8-4715-a7e2-b656926b763c	4	107154866	114252472	4368	0.0142
23460fe3-85d8-4715-a7e2-b656926b763c	4	114252500	114261019	25	-1.1418
23460fe3-85d8-4715-a7e2-b656926b763c	4	114263073	121360818	4299	-0.006
