GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
9ab1b5e6-36d3-43f8-aee7-8b8fb1349a99	1	62920	462795	18	-0.4534
9ab1b5e6-36d3-43f8-aee7-8b8fb1349a99	1	462894	817186	14	0.0137
9ab1b5e6-36d3-43f8-aee7-8b8fb1349a99	1	822089	1575421	178	0.186
9ab1b5e6-36d3-43f8-aee7-8b8fb1349a99	1	1696479	1756619	22	0.8556
9ab1b5e6-36d3-43f8-aee7-8b8fb1349a99	1	1756753	3298168	504	0.1352
9ab1b5e6-36d3-43f8-aee7-8b8fb1349a99	1	3301765	16679239	7910	0.0052
9ab1b5e6-36d3-43f8-aee7-8b8fb1349a99	1	16679281	16973678	94	0.3114
9ab1b5e6-36d3-43f8-aee7-8b8fb1349a99	1	16975177	21992508	3308	0.0107
9ab1b5e6-36d3-43f8-aee7-8b8fb1349a99	1	21996664	22011632	6	-1.3555
9ab1b5e6-36d3-43f8-aee7-8b8fb1349a99	1	22015896	70836880	29580	0.0013
9ab1b5e6-36d3-43f8-aee7-8b8fb1349a99	1	70839424	70848774	11	-1.0892
9ab1b5e6-36d3-43f8-aee7-8b8fb1349a99	1	70850149	72303233	858	0.0207
9ab1b5e6-36d3-43f8-aee7-8b8fb1349a99	1	72303253	72345450	44	-1.5184
9ab1b5e6-36d3-43f8-aee7-8b8fb1349a99	1	72345465	112147704	25355	-0.0007
9ab1b5e6-36d3-43f8-aee7-8b8fb1349a99	1	112153343	112154619	23	0.466
9ab1b5e6-36d3-43f8-aee7-8b8fb1349a99	1	112154754	121601998	5125	0.004
9ab1b5e6-36d3-43f8-aee7-8b8fb1349a99	1	121705338	143754062	114	-0.8049
9ab1b5e6-36d3-43f8-aee7-8b8fb1349a99	1	143754077	152583051	2304	0.0461
9ab1b5e6-36d3-43f8-aee7-8b8fb1349a99	1	152583230	152614064	33	-1.62
9ab1b5e6-36d3-43f8-aee7-8b8fb1349a99	1	152614100	169244180	11379	0.0041
9ab1b5e6-36d3-43f8-aee7-8b8fb1349a99	1	169245429	169286164	14	0.5774
9ab1b5e6-36d3-43f8-aee7-8b8fb1349a99	1	169287263	194479104	16579	0.0019
9ab1b5e6-36d3-43f8-aee7-8b8fb1349a99	1	194482281	194485888	2	-1.8375
9ab1b5e6-36d3-43f8-aee7-8b8fb1349a99	1	194487886	196745743	1438	-0.0101
9ab1b5e6-36d3-43f8-aee7-8b8fb1349a99	1	196758720	196820704	46	0.51
9ab1b5e6-36d3-43f8-aee7-8b8fb1349a99	1	196821139	248930189	35513	0.005
9ab1b5e6-36d3-43f8-aee7-8b8fb1349a99	2	12784	296789	181	-0.0075
9ab1b5e6-36d3-43f8-aee7-8b8fb1349a99	2	296812	296852	2	-2.0052
9ab1b5e6-36d3-43f8-aee7-8b8fb1349a99	2	300879	1918353	1057	0.0752
9ab1b5e6-36d3-43f8-aee7-8b8fb1349a99	2	1920055	3082554	884	-0.0195
