GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
c581782b-d8b5-4563-9464-6259dad80e4f	1	62920	15823420	8311	0.0121
c581782b-d8b5-4563-9464-6259dad80e4f	1	15827002	15828515	10	-1.4634
c581782b-d8b5-4563-9464-6259dad80e4f	1	15839166	16542868	297	0.0065
c581782b-d8b5-4563-9464-6259dad80e4f	1	16544783	16679483	33	0.347
c581782b-d8b5-4563-9464-6259dad80e4f	1	16685961	16909203	42	0.0032
c581782b-d8b5-4563-9464-6259dad80e4f	1	16909357	16935393	34	-0.3593
c581782b-d8b5-4563-9464-6259dad80e4f	1	16935737	25256850	5233	0.0093
c581782b-d8b5-4563-9464-6259dad80e4f	1	25266637	25319693	21	0.7162
c581782b-d8b5-4563-9464-6259dad80e4f	1	25320198	34626073	4929	0.0067
c581782b-d8b5-4563-9464-6259dad80e4f	1	34637053	34638890	20	-0.5186
c581782b-d8b5-4563-9464-6259dad80e4f	1	34648667	40880756	3348	0.0057
c581782b-d8b5-4563-9464-6259dad80e4f	1	40881535	40910828	18	0.611
c581782b-d8b5-4563-9464-6259dad80e4f	1	40918052	72303233	20231	0.004
c581782b-d8b5-4563-9464-6259dad80e4f	1	72303253	72345465	45	-1.5047
c581782b-d8b5-4563-9464-6259dad80e4f	1	72346221	75585159	1907	0.0015
c581782b-d8b5-4563-9464-6259dad80e4f	1	75589078	75589169	2	-2.3431
c581782b-d8b5-4563-9464-6259dad80e4f	1	75593824	78323769	1824	-0.0018
c581782b-d8b5-4563-9464-6259dad80e4f	1	78323890	78324107	2	-2.3638
c581782b-d8b5-4563-9464-6259dad80e4f	1	78329348	108223733	19011	0.0051
c581782b-d8b5-4563-9464-6259dad80e4f	1	108226680	108274557	2	-3.5355
c581782b-d8b5-4563-9464-6259dad80e4f	1	108310648	109684695	670	0.0256
c581782b-d8b5-4563-9464-6259dad80e4f	1	109684893	109692006	10	-0.6165
c581782b-d8b5-4563-9464-6259dad80e4f	1	109696900	112147704	1935	0.0104
c581782b-d8b5-4563-9464-6259dad80e4f	1	112153343	112163440	28	0.4518
c581782b-d8b5-4563-9464-6259dad80e4f	1	112163460	152583051	7543	0.0192
c581782b-d8b5-4563-9464-6259dad80e4f	1	152583230	152614118	35	1.5154
c581782b-d8b5-4563-9464-6259dad80e4f	1	152618018	169246873	11382	0.0001
c581782b-d8b5-4563-9464-6259dad80e4f	1	169247699	169272528	7	-2.2245
c581782b-d8b5-4563-9464-6259dad80e4f	1	169273163	196745743	18027	0.0125
c581782b-d8b5-4563-9464-6259dad80e4f	1	196758720	196854187	63	0.4843
c581782b-d8b5-4563-9464-6259dad80e4f	1	196854483	248930189	35502	0.0022
c581782b-d8b5-4563-9464-6259dad80e4f	2	12784	4152855	2968	0.0195
c581782b-d8b5-4563-9464-6259dad80e4f	2	4153079	4176429	46	-0.4798
c581782b-d8b5-4563-9464-6259dad80e4f	2	4182472	14565932	7960	0.0099
c581782b-d8b5-4563-9464-6259dad80e4f	2	14566145	14566914	8	-1.1907
c581782b-d8b5-4563-9464-6259dad80e4f	2	14569897	34466002	12930	0.0066
c581782b-d8b5-4563-9464-6259dad80e4f	2	34474248	34511990	46	-0.4876
