GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
3f30b69f-77aa-4ece-850a-75060bdc60ec	1	62920	5030959	2040	0.0353
3f30b69f-77aa-4ece-850a-75060bdc60ec	1	5033681	62463883	33317	-0.7674
3f30b69f-77aa-4ece-850a-75060bdc60ec	1	62475245	72297687	6609	0.0357
3f30b69f-77aa-4ece-850a-75060bdc60ec	1	72302735	72345465	48	-1.4291
3f30b69f-77aa-4ece-850a-75060bdc60ec	1	72346221	158896783	36676	0.0333
3f30b69f-77aa-4ece-850a-75060bdc60ec	1	158898711	158899969	2	3.1427
3f30b69f-77aa-4ece-850a-75060bdc60ec	1	158905028	248525284	60894	0.0391
3f30b69f-77aa-4ece-850a-75060bdc60ec	1	248525299	248633912	38	-0.7658
3f30b69f-77aa-4ece-850a-75060bdc60ec	1	248645563	248930189	141	0.0404
3f30b69f-77aa-4ece-850a-75060bdc60ec	2	12784	1771993	1141	0.0182
3f30b69f-77aa-4ece-850a-75060bdc60ec	2	1772021	1773284	2	-2.3034
3f30b69f-77aa-4ece-850a-75060bdc60ec	2	1773378	1784851	10	-0.5861
3f30b69f-77aa-4ece-850a-75060bdc60ec	2	1785632	4158097	1811	0.0209
3f30b69f-77aa-4ece-850a-75060bdc60ec	2	4166274	4176429	42	-0.4453
3f30b69f-77aa-4ece-850a-75060bdc60ec	2	4182472	24384202	14734	0.0406
3f30b69f-77aa-4ece-850a-75060bdc60ec	2	24386596	24388259	11	-1.0681
3f30b69f-77aa-4ece-850a-75060bdc60ec	2	24388858	34476327	6082	0.0418
3f30b69f-77aa-4ece-850a-75060bdc60ec	2	34476516	34515572	48	-0.4041
3f30b69f-77aa-4ece-850a-75060bdc60ec	2	34515690	41011095	4740	0.0373
3f30b69f-77aa-4ece-850a-75060bdc60ec	2	41011303	41018747	22	-0.8763
3f30b69f-77aa-4ece-850a-75060bdc60ec	2	41024093	45166009	2961	0.0433
3f30b69f-77aa-4ece-850a-75060bdc60ec	2	45166207	45173321	2	-2.0768
3f30b69f-77aa-4ece-850a-75060bdc60ec	2	45176801	52527330	5117	0.024
3f30b69f-77aa-4ece-850a-75060bdc60ec	2	52527342	52554404	39	-0.718
3f30b69f-77aa-4ece-850a-75060bdc60ec	2	52560811	127099470	41380	0.0306
3f30b69f-77aa-4ece-850a-75060bdc60ec	2	127100187	127101070	3	-2.3359
3f30b69f-77aa-4ece-850a-75060bdc60ec	2	127103254	183220725	33968	0.0171
3f30b69f-77aa-4ece-850a-75060bdc60ec	2	183221060	183224996	9	-1.3047
3f30b69f-77aa-4ece-850a-75060bdc60ec	2	183229270	188254196	2843	0.0104
3f30b69f-77aa-4ece-850a-75060bdc60ec	2	188255201	188264331	5	-2.1816
3f30b69f-77aa-4ece-850a-75060bdc60ec	2	188264452	242147305	33002	0.0047
3f30b69f-77aa-4ece-850a-75060bdc60ec	3	20930	6603914	5725	0.037
3f30b69f-77aa-4ece-850a-75060bdc60ec	3	6604856	6613561	26	-0.6173
3f30b69f-77aa-4ece-850a-75060bdc60ec	3	6613684	52989195	29563	0.0304
3f30b69f-77aa-4ece-850a-75060bdc60ec	3	52994359	53005661	43	-0.7302
3f30b69f-77aa-4ece-850a-75060bdc60ec	3	53007328	65202778	9464	0.0405
3f30b69f-77aa-4ece-850a-75060bdc60ec	3	65203560	65224777	52	-0.7835
3f30b69f-77aa-4ece-850a-75060bdc60ec	3	65230674	99218940	18161	0.0134
3f30b69f-77aa-4ece-850a-75060bdc60ec	3	99225614	99230577	38	-0.6145
3f30b69f-77aa-4ece-850a-75060bdc60ec	3	99232120	162798525	38639	0.0125
3f30b69f-77aa-4ece-850a-75060bdc60ec	3	162800793	162860892	31	-0.8243
3f30b69f-77aa-4ece-850a-75060bdc60ec	3	162861910	193160256	19012	0.0178
3f30b69f-77aa-4ece-850a-75060bdc60ec	3	193160406	193165114	17	1.2765
3f30b69f-77aa-4ece-850a-75060bdc60ec	3	193168646	198169247	2674	0.0319
3f30b69f-77aa-4ece-850a-75060bdc60ec	4	68929	121682	37	0.7099
3f30b69f-77aa-4ece-850a-75060bdc60ec	4	141056	10208766	5609	0.055
3f30b69f-77aa-4ece-850a-75060bdc60ec	4	10221792	10232642	30	-2.0736
3f30b69f-77aa-4ece-850a-75060bdc60ec	4	10232984	10233644	5	-0.9161
3f30b69f-77aa-4ece-850a-75060bdc60ec	4	10234518	10397113	174	0.0218
3f30b69f-77aa-4ece-850a-75060bdc60ec	4	10397210	10399044	10	0.917
3f30b69f-77aa-4ece-850a-75060bdc60ec	4	10401094	18953032	6385	0.0293
3f30b69f-77aa-4ece-850a-75060bdc60ec	4	18955622	18956482	3	-2.519
3f30b69f-77aa-4ece-850a-75060bdc60ec	4	18956603	37946549	12434	0.0169
3f30b69f-77aa-4ece-850a-75060bdc60ec	4	37947222	37947673	2	-2.1074
3f30b69f-77aa-4ece-850a-75060bdc60ec	4	37948234	59107300	11498	0.0253
3f30b69f-77aa-4ece-850a-75060bdc60ec	4	59108353	59122391	9	1.1993
3f30b69f-77aa-4ece-850a-75060bdc60ec	4	59123359	68506285	5585	0.0191
3f30b69f-77aa-4ece-850a-75060bdc60ec	4	68509223	68530744	11	-2.3686
3f30b69f-77aa-4ece-850a-75060bdc60ec	4	68530748	68569894	19	-0.8669
3f30b69f-77aa-4ece-850a-75060bdc60ec	4	68570184	68623617	35	-1.8782
3f30b69f-77aa-4ece-850a-75060bdc60ec	4	68639397	107126757	23016	0.0183
3f30b69f-77aa-4ece-850a-75060bdc60ec	4	107129064	107156277	44	-0.4662
3f30b69f-77aa-4ece-850a-75060bdc60ec	4	107156334	126676176	11758	0.0112
3f30b69f-77aa-4ece-850a-75060bdc60ec	4	126676685	126743486	52	-1.0794
3f30b69f-77aa-4ece-850a-75060bdc60ec	4	126750787	171448195	26833	0.0165
3f30b69f-77aa-4ece-850a-75060bdc60ec	4	171453733	171456625	12	2.2565
3f30b69f-77aa-4ece-850a-75060bdc60ec	4	171459220	190106768	12334	0.0308
3f30b69f-77aa-4ece-850a-75060bdc60ec	5	15532	97709417	58084	0.0269
3f30b69f-77aa-4ece-850a-75060bdc60ec	5	97712762	97763616	43	-0.8762
3f30b69f-77aa-4ece-850a-75060bdc60ec	5	97763980	116675902	12109	0.035
3f30b69f-77aa-4ece-850a-75060bdc60ec	5	116678068	116678099	2	-2.6589
3f30b69f-77aa-4ece-850a-75060bdc60ec	5	116679950	177771448	39467	0.0327
3f30b69f-77aa-4ece-850a-75060bdc60ec	5	177800550	177805604	3	2.1579
3f30b69f-77aa-4ece-850a-75060bdc60ec	5	177827964	180951888	1788	0.0515
3f30b69f-77aa-4ece-850a-75060bdc60ec	5	180953203	180987294	11	0.8318
3f30b69f-77aa-4ece-850a-75060bdc60ec	5	180987465	181363319	173	-0.0044
3f30b69f-77aa-4ece-850a-75060bdc60ec	6	149661	303017	126	0.018
3f30b69f-77aa-4ece-850a-75060bdc60ec	6	314962	382897	76	-0.4762
3f30b69f-77aa-4ece-850a-75060bdc60ec	6	384109	29869411	21241	0.0355
3f30b69f-77aa-4ece-850a-75060bdc60ec	6	29869537	29876257	8	-0.7813
3f30b69f-77aa-4ece-850a-75060bdc60ec	6	29876595	29881490	6	-1.6734
3f30b69f-77aa-4ece-850a-75060bdc60ec	6	29882419	32633540	1196	0.0104
3f30b69f-77aa-4ece-850a-75060bdc60ec	6	32634330	32658841	13	-0.9898
3f30b69f-77aa-4ece-850a-75060bdc60ec	6	32682835	66298369	18861	0.0382
3f30b69f-77aa-4ece-850a-75060bdc60ec	6	66299130	66339513	56	-0.7282
3f30b69f-77aa-4ece-850a-75060bdc60ec	6	66339706	78253172	7704	0.0123
3f30b69f-77aa-4ece-850a-75060bdc60ec	6	78259348	78322875	106	-0.4427
3f30b69f-77aa-4ece-850a-75060bdc60ec	6	78325223	170741917	59055	0.0284
3f30b69f-77aa-4ece-850a-75060bdc60ec	7	43355	8785630	5011	0.0467
3f30b69f-77aa-4ece-850a-75060bdc60ec	7	8786255	8826367	50	-0.9504
3f30b69f-77aa-4ece-850a-75060bdc60ec	7	8833366	15392007	5211	0.0372
3f30b69f-77aa-4ece-850a-75060bdc60ec	7	15392045	15395008	4	-1.9106
3f30b69f-77aa-4ece-850a-75060bdc60ec	7	15395947	19627165	3552	0.0672
3f30b69f-77aa-4ece-850a-75060bdc60ec	7	19637924	19642525	4	-1.7471
3f30b69f-77aa-4ece-850a-75060bdc60ec	7	19643054	29451918	7225	0.0338
3f30b69f-77aa-4ece-850a-75060bdc60ec	7	29452432	29453580	3	-2.5227
3f30b69f-77aa-4ece-850a-75060bdc60ec	7	29454269	134100424	59877	0.0327
3f30b69f-77aa-4ece-850a-75060bdc60ec	7	134100442	134110881	25	0.6952
3f30b69f-77aa-4ece-850a-75060bdc60ec	7	134110912	159334314	15947	0.0359
3f30b69f-77aa-4ece-850a-75060bdc60ec	8	81254	643041	317	0.0933
3f30b69f-77aa-4ece-850a-75060bdc60ec	8	644944	645908	10	1.3336
3f30b69f-77aa-4ece-850a-75060bdc60ec	8	656117	2844412	1689	0.0348
3f30b69f-77aa-4ece-850a-75060bdc60ec	8	2846011	2846377	7	-1.3118
3f30b69f-77aa-4ece-850a-75060bdc60ec	8	2849649	3926665	1289	0.0119
3f30b69f-77aa-4ece-850a-75060bdc60ec	8	3929538	3932584	23	-0.7958
3f30b69f-77aa-4ece-850a-75060bdc60ec	8	3933696	25114672	17895	0.028
3f30b69f-77aa-4ece-850a-75060bdc60ec	8	25116928	25126708	25	-0.9051
3f30b69f-77aa-4ece-850a-75060bdc60ec	8	25126735	39372806	8925	0.0301
