GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
d29af0e6-eda9-4830-b0f7-9536b861b30d	1	62920	7262100	3477	0.0046
d29af0e6-eda9-4830-b0f7-9536b861b30d	1	7264408	7265165	3	-1.4771
d29af0e6-eda9-4830-b0f7-9536b861b30d	1	7265360	10573682	1840	0.005
d29af0e6-eda9-4830-b0f7-9536b861b30d	1	10576638	10578011	2	-1.6811
d29af0e6-eda9-4830-b0f7-9536b861b30d	1	10579724	16679281	3329	0.0052
d29af0e6-eda9-4830-b0f7-9536b861b30d	1	16679483	16721984	10	0.6604
d29af0e6-eda9-4830-b0f7-9536b861b30d	1	16766762	16864367	16	-0.4098
d29af0e6-eda9-4830-b0f7-9536b861b30d	1	16868660	16949746	54	0.6301
d29af0e6-eda9-4830-b0f7-9536b861b30d	1	16951445	25256850	5230	0.0018
d29af0e6-eda9-4830-b0f7-9536b861b30d	1	25266637	25319693	21	0.6712
d29af0e6-eda9-4830-b0f7-9536b861b30d	1	25320198	68128798	26074	-0.0003
d29af0e6-eda9-4830-b0f7-9536b861b30d	1	68128957	68129037	2	-1.7379
d29af0e6-eda9-4830-b0f7-9536b861b30d	1	68129267	72303233	2473	-0.0056
d29af0e6-eda9-4830-b0f7-9536b861b30d	1	72303253	72345465	45	-1.2843
d29af0e6-eda9-4830-b0f7-9536b861b30d	1	72346221	89144543	10940	0.0045
d29af0e6-eda9-4830-b0f7-9536b861b30d	1	89149747	89264291	57	-0.9499
d29af0e6-eda9-4830-b0f7-9536b861b30d	1	89267976	103616762	8878	0.0038
d29af0e6-eda9-4830-b0f7-9536b861b30d	1	103620877	103717410	5	1.8845
d29af0e6-eda9-4830-b0f7-9536b861b30d	1	103717617	104946993	622	-0.007
d29af0e6-eda9-4830-b0f7-9536b861b30d	1	104948206	104957900	5	-0.8706
d29af0e6-eda9-4830-b0f7-9536b861b30d	1	104962400	109684893	2916	0.0032
d29af0e6-eda9-4830-b0f7-9536b861b30d	1	109690352	109697556	12	1.279
d29af0e6-eda9-4830-b0f7-9536b861b30d	1	109702376	112147704	1933	0.0068
d29af0e6-eda9-4830-b0f7-9536b861b30d	1	112153343	112154591	22	-1.7205
d29af0e6-eda9-4830-b0f7-9536b861b30d	1	112154619	112163334	4	-0.7281
d29af0e6-eda9-4830-b0f7-9536b861b30d	1	112163438	143748012	5225	0.0037
d29af0e6-eda9-4830-b0f7-9536b861b30d	1	143748074	143754798	18	0.9411
d29af0e6-eda9-4830-b0f7-9536b861b30d	1	143759680	146062439	189	0.0422
d29af0e6-eda9-4830-b0f7-9536b861b30d	1	146150530	146250588	4	1.1574
d29af0e6-eda9-4830-b0f7-9536b861b30d	1	146716041	152598693	2121	0.0275
d29af0e6-eda9-4830-b0f7-9536b861b30d	1	152598884	152614118	23	0.6114
d29af0e6-eda9-4830-b0f7-9536b861b30d	1	152618018	152787202	164	-0.0409
d29af0e6-eda9-4830-b0f7-9536b861b30d	1	152789447	152796224	37	0.6824
d29af0e6-eda9-4830-b0f7-9536b861b30d	1	152801429	174834534	14702	-0.0028
d29af0e6-eda9-4830-b0f7-9536b861b30d	1	174834556	174834573	2	2.9871
d29af0e6-eda9-4830-b0f7-9536b861b30d	1	174834635	194479104	13076	0.0044
d29af0e6-eda9-4830-b0f7-9536b861b30d	1	194482281	194485888	2	2.2384
d29af0e6-eda9-4830-b0f7-9536b861b30d	1	194487886	196762956	1442	-0.0026
d29af0e6-eda9-4830-b0f7-9536b861b30d	1	196769493	196846661	57	0.4927
d29af0e6-eda9-4830-b0f7-9536b861b30d	1	196847600	240228440	29698	0.0004
d29af0e6-eda9-4830-b0f7-9536b861b30d	1	240230715	240230824	5	-2.2656
d29af0e6-eda9-4830-b0f7-9536b861b30d	1	240230839	248930189	5815	0.0138
d29af0e6-eda9-4830-b0f7-9536b861b30d	2	12784	34474248	23912	0.0066
d29af0e6-eda9-4830-b0f7-9536b861b30d	2	34476327	34515732	51	0.6074
d29af0e6-eda9-4830-b0f7-9536b861b30d	2	34515960	35742970	856	-0.0245
d29af0e6-eda9-4830-b0f7-9536b861b30d	2	35750907	35762850	7	-1.1619
d29af0e6-eda9-4830-b0f7-9536b861b30d	2	35762881	40105711	3121	-0.0019
d29af0e6-eda9-4830-b0f7-9536b861b30d	2	40108270	40108736	3	-2.1992
d29af0e6-eda9-4830-b0f7-9536b861b30d	2	40109500	52514599	8892	0.0089
d29af0e6-eda9-4830-b0f7-9536b861b30d	2	52516787	52560811	42	0.5143
d29af0e6-eda9-4830-b0f7-9536b861b30d	2	52563002	97359885	23681	0.0042
d29af0e6-eda9-4830-b0f7-9536b861b30d	2	97524284	97560849	15	-0.7291
d29af0e6-eda9-4830-b0f7-9536b861b30d	2	97562741	100277780	1506	0.0079
d29af0e6-eda9-4830-b0f7-9536b861b30d	2	100278619	100279268	3	-2.1768
d29af0e6-eda9-4830-b0f7-9536b861b30d	2	100282121	123399424	13962	0.0033
d29af0e6-eda9-4830-b0f7-9536b861b30d	2	123400301	123403317	4	-1.2321
d29af0e6-eda9-4830-b0f7-9536b861b30d	2	123404863	146106875	13713	0.0082
d29af0e6-eda9-4830-b0f7-9536b861b30d	2	146106889	146109366	21	-1.7645
d29af0e6-eda9-4830-b0f7-9536b861b30d	2	146120238	184451949	23492	0.0035
d29af0e6-eda9-4830-b0f7-9536b861b30d	2	184452153	184453319	2	1.7106
d29af0e6-eda9-4830-b0f7-9536b861b30d	2	184453824	242147305	35096	0.0027
d29af0e6-eda9-4830-b0f7-9536b861b30d	3	20930	8559495	7439	-0.005
d29af0e6-eda9-4830-b0f7-9536b861b30d	3	8559648	8560078	3	-1.3921
d29af0e6-eda9-4830-b0f7-9536b861b30d	3	8561253	29390802	14278	-0.0029
d29af0e6-eda9-4830-b0f7-9536b861b30d	3	29391114	29396889	5	-1.7736
d29af0e6-eda9-4830-b0f7-9536b861b30d	3	29396917	58721446	17572	-0.0019
d29af0e6-eda9-4830-b0f7-9536b861b30d	3	58722654	58723678	2	-2.2101
d29af0e6-eda9-4830-b0f7-9536b861b30d	3	58725966	68697013	8094	-0.002
d29af0e6-eda9-4830-b0f7-9536b861b30d	3	68697108	68698262	14	-1.1798
d29af0e6-eda9-4830-b0f7-9536b861b30d	3	68699607	75519398	4902	0.003
d29af0e6-eda9-4830-b0f7-9536b861b30d	3	75523398	75537654	6	-1.79
d29af0e6-eda9-4830-b0f7-9536b861b30d	3	75546030	84651178	4951	-0.011
d29af0e6-eda9-4830-b0f7-9536b861b30d	3	84651212	84653010	8	-0.9283
d29af0e6-eda9-4830-b0f7-9536b861b30d	3	84653084	104922358	9317	-0.0079
d29af0e6-eda9-4830-b0f7-9536b861b30d	3	104925617	104925720	2	-2.8582
d29af0e6-eda9-4830-b0f7-9536b861b30d	3	104926547	132273893	16671	0.0032
d29af0e6-eda9-4830-b0f7-9536b861b30d	3	132273929	132276840	3	-1.8804
d29af0e6-eda9-4830-b0f7-9536b861b30d	3	132281633	162790480	18680	0.0018
d29af0e6-eda9-4830-b0f7-9536b861b30d	3	162794869	162898127	64	-1.3492
d29af0e6-eda9-4830-b0f7-9536b861b30d	3	162906054	189642965	16542	-0.0036
d29af0e6-eda9-4830-b0f7-9536b861b30d	3	189645889	189646849	11	-2.6792
d29af0e6-eda9-4830-b0f7-9536b861b30d	3	189653199	193161217	2475	0.0074
d29af0e6-eda9-4830-b0f7-9536b861b30d	3	193162684	193165114	13	-1.2087
d29af0e6-eda9-4830-b0f7-9536b861b30d	3	193168646	195558822	1473	-0.0021
d29af0e6-eda9-4830-b0f7-9536b861b30d	3	195559056	195728637	27	0.4734
d29af0e6-eda9-4830-b0f7-9536b861b30d	3	195728990	198142659	1176	-0.0105
d29af0e6-eda9-4830-b0f7-9536b861b30d	3	198169114	198169247	4	1.1244
d29af0e6-eda9-4830-b0f7-9536b861b30d	4	68929	9455251	5124	-0.0005
d29af0e6-eda9-4830-b0f7-9536b861b30d	4	9459504	9463248	3	1.5852
d29af0e6-eda9-4830-b0f7-9536b861b30d	4	9469529	10208766	538	-0.012
d29af0e6-eda9-4830-b0f7-9536b861b30d	4	10221792	10229874	28	-1.8222
d29af0e6-eda9-4830-b0f7-9536b861b30d	4	10232590	10233644	7	-0.5077
d29af0e6-eda9-4830-b0f7-9536b861b30d	4	10234518	10389091	169	-0.0258
d29af0e6-eda9-4830-b0f7-9536b861b30d	4	10390730	10399044	16	0.5061
d29af0e6-eda9-4830-b0f7-9536b861b30d	4	10401094	34777432	16651	-0.0012
