GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
c6d8fc41-c1b5-457f-a769-7ad898fdb889	1	62920	599171	20	0.3361
c6d8fc41-c1b5-457f-a769-7ad898fdb889	1	668210	12033527	6051	-0.2533
c6d8fc41-c1b5-457f-a769-7ad898fdb889	1	12034625	12045275	4	-2.3771
c6d8fc41-c1b5-457f-a769-7ad898fdb889	1	12046586	15827002	2257	-0.2315
c6d8fc41-c1b5-457f-a769-7ad898fdb889	1	15827041	15828515	9	0.3652
c6d8fc41-c1b5-457f-a769-7ad898fdb889	1	15839166	16604834	303	-0.2254
c6d8fc41-c1b5-457f-a769-7ad898fdb889	1	16605031	16721701	35	-0.5287
c6d8fc41-c1b5-457f-a769-7ad898fdb889	1	16721910	16863509	17	0.0099
c6d8fc41-c1b5-457f-a769-7ad898fdb889	1	16864367	16977349	71	-0.6017
c6d8fc41-c1b5-457f-a769-7ad898fdb889	1	16981663	25266637	5235	-0.2457
c6d8fc41-c1b5-457f-a769-7ad898fdb889	1	25269390	25320455	23	0.442
c6d8fc41-c1b5-457f-a769-7ad898fdb889	1	25336819	31148580	2993	-0.2341
c6d8fc41-c1b5-457f-a769-7ad898fdb889	1	31150820	31152499	2	-2.2059
c6d8fc41-c1b5-457f-a769-7ad898fdb889	1	31152542	54873413	13212	-0.2227
c6d8fc41-c1b5-457f-a769-7ad898fdb889	1	54876242	72303233	12485	-0.1911
c6d8fc41-c1b5-457f-a769-7ad898fdb889	1	72303253	72345450	44	-1.0698
c6d8fc41-c1b5-457f-a769-7ad898fdb889	1	72345465	74066303	1043	-0.1817
c6d8fc41-c1b5-457f-a769-7ad898fdb889	1	74066463	74070273	2	-1.5513
c6d8fc41-c1b5-457f-a769-7ad898fdb889	1	74071568	75585159	882	-0.1704
c6d8fc41-c1b5-457f-a769-7ad898fdb889	1	75589078	75589169	2	-1.7922
c6d8fc41-c1b5-457f-a769-7ad898fdb889	1	75593824	103616762	18078	-0.1852
c6d8fc41-c1b5-457f-a769-7ad898fdb889	1	103620877	103621165	2	2.4072
c6d8fc41-c1b5-457f-a769-7ad898fdb889	1	103697067	105470132	920	-0.195
