GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
f71a8133-9597-4e81-819e-485b523ae635	1	62920	1915175	315	0.1912
f71a8133-9597-4e81-819e-485b523ae635	1	1937525	4617475	1337	0.2874
f71a8133-9597-4e81-819e-485b523ae635	1	4619503	4623036	7	-0.6172
f71a8133-9597-4e81-819e-485b523ae635	1	4625588	6183275	1227	0.2984
f71a8133-9597-4e81-819e-485b523ae635	1	6190279	10030667	2119	0.2208
f71a8133-9597-4e81-819e-485b523ae635	1	10031603	10046717	7	-0.6216
f71a8133-9597-4e81-819e-485b523ae635	1	10047407	12832455	1490	0.2484
f71a8133-9597-4e81-819e-485b523ae635	1	12850124	12867264	5	-1.1644
f71a8133-9597-4e81-819e-485b523ae635	1	12868035	21424751	5245	0.2472
f71a8133-9597-4e81-819e-485b523ae635	1	21433302	21433632	2	-2.0288
f71a8133-9597-4e81-819e-485b523ae635	1	21443394	28502381	3586	0.2107
f71a8133-9597-4e81-819e-485b523ae635	1	28502877	28709466	67	-0.0532
f71a8133-9597-4e81-819e-485b523ae635	1	28718611	29368229	293	0.2349
f71a8133-9597-4e81-819e-485b523ae635	1	29368719	30739199	1085	0.3132
f71a8133-9597-4e81-819e-485b523ae635	1	30739595	32934779	988	0.1933
f71a8133-9597-4e81-819e-485b523ae635	1	32939871	32961069	13	-0.3788
f71a8133-9597-4e81-819e-485b523ae635	1	32961719	33135589	87	0.1864
f71a8133-9597-4e81-819e-485b523ae635	1	33139276	34974315	1278	0.2937
f71a8133-9597-4e81-819e-485b523ae635	1	34974504	36426693	614	0.2089
f71a8133-9597-4e81-819e-485b523ae635	1	36431576	37434814	696	0.3278
f71a8133-9597-4e81-819e-485b523ae635	1	37436534	38019303	262	0.1857
f71a8133-9597-4e81-819e-485b523ae635	1	38023346	38806600	538	0.3163
f71a8133-9597-4e81-819e-485b523ae635	1	38808453	61647430	14107	0.2129
f71a8133-9597-4e81-819e-485b523ae635	1	61648334	61652515	3	-2.7713
f71a8133-9597-4e81-819e-485b523ae635	1	61654137	72284670	7252	0.1951
f71a8133-9597-4e81-819e-485b523ae635	1	72290430	72297687	9	-1.2652
f71a8133-9597-4e81-819e-485b523ae635	1	72302735	72345465	48	0.5513
f71a8133-9597-4e81-819e-485b523ae635	1	72346221	95197940	14770	0.2109
f71a8133-9597-4e81-819e-485b523ae635	1	95198342	95696727	370	0.3209
f71a8133-9597-4e81-819e-485b523ae635	1	95699010	97240681	900	0.2063
f71a8133-9597-4e81-819e-485b523ae635	1	97242691	97725921	278	0.0503
f71a8133-9597-4e81-819e-485b523ae635	1	97728235	101462840	2321	0.2096
f71a8133-9597-4e81-819e-485b523ae635	1	101464346	105501238	2264	0.14
f71a8133-9597-4e81-819e-485b523ae635	1	105501665	108219804	1929	-0.0794
f71a8133-9597-4e81-819e-485b523ae635	1	108223733	108274557	3	-2.5574
f71a8133-9597-4e81-819e-485b523ae635	1	108310648	109679105	671	-0.0874
f71a8133-9597-4e81-819e-485b523ae635	1	109684695	109697556	14	1.1477
f71a8133-9597-4e81-819e-485b523ae635	1	109702376	112147704	1938	-0.0821
f71a8133-9597-4e81-819e-485b523ae635	1	112153343	112154591	22	0.5981
f71a8133-9597-4e81-819e-485b523ae635	1	112154619	121601998	5136	-0.0921
f71a8133-9597-4e81-819e-485b523ae635	1	121705338	152583051	2431	0.6735
f71a8133-9597-4e81-819e-485b523ae635	1	152583230	152614100	34	-1.5795
f71a8133-9597-4e81-819e-485b523ae635	1	152614118	152789570	172	0.7604
f71a8133-9597-4e81-819e-485b523ae635	1	152789781	152795783	27	1.3423
f71a8133-9597-4e81-819e-485b523ae635	1	152795805	153116503	234	0.7275
f71a8133-9597-4e81-819e-485b523ae635	1	153121159	153473260	281	0.8161
f71a8133-9597-4e81-819e-485b523ae635	1	153473698	161425765	4681	0.6797
f71a8133-9597-4e81-819e-485b523ae635	1	161426316	161426352	2	-1.5177
f71a8133-9597-4e81-819e-485b523ae635	1	161426746	179354603	12622	0.6642
f71a8133-9597-4e81-819e-485b523ae635	1	179361393	179364180	4	-0.758
f71a8133-9597-4e81-819e-485b523ae635	1	179370071	181898861	1711	0.7123
f71a8133-9597-4e81-819e-485b523ae635	1	181900509	184788564	1987	0.6251
f71a8133-9597-4e81-819e-485b523ae635	1	184789066	196745743	7820	0.6857
f71a8133-9597-4e81-819e-485b523ae635	1	196758720	196762956	4	-1.0155
f71a8133-9597-4e81-819e-485b523ae635	1	196769493	196843377	55	0.7753
f71a8133-9597-4e81-819e-485b523ae635	1	196843400	196846661	2	3.1823
f71a8133-9597-4e81-819e-485b523ae635	1	196847600	199138574	1364	0.653
f71a8133-9597-4e81-819e-485b523ae635	1	199142235	199143883	8	-0.87
f71a8133-9597-4e81-819e-485b523ae635	1	199144712	202025359	1997	0.6478
f71a8133-9597-4e81-819e-485b523ae635	1	202026266	202121513	60	0.3001
f71a8133-9597-4e81-819e-485b523ae635	1	202123452	209897717	5328	0.6711
f71a8133-9597-4e81-819e-485b523ae635	1	209908268	209910639	3	-2.5996
f71a8133-9597-4e81-819e-485b523ae635	1	209913207	229675422	13008	0.6655
f71a8133-9597-4e81-819e-485b523ae635	1	229681109	229684449	3	-3.519
f71a8133-9597-4e81-819e-485b523ae635	1	229684709	229686151	8	0.0492
f71a8133-9597-4e81-819e-485b523ae635	1	229686304	248662519	13791	0.6703
f71a8133-9597-4e81-819e-485b523ae635	1	248664935	248903494	121	0.4825
f71a8133-9597-4e81-819e-485b523ae635	1	248903846	248930189	14	0.3746
f71a8133-9597-4e81-819e-485b523ae635	2	12784	5099763	3750	-0.0306
f71a8133-9597-4e81-819e-485b523ae635	2	5100898	6671190	1425	-0.085
f71a8133-9597-4e81-819e-485b523ae635	2	6672850	9646566	2248	-0.1329
f71a8133-9597-4e81-819e-485b523ae635	2	9647002	27187867	11811	-0.0785
f71a8133-9597-4e81-819e-485b523ae635	2	27188424	27216883	18	0.1045
f71a8133-9597-4e81-819e-485b523ae635	2	27218434	27218632	3	-2.0171
f71a8133-9597-4e81-819e-485b523ae635	2	27219036	34460213	4709	-0.0752
f71a8133-9597-4e81-819e-485b523ae635	2	34466002	34511446	46	0.431
f71a8133-9597-4e81-819e-485b523ae635	2	34511990	36338307	1356	-0.0524
f71a8133-9597-4e81-819e-485b523ae635	2	36340450	36583330	261	-0.224
f71a8133-9597-4e81-819e-485b523ae635	2	36583732	38145736	1146	-0.0672
f71a8133-9597-4e81-819e-485b523ae635	2	38146270	38146288	2	-2.1277
f71a8133-9597-4e81-819e-485b523ae635	2	38146410	38666808	365	-0.0562
f71a8133-9597-4e81-819e-485b523ae635	2	38667159	38693176	16	-0.5678
f71a8133-9597-4e81-819e-485b523ae635	2	38696555	40858357	1514	-0.073
f71a8133-9597-4e81-819e-485b523ae635	2	40858426	41688373	669	0.0143
f71a8133-9597-4e81-819e-485b523ae635	2	41689747	52531677	7626	-0.0946
f71a8133-9597-4e81-819e-485b523ae635	2	52531803	52554404	29	-0.7814
f71a8133-9597-4e81-819e-485b523ae635	2	52560811	67893997	10051	-0.0904
f71a8133-9597-4e81-819e-485b523ae635	2	67894174	67894203	2	-3.0412
f71a8133-9597-4e81-819e-485b523ae635	2	67894770	104794840	18107	-0.0726
f71a8133-9597-4e81-819e-485b523ae635	2	104795319	106207934	1082	-0.1484
f71a8133-9597-4e81-819e-485b523ae635	2	106211704	106258266	32	0.0727
f71a8133-9597-4e81-819e-485b523ae635	2	106263639	106270799	13	0.5865
f71a8133-9597-4e81-819e-485b523ae635	2	106270952	128880504	13322	-0.0588
f71a8133-9597-4e81-819e-485b523ae635	2	128880904	128882741	15	0.5131
f71a8133-9597-4e81-819e-485b523ae635	2	128882755	140278510	6797	-0.0717
f71a8133-9597-4e81-819e-485b523ae635	2	140278543	140358021	53	-0.4429
f71a8133-9597-4e81-819e-485b523ae635	2	140362040	140768050	263	-0.1171
f71a8133-9597-4e81-819e-485b523ae635	2	140768643	140780189	6	-2.0632
f71a8133-9597-4e81-819e-485b523ae635	2	140785242	140979734	108	-1.0033
f71a8133-9597-4e81-819e-485b523ae635	2	140979827	141026194	46	-2.4243
f71a8133-9597-4e81-819e-485b523ae635	2	141032591	141470190	286	-0.3905
f71a8133-9597-4e81-819e-485b523ae635	2	141470248	142766122	896	0.2532
f71a8133-9597-4e81-819e-485b523ae635	2	142767893	148681539	3223	0.1725
f71a8133-9597-4e81-819e-485b523ae635	2	148684933	232344359	51326	0.2166
f71a8133-9597-4e81-819e-485b523ae635	2	232347000	232377024	33	-0.8029
f71a8133-9597-4e81-819e-485b523ae635	2	232377193	232377633	5	0.3476
f71a8133-9597-4e81-819e-485b523ae635	2	232377647	232444356	43	-0.8298
f71a8133-9597-4e81-819e-485b523ae635	2	232447215	242147305	6134	0.2421
f71a8133-9597-4e81-819e-485b523ae635	3	20930	182919	152	0.0184
f71a8133-9597-4e81-819e-485b523ae635	3	188339	191117	4	-3.2323
f71a8133-9597-4e81-819e-485b523ae635	3	193194	16199049	12675	-0.0609
f71a8133-9597-4e81-819e-485b523ae635	3	16199122	16199672	5	-2.4702
f71a8133-9597-4e81-819e-485b523ae635	3	16199818	37125506	14135	-0.0876
f71a8133-9597-4e81-819e-485b523ae635	3	37127794	57989247	11948	-0.4642
f71a8133-9597-4e81-819e-485b523ae635	3	57992220	57992829	3	-5.3505
f71a8133-9597-4e81-819e-485b523ae635	3	57993400	60290993	1839	-0.4579
