GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
03d5d391-3bb5-4628-a083-0ee53e1b7565	1	62920	901366	56	0.1731
03d5d391-3bb5-4628-a083-0ee53e1b7565	1	901705	1696479	153	-0.2739
03d5d391-3bb5-4628-a083-0ee53e1b7565	1	1696979	1741164	14	-1.3635
03d5d391-3bb5-4628-a083-0ee53e1b7565	1	1756148	3221392	475	-0.2843
03d5d391-3bb5-4628-a083-0ee53e1b7565	1	3221572	15827002	7546	-0.0221
03d5d391-3bb5-4628-a083-0ee53e1b7565	1	15827041	15827430	5	-1.8728
03d5d391-3bb5-4628-a083-0ee53e1b7565	1	15827706	72297687	33994	-0.0155
03d5d391-3bb5-4628-a083-0ee53e1b7565	1	72302735	72345465	48	1.288
03d5d391-3bb5-4628-a083-0ee53e1b7565	1	72346221	89009452	10799	0.007
03d5d391-3bb5-4628-a083-0ee53e1b7565	1	89009547	89012522	4	-2.0376
03d5d391-3bb5-4628-a083-0ee53e1b7565	1	89015841	143714703	19681	-0.0022
03d5d391-3bb5-4628-a083-0ee53e1b7565	1	143734438	143754062	17	0.9862
03d5d391-3bb5-4628-a083-0ee53e1b7565	1	143754077	159610643	6548	-0.0152
03d5d391-3bb5-4628-a083-0ee53e1b7565	1	159610664	159611083	2	-4.1532
03d5d391-3bb5-4628-a083-0ee53e1b7565	1	159611111	175571128	11137	-0.0014
03d5d391-3bb5-4628-a083-0ee53e1b7565	1	175571458	175718384	130	-0.2568
03d5d391-3bb5-4628-a083-0ee53e1b7565	1	175720427	192447070	10896	0.0059
03d5d391-3bb5-4628-a083-0ee53e1b7565	1	192449678	192451498	3	-2.1829
03d5d391-3bb5-4628-a083-0ee53e1b7565	1	192451767	212831113	13560	-0.006
03d5d391-3bb5-4628-a083-0ee53e1b7565	1	212831670	212831791	3	-2.1758
03d5d391-3bb5-4628-a083-0ee53e1b7565	1	212831835	225812606	8691	0.0008
03d5d391-3bb5-4628-a083-0ee53e1b7565	1	225813265	225881227	46	-0.5057
03d5d391-3bb5-4628-a083-0ee53e1b7565	1	225883370	228312480	1390	0.0128
03d5d391-3bb5-4628-a083-0ee53e1b7565	1	228320079	228553446	92	-0.2781
03d5d391-3bb5-4628-a083-0ee53e1b7565	1	228656037	246477341	13075	-0.007
03d5d391-3bb5-4628-a083-0ee53e1b7565	1	246479836	246482495	2	-2.9604
03d5d391-3bb5-4628-a083-0ee53e1b7565	1	246488245	248525284	1226	0.0441
03d5d391-3bb5-4628-a083-0ee53e1b7565	1	248525299	248645808	40	-0.8376
03d5d391-3bb5-4628-a083-0ee53e1b7565	1	248646068	248930189	139	-0.0497
03d5d391-3bb5-4628-a083-0ee53e1b7565	2	12784	3144361	2157	-0.0494
03d5d391-3bb5-4628-a083-0ee53e1b7565	2	3147886	3295022	150	-0.3153
03d5d391-3bb5-4628-a083-0ee53e1b7565	2	3300017	52527727	34285	0.0022
03d5d391-3bb5-4628-a083-0ee53e1b7565	2	52527743	52554188	27	-0.6833
03d5d391-3bb5-4628-a083-0ee53e1b7565	2	52554236	128880504	42297	-0.0005
03d5d391-3bb5-4628-a083-0ee53e1b7565	2	128880904	128882723	14	-2.3951
03d5d391-3bb5-4628-a083-0ee53e1b7565	2	128882741	132007187	1505	-0.0029
03d5d391-3bb5-4628-a083-0ee53e1b7565	2	132015614	132079170	14	0.7737
03d5d391-3bb5-4628-a083-0ee53e1b7565	2	132081787	146104517	8789	0.0049
03d5d391-3bb5-4628-a083-0ee53e1b7565	2	146106836	146109366	24	-0.6332
03d5d391-3bb5-4628-a083-0ee53e1b7565	2	146120238	183929673	22996	0.0001
03d5d391-3bb5-4628-a083-0ee53e1b7565	2	183929787	183937714	16	-0.9701
03d5d391-3bb5-4628-a083-0ee53e1b7565	2	183943862	207486030	13499	0.0113
03d5d391-3bb5-4628-a083-0ee53e1b7565	2	207490188	207494301	15	-1.1065
03d5d391-3bb5-4628-a083-0ee53e1b7565	2	207494425	212316597	3004	0.0209
03d5d391-3bb5-4628-a083-0ee53e1b7565	2	212321824	212327101	25	-0.7418
03d5d391-3bb5-4628-a083-0ee53e1b7565	2	212327402	237417790	16139	-0.0037
03d5d391-3bb5-4628-a083-0ee53e1b7565	2	237418331	237425636	3	-2.4779
03d5d391-3bb5-4628-a083-0ee53e1b7565	2	237426165	242147305	2627	-0.0204
03d5d391-3bb5-4628-a083-0ee53e1b7565	3	20930	206536	164	-0.0114
03d5d391-3bb5-4628-a083-0ee53e1b7565	3	209075	2656998	2081	0.1217
03d5d391-3bb5-4628-a083-0ee53e1b7565	3	2658631	16199049	10431	-0.008
03d5d391-3bb5-4628-a083-0ee53e1b7565	3	16199122	16199672	5	-2.8432
03d5d391-3bb5-4628-a083-0ee53e1b7565	3	16199818	193161217	107802	0.0021
03d5d391-3bb5-4628-a083-0ee53e1b7565	3	193162684	193165114	13	1.8532
03d5d391-3bb5-4628-a083-0ee53e1b7565	3	193168646	196936953	2047	-0.0289
03d5d391-3bb5-4628-a083-0ee53e1b7565	3	196937058	196955067	11	-1.198
03d5d391-3bb5-4628-a083-0ee53e1b7565	3	196956906	198169247	607	0.0042
03d5d391-3bb5-4628-a083-0ee53e1b7565	4	68929	10208766	5590	-0.0277
03d5d391-3bb5-4628-a083-0ee53e1b7565	4	10221792	10232642	30	-2.1453
03d5d391-3bb5-4628-a083-0ee53e1b7565	4	10232984	34777418	16770	-0.0084
03d5d391-3bb5-4628-a083-0ee53e1b7565	4	34777432	34823103	39	0.9877
03d5d391-3bb5-4628-a083-0ee53e1b7565	4	34828250	69257792	19608	0.0105
03d5d391-3bb5-4628-a083-0ee53e1b7565	4	69261926	69366081	54	-1.9334
03d5d391-3bb5-4628-a083-0ee53e1b7565	4	69366304	108572111	23492	-0.0015
03d5d391-3bb5-4628-a083-0ee53e1b7565	4	108580349	108592814	7	-1.2706
03d5d391-3bb5-4628-a083-0ee53e1b7565	4	108594315	114252544	3499	0.0003
03d5d391-3bb5-4628-a083-0ee53e1b7565	4	114254167	114261019	23	-1.2145
03d5d391-3bb5-4628-a083-0ee53e1b7565	4	114263073	115244948	599	-0.0012
03d5d391-3bb5-4628-a083-0ee53e1b7565	4	115251455	115254969	22	-2.3739
03d5d391-3bb5-4628-a083-0ee53e1b7565	4	115259026	160120152	26348	0.0052
03d5d391-3bb5-4628-a083-0ee53e1b7565	4	160132439	160149637	37	-0.9252
03d5d391-3bb5-4628-a083-0ee53e1b7565	4	160162718	171448195	7191	0.0169
03d5d391-3bb5-4628-a083-0ee53e1b7565	4	171453733	171456625	12	2.2096
03d5d391-3bb5-4628-a083-0ee53e1b7565	4	171459220	172066777	391	0.016
