GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
d3b3fe96-b9b4-4d66-b378-8d77f1a8d593	1	62920	1696979	212	0.1902
d3b3fe96-b9b4-4d66-b378-8d77f1a8d593	1	1710664	1731957	10	1.0769
d3b3fe96-b9b4-4d66-b378-8d77f1a8d593	1	1732392	3301765	515	0.198
d3b3fe96-b9b4-4d66-b378-8d77f1a8d593	1	3302046	15827002	7575	0.0018
d3b3fe96-b9b4-4d66-b378-8d77f1a8d593	1	15827041	15828515	9	-1.4269
d3b3fe96-b9b4-4d66-b378-8d77f1a8d593	1	15839166	16886219	360	0.0212
d3b3fe96-b9b4-4d66-b378-8d77f1a8d593	1	16888327	16976074	64	0.3362
d3b3fe96-b9b4-4d66-b378-8d77f1a8d593	1	16977349	25235596	5206	0.0077
d3b3fe96-b9b4-4d66-b378-8d77f1a8d593	1	25244339	25320198	31	0.5065
d3b3fe96-b9b4-4d66-b378-8d77f1a8d593	1	25320253	72280898	28533	0.0035
d3b3fe96-b9b4-4d66-b378-8d77f1a8d593	1	72284165	72297687	11	-1.0625
d3b3fe96-b9b4-4d66-b378-8d77f1a8d593	1	72302735	89009572	10895	-0.0084
d3b3fe96-b9b4-4d66-b378-8d77f1a8d593	1	89012275	89012522	2	-2.3444
d3b3fe96-b9b4-4d66-b378-8d77f1a8d593	1	89015841	152583051	22086	0.0033
d3b3fe96-b9b4-4d66-b378-8d77f1a8d593	1	152583230	152607349	28	0.5711
d3b3fe96-b9b4-4d66-b378-8d77f1a8d593	1	152613242	152789447	172	0.0311
d3b3fe96-b9b4-4d66-b378-8d77f1a8d593	1	152789463	152796224	36	0.6396
d3b3fe96-b9b4-4d66-b378-8d77f1a8d593	1	152801429	194479104	27783	-0.0008
d3b3fe96-b9b4-4d66-b378-8d77f1a8d593	1	194482281	194485888	2	-2.1164
d3b3fe96-b9b4-4d66-b378-8d77f1a8d593	1	194487886	196772186	1453	-0.0213
d3b3fe96-b9b4-4d66-b378-8d77f1a8d593	1	196772237	196846661	46	-0.5086
d3b3fe96-b9b4-4d66-b378-8d77f1a8d593	1	196847600	246677118	34212	0.0011
d3b3fe96-b9b4-4d66-b378-8d77f1a8d593	1	246677132	246709941	21	0.4627
d3b3fe96-b9b4-4d66-b378-8d77f1a8d593	1	246710092	248930189	1285	-0.0149
d3b3fe96-b9b4-4d66-b378-8d77f1a8d593	2	12784	4166274	2974	0.0251
d3b3fe96-b9b4-4d66-b378-8d77f1a8d593	2	4166610	4175922	36	-0.6367
d3b3fe96-b9b4-4d66-b378-8d77f1a8d593	2	4175977	13397611	7116	0.0036
d3b3fe96-b9b4-4d66-b378-8d77f1a8d593	2	13402097	13409547	2	1.7538
d3b3fe96-b9b4-4d66-b378-8d77f1a8d593	2	13409603	34492775	13813	0.007
d3b3fe96-b9b4-4d66-b378-8d77f1a8d593	2	34492790	34511990	19	-0.6101
d3b3fe96-b9b4-4d66-b378-8d77f1a8d593	2	34512096	35750907	863	-0.0409
d3b3fe96-b9b4-4d66-b378-8d77f1a8d593	2	35752724	35761842	5	-1.5827
d3b3fe96-b9b4-4d66-b378-8d77f1a8d593	2	35762850	40170111	3197	0.002
d3b3fe96-b9b4-4d66-b378-8d77f1a8d593	2	40172987	40179378	4	-1.1334
d3b3fe96-b9b4-4d66-b378-8d77f1a8d593	2	40179539	40763522	511	-0.0411
d3b3fe96-b9b4-4d66-b378-8d77f1a8d593	2	40763612	40764298	2	2.0223
d3b3fe96-b9b4-4d66-b378-8d77f1a8d593	2	40764666	106258266	37565	0.0051
d3b3fe96-b9b4-4d66-b378-8d77f1a8d593	2	106263639	106270952	14	0.891
d3b3fe96-b9b4-4d66-b378-8d77f1a8d593	2	106271414	212321824	63359	0.0009
d3b3fe96-b9b4-4d66-b378-8d77f1a8d593	2	212322478	212327493	28	-0.8087
d3b3fe96-b9b4-4d66-b378-8d77f1a8d593	2	212327508	241546649	18699	0.0063
d3b3fe96-b9b4-4d66-b378-8d77f1a8d593	2	241546809	242081666	149	0.2113
d3b3fe96-b9b4-4d66-b378-8d77f1a8d593	2	242081742	242147305	35	-0.0116
d3b3fe96-b9b4-4d66-b378-8d77f1a8d593	3	20930	2002762	1757	-0.0763
d3b3fe96-b9b4-4d66-b378-8d77f1a8d593	3	2005445	6275672	3726	-0.0022
