GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
365fa3bc-de04-4fe3-bfe4-7564effba492	1	62920	86341	11	-0.1723
365fa3bc-de04-4fe3-bfe4-7564effba492	1	98588	599171	9	0.6859
365fa3bc-de04-4fe3-bfe4-7564effba492	1	668210	826738	16	-0.1233
365fa3bc-de04-4fe3-bfe4-7564effba492	1	833413	3692252	878	-0.5466
365fa3bc-de04-4fe3-bfe4-7564effba492	1	3692397	5646537	1605	-0.4043
365fa3bc-de04-4fe3-bfe4-7564effba492	1	5647102	5647439	4	-4.5185
365fa3bc-de04-4fe3-bfe4-7564effba492	1	5647455	16909725	6129	-0.4025
365fa3bc-de04-4fe3-bfe4-7564effba492	1	16909775	16934716	25	-1.029
365fa3bc-de04-4fe3-bfe4-7564effba492	1	16934753	21985415	3315	-0.405
365fa3bc-de04-4fe3-bfe4-7564effba492	1	21991690	44037368	12120	-0.3705
365fa3bc-de04-4fe3-bfe4-7564effba492	1	44037956	44785296	429	-0.401
365fa3bc-de04-4fe3-bfe4-7564effba492	1	44785519	44824215	13	-1.2725
365fa3bc-de04-4fe3-bfe4-7564effba492	1	44826275	72303233	17904	-0.4139
365fa3bc-de04-4fe3-bfe4-7564effba492	1	72303253	72343689	39	-1.2458
365fa3bc-de04-4fe3-bfe4-7564effba492	1	72343748	103560608	19911	-0.4314
365fa3bc-de04-4fe3-bfe4-7564effba492	1	103566616	103717410	32	0.4914
365fa3bc-de04-4fe3-bfe4-7564effba492	1	103717617	105470754	917	-0.471
365fa3bc-de04-4fe3-bfe4-7564effba492	1	105476583	105479722	15	0.3691
365fa3bc-de04-4fe3-bfe4-7564effba492	1	105479738	112147704	4570	-0.3931
365fa3bc-de04-4fe3-bfe4-7564effba492	1	112153343	112154768	25	0.2892
365fa3bc-de04-4fe3-bfe4-7564effba492	1	112163334	119963409	4999	-0.423
365fa3bc-de04-4fe3-bfe4-7564effba492	1	119963485	144503864	278	-0.2251
365fa3bc-de04-4fe3-bfe4-7564effba492	1	144932423	152583051	2287	-0.3811
365fa3bc-de04-4fe3-bfe4-7564effba492	1	152583230	152613762	31	-1.3175
365fa3bc-de04-4fe3-bfe4-7564effba492	1	152613802	217253635	43433	-0.4111
365fa3bc-de04-4fe3-bfe4-7564effba492	1	217253745	217254182	2	-4.1445
365fa3bc-de04-4fe3-bfe4-7564effba492	1	217254197	234658528	11702	-0.4289
365fa3bc-de04-4fe3-bfe4-7564effba492	1	234658679	234662348	5	-2.78
365fa3bc-de04-4fe3-bfe4-7564effba492	1	234665663	239972472	3936	-0.4559
365fa3bc-de04-4fe3-bfe4-7564effba492	1	239972633	239973057	2	-5.6121
365fa3bc-de04-4fe3-bfe4-7564effba492	1	239973849	242761670	2203	-0.4786
365fa3bc-de04-4fe3-bfe4-7564effba492	1	242767118	248930189	3850	-0.3988
365fa3bc-de04-4fe3-bfe4-7564effba492	2	12784	1872020	1199	-0.4738
365fa3bc-de04-4fe3-bfe4-7564effba492	2	1872064	1874907	3	-2.6356
365fa3bc-de04-4fe3-bfe4-7564effba492	2	1875506	4155990	1760	-0.4374
365fa3bc-de04-4fe3-bfe4-7564effba492	2	4158097	4175922	38	0.0938
365fa3bc-de04-4fe3-bfe4-7564effba492	2	4175977	23750733	14521	-0.4063
365fa3bc-de04-4fe3-bfe4-7564effba492	2	23751862	29601381	3148	-0.3515
365fa3bc-de04-4fe3-bfe4-7564effba492	2	29602841	34438376	3251	-0.4066
365fa3bc-de04-4fe3-bfe4-7564effba492	2	34438862	34515732	59	0.1217
365fa3bc-de04-4fe3-bfe4-7564effba492	2	34515960	35735082	859	-0.4191
365fa3bc-de04-4fe3-bfe4-7564effba492	2	35740049	35762881	12	0.4511
365fa3bc-de04-4fe3-bfe4-7564effba492	2	35772407	52514599	12046	-0.4003
365fa3bc-de04-4fe3-bfe4-7564effba492	2	52516787	52554404	41	-2.2653
365fa3bc-de04-4fe3-bfe4-7564effba492	2	52560811	59399522	4749	-0.4036
365fa3bc-de04-4fe3-bfe4-7564effba492	2	59399736	59417321	5	1.2361
365fa3bc-de04-4fe3-bfe4-7564effba492	2	59417707	88556460	17553	-0.3913
365fa3bc-de04-4fe3-bfe4-7564effba492	2	88557978	97118174	1332	-0.3181
365fa3bc-de04-4fe3-bfe4-7564effba492	2	97118402	97211264	42	0.1369
365fa3bc-de04-4fe3-bfe4-7564effba492	2	97211436	98718335	648	-0.313
365fa3bc-de04-4fe3-bfe4-7564effba492	2	98720846	122719438	14345	-0.3917
365fa3bc-de04-4fe3-bfe4-7564effba492	2	122722323	122724665	8	-2.4063
365fa3bc-de04-4fe3-bfe4-7564effba492	2	122726077	130022580	4729	-0.4049
365fa3bc-de04-4fe3-bfe4-7564effba492	2	130022674	130116915	20	0.2223
365fa3bc-de04-4fe3-bfe4-7564effba492	2	130117303	146104517	9484	-0.3956
365fa3bc-de04-4fe3-bfe4-7564effba492	2	146106836	146120238	25	0.4855
365fa3bc-de04-4fe3-bfe4-7564effba492	2	146120827	183929673	23162	-0.3962
365fa3bc-de04-4fe3-bfe4-7564effba492	2	183929787	183937714	16	-1.6884
365fa3bc-de04-4fe3-bfe4-7564effba492	2	183943862	242147305	35541	-0.3936
365fa3bc-de04-4fe3-bfe4-7564effba492	3	20930	60794907	41300	-0.4181
365fa3bc-de04-4fe3-bfe4-7564effba492	3	60795013	60795294	3	-2.6846
365fa3bc-de04-4fe3-bfe4-7564effba492	3	60798502	65860250	4315	-0.4554
365fa3bc-de04-4fe3-bfe4-7564effba492	3	65860919	65863269	10	-1.3636
365fa3bc-de04-4fe3-bfe4-7564effba492	3	65864221	68682877	1871	-0.4416
365fa3bc-de04-4fe3-bfe4-7564effba492	3	68697013	68698262	15	0.8439
365fa3bc-de04-4fe3-bfe4-7564effba492	3	68699607	75416934	4864	-0.4315
365fa3bc-de04-4fe3-bfe4-7564effba492	3	75417000	75904323	128	-0.1404
365fa3bc-de04-4fe3-bfe4-7564effba492	3	75904354	99205642	10851	-0.4572
365fa3bc-de04-4fe3-bfe4-7564effba492	3	99210576	99230577	44	0.1133
365fa3bc-de04-4fe3-bfe4-7564effba492	3	99232120	103025935	2084	-0.4174
365fa3bc-de04-4fe3-bfe4-7564effba492	3	103026326	103028171	2	-2.5584
365fa3bc-de04-4fe3-bfe4-7564effba492	3	103029752	103271406	156	-0.484
365fa3bc-de04-4fe3-bfe4-7564effba492	3	103272420	103273767	2	-3.2027
365fa3bc-de04-4fe3-bfe4-7564effba492	3	103273801	116551572	8212	-0.4291
365fa3bc-de04-4fe3-bfe4-7564effba492	3	116553956	116796438	217	-4.1896
365fa3bc-de04-4fe3-bfe4-7564effba492	3	116803740	116854145	66	-2.4311
365fa3bc-de04-4fe3-bfe4-7564effba492	3	116854969	116912596	39	-4.3891
365fa3bc-de04-4fe3-bfe4-7564effba492	3	116914094	124631591	4696	-0.4306
365fa3bc-de04-4fe3-bfe4-7564effba492	3	124631772	124633881	10	-1.4902
365fa3bc-de04-4fe3-bfe4-7564effba492	3	124634136	130067443	3131	-0.4252
365fa3bc-de04-4fe3-bfe4-7564effba492	3	130067531	130087393	30	-1.585
365fa3bc-de04-4fe3-bfe4-7564effba492	3	130088081	162790390	20154	-0.4328
365fa3bc-de04-4fe3-bfe4-7564effba492	3	162790404	162807070	14	0.0011
365fa3bc-de04-4fe3-bfe4-7564effba492	3	162810842	162822702	10	0.9047
365fa3bc-de04-4fe3-bfe4-7564effba492	3	162827928	162896180	39	-0.0137
365fa3bc-de04-4fe3-bfe4-7564effba492	3	162897779	162996729	80	-0.4496
365fa3bc-de04-4fe3-bfe4-7564effba492	3	162999939	163001774	2	-2.6979
365fa3bc-de04-4fe3-bfe4-7564effba492	3	163008371	165323075	1238	-0.4596
365fa3bc-de04-4fe3-bfe4-7564effba492	3	165323760	165364151	65	-2.7331
365fa3bc-de04-4fe3-bfe4-7564effba492	3	165367641	189512415	15081	-0.4355
365fa3bc-de04-4fe3-bfe4-7564effba492	3	189514806	189514826	2	-3.1627
365fa3bc-de04-4fe3-bfe4-7564effba492	3	189514852	189626660	95	-0.4616
365fa3bc-de04-4fe3-bfe4-7564effba492	3	189627067	189627325	2	-3.7919
365fa3bc-de04-4fe3-bfe4-7564effba492	3	189627750	195695418	3995	-0.444
365fa3bc-de04-4fe3-bfe4-7564effba492	3	195695420	195903841	97	-0.7576
365fa3bc-de04-4fe3-bfe4-7564effba492	3	195910568	198119048	1088	-0.4261
365fa3bc-de04-4fe3-bfe4-7564effba492	3	198121231	198169247	13	0.4825
365fa3bc-de04-4fe3-bfe4-7564effba492	4	68929	264049	93	0.4931
365fa3bc-de04-4fe3-bfe4-7564effba492	4	264574	945136	240	0.2917
365fa3bc-de04-4fe3-bfe4-7564effba492	4	945616	2700388	660	0.4533
365fa3bc-de04-4fe3-bfe4-7564effba492	4	2700444	2722240	15	-0.5885
365fa3bc-de04-4fe3-bfe4-7564effba492	4	2728546	10208766	4689	0.4566
365fa3bc-de04-4fe3-bfe4-7564effba492	4	10221792	10229173	22	3.1832
365fa3bc-de04-4fe3-bfe4-7564effba492	4	10229188	10232642	8	1.3643
365fa3bc-de04-4fe3-bfe4-7564effba492	4	10232984	10398532	190	0.6291
365fa3bc-de04-4fe3-bfe4-7564effba492	4	10398887	30064714	13973	0.402
365fa3bc-de04-4fe3-bfe4-7564effba492	4	30065230	30069394	2	-2.7208
365fa3bc-de04-4fe3-bfe4-7564effba492	4	30069571	34777432	2802	0.378
365fa3bc-de04-4fe3-bfe4-7564effba492	4	34784878	34828250	39	-0.1071
365fa3bc-de04-4fe3-bfe4-7564effba492	4	34828291	40698556	3880	0.4309
365fa3bc-de04-4fe3-bfe4-7564effba492	4	40701994	40702175	3	-1.6818
365fa3bc-de04-4fe3-bfe4-7564effba492	4	40702670	42821240	1394	0.4223
365fa3bc-de04-4fe3-bfe4-7564effba492	4	42821262	43306999	373	0.5388
365fa3bc-de04-4fe3-bfe4-7564effba492	4	43307048	49112078	3302	0.4106
365fa3bc-de04-4fe3-bfe4-7564effba492	4	49113964	49141246	2	2.1463
365fa3bc-de04-4fe3-bfe4-7564effba492	4	49146817	62802116	7023	0.3917
365fa3bc-de04-4fe3-bfe4-7564effba492	4	62804218	62805944	8	-0.8699
365fa3bc-de04-4fe3-bfe4-7564effba492	4	62813912	63823000	548	0.3925
365fa3bc-de04-4fe3-bfe4-7564effba492	4	63825160	63842540	33	0.9431
365fa3bc-de04-4fe3-bfe4-7564effba492	4	63850713	65722833	1208	0.3834
365fa3bc-de04-4fe3-bfe4-7564effba492	4	65726020	65735528	7	1.1458
365fa3bc-de04-4fe3-bfe4-7564effba492	4	65735669	68354665	1632	0.4033
365fa3bc-de04-4fe3-bfe4-7564effba492	4	68361130	68416487	8	1.6261
365fa3bc-de04-4fe3-bfe4-7564effba492	4	68418873	68478894	13	0.4255
365fa3bc-de04-4fe3-bfe4-7564effba492	4	68494770	68639397	69	-1.3044
365fa3bc-de04-4fe3-bfe4-7564effba492	4	68640616	69523998	476	0.5373
365fa3bc-de04-4fe3-bfe4-7564effba492	4	69524143	69525061	2	-1.909
365fa3bc-de04-4fe3-bfe4-7564effba492	4	69526170	107130343	22740	0.4046
365fa3bc-de04-4fe3-bfe4-7564effba492	4	107144594	107155376	38	-0.2494
365fa3bc-de04-4fe3-bfe4-7564effba492	4	107156277	114252544	4398	0.4016
365fa3bc-de04-4fe3-bfe4-7564effba492	4	114254167	114258287	13	0.8058
365fa3bc-de04-4fe3-bfe4-7564effba492	4	114258300	114260754	9	1.5907
365fa3bc-de04-4fe3-bfe4-7564effba492	4	114261019	126459182	7321	0.3931
365fa3bc-de04-4fe3-bfe4-7564effba492	4	126462231	126467900	2	-1.3966
365fa3bc-de04-4fe3-bfe4-7564effba492	4	126468395	129141596	1389	0.3849
365fa3bc-de04-4fe3-bfe4-7564effba492	4	129146391	129147005	2	-2.7098
365fa3bc-de04-4fe3-bfe4-7564effba492	4	129151408	134024979	2777	0.398
365fa3bc-de04-4fe3-bfe4-7564effba492	4	134025378	134216316	90	0.6068
365fa3bc-de04-4fe3-bfe4-7564effba492	4	134216353	139089717	3035	0.3812
365fa3bc-de04-4fe3-bfe4-7564effba492	4	139089730	139133222	81	0.1792
365fa3bc-de04-4fe3-bfe4-7564effba492	4	139135885	149253869	5989	0.4088
365fa3bc-de04-4fe3-bfe4-7564effba492	4	149254839	151407666	1114	0.3251
365fa3bc-de04-4fe3-bfe4-7564effba492	4	151413338	153400293	1223	0.4152
365fa3bc-de04-4fe3-bfe4-7564effba492	4	153402649	153410038	7	-0.2591
365fa3bc-de04-4fe3-bfe4-7564effba492	4	153410183	154189066	549	0.4275
365fa3bc-de04-4fe3-bfe4-7564effba492	4	154189931	157635739	2283	0.3546
365fa3bc-de04-4fe3-bfe4-7564effba492	4	157639971	157640571	6	-0.6756
365fa3bc-de04-4fe3-bfe4-7564effba492	4	157640707	160933025	2031	0.3433
365fa3bc-de04-4fe3-bfe4-7564effba492	4	160934706	160963971	58	0.6662
365fa3bc-de04-4fe3-bfe4-7564effba492	4	160964013	161190162	160	0.4209
365fa3bc-de04-4fe3-bfe4-7564effba492	4	161190328	161193383	2	-1.3424
365fa3bc-de04-4fe3-bfe4-7564effba492	4	161196333	171448195	6490	0.3525
