GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
911a42fc-5f01-469f-9375-76c1cd304a30	1	62920	9146408	4580	-0.1912
911a42fc-5f01-469f-9375-76c1cd304a30	1	9147248	9152724	3	-1.919
911a42fc-5f01-469f-9375-76c1cd304a30	1	9153118	16855942	4096	-0.1888
911a42fc-5f01-469f-9375-76c1cd304a30	1	16863509	16932568	47	-0.7615
911a42fc-5f01-469f-9375-76c1cd304a30	1	16934716	25256850	5256	-0.1917
911a42fc-5f01-469f-9375-76c1cd304a30	1	25266637	25319693	21	-1.838
911a42fc-5f01-469f-9375-76c1cd304a30	1	25320198	34626073	4933	-0.1882
911a42fc-5f01-469f-9375-76c1cd304a30	1	34637053	34638890	20	-1.0458
911a42fc-5f01-469f-9375-76c1cd304a30	1	34648667	50066965	8580	-0.1881
911a42fc-5f01-469f-9375-76c1cd304a30	1	50067297	50067414	2	-2.0833
911a42fc-5f01-469f-9375-76c1cd304a30	1	50068568	51537952	671	-0.1857
911a42fc-5f01-469f-9375-76c1cd304a30	1	51543847	105478582	35336	-0.2234
911a42fc-5f01-469f-9375-76c1cd304a30	1	105478597	105481448	13	-1.3262
911a42fc-5f01-469f-9375-76c1cd304a30	1	105481468	109684893	2627	-0.2146
911a42fc-5f01-469f-9375-76c1cd304a30	1	109690352	109697556	12	2.1965
911a42fc-5f01-469f-9375-76c1cd304a30	1	109702376	152787202	9733	-0.2074
911a42fc-5f01-469f-9375-76c1cd304a30	1	152789447	152796224	37	0.5153
911a42fc-5f01-469f-9375-76c1cd304a30	1	152801429	161648901	5236	-0.2043
911a42fc-5f01-469f-9375-76c1cd304a30	1	161649069	161649268	6	-1.2763
911a42fc-5f01-469f-9375-76c1cd304a30	1	161678447	169247699	5968	-0.2139
911a42fc-5f01-469f-9375-76c1cd304a30	1	169264736	169272528	7	-1.2518
911a42fc-5f01-469f-9375-76c1cd304a30	1	169273163	174827267	3505	-0.2244
911a42fc-5f01-469f-9375-76c1cd304a30	1	174827418	174832702	16	-2.1666
911a42fc-5f01-469f-9375-76c1cd304a30	1	174832716	179361393	3069	-0.2274
911a42fc-5f01-469f-9375-76c1cd304a30	1	179362247	179364180	3	-2.2461
911a42fc-5f01-469f-9375-76c1cd304a30	1	179370071	196740630	11507	-0.2261
911a42fc-5f01-469f-9375-76c1cd304a30	1	196741937	196854187	67	0.2562
911a42fc-5f01-469f-9375-76c1cd304a30	1	196854483	201264679	2828	-0.2211
911a42fc-5f01-469f-9375-76c1cd304a30	1	201267013	201764240	398	0.1852
911a42fc-5f01-469f-9375-76c1cd304a30	1	201770492	248930189	32467	-0.2263
911a42fc-5f01-469f-9375-76c1cd304a30	2	12784	4158097	2980	-0.18
911a42fc-5f01-469f-9375-76c1cd304a30	2	4166274	4176429	42	-1.1737
911a42fc-5f01-469f-9375-76c1cd304a30	2	4182472	14563570	7979	-0.1992
911a42fc-5f01-469f-9375-76c1cd304a30	2	14564825	14566914	10	-2.8791
911a42fc-5f01-469f-9375-76c1cd304a30	2	14569897	18915848	3242	-0.2038
911a42fc-5f01-469f-9375-76c1cd304a30	2	18918349	18918689	2	-2.1235
911a42fc-5f01-469f-9375-76c1cd304a30	2	18919100	34466002	9724	-0.2054
911a42fc-5f01-469f-9375-76c1cd304a30	2	34474248	34486407	16	-1.9042
911a42fc-5f01-469f-9375-76c1cd304a30	2	34491703	34492841	13	-0.7151
911a42fc-5f01-469f-9375-76c1cd304a30	2	34492907	34511990	17	-2.5265
911a42fc-5f01-469f-9375-76c1cd304a30	2	34512096	76315979	28241	-0.2104
911a42fc-5f01-469f-9375-76c1cd304a30	2	76317340	76359585	39	-1.6858
911a42fc-5f01-469f-9375-76c1cd304a30	2	76364718	146104517	37753	-0.2036
911a42fc-5f01-469f-9375-76c1cd304a30	2	146106836	146109366	24	0.526
911a42fc-5f01-469f-9375-76c1cd304a30	2	146120238	183814089	23138	-0.2151
911a42fc-5f01-469f-9375-76c1cd304a30	2	183826726	183833045	4	-2.3252
911a42fc-5f01-469f-9375-76c1cd304a30	2	183833212	242147305	35698	-0.2046
911a42fc-5f01-469f-9375-76c1cd304a30	3	20930	52256534	35213	-0.2274
911a42fc-5f01-469f-9375-76c1cd304a30	3	52257719	52988908	349	0.2139
911a42fc-5f01-469f-9375-76c1cd304a30	3	52988933	53007503	49	-0.3452
911a42fc-5f01-469f-9375-76c1cd304a30	3	53007838	68697013	11976	0.1966
911a42fc-5f01-469f-9375-76c1cd304a30	3	68697108	68698213	13	1.3644
911a42fc-5f01-469f-9375-76c1cd304a30	3	68698262	95737262	14009	0.1879
911a42fc-5f01-469f-9375-76c1cd304a30	3	95748036	95749266	2	-3.1011
911a42fc-5f01-469f-9375-76c1cd304a30	3	95749836	117068294	12792	0.1749
911a42fc-5f01-469f-9375-76c1cd304a30	3	117068331	117687613	470	-0.0596
911a42fc-5f01-469f-9375-76c1cd304a30	3	117688440	130044855	7265	0.2018
911a42fc-5f01-469f-9375-76c1cd304a30	3	130047743	130087393	37	-1.4118
911a42fc-5f01-469f-9375-76c1cd304a30	3	130088081	195535930	40856	0.1819
911a42fc-5f01-469f-9375-76c1cd304a30	3	195536070	195747892	52	-0.5021
911a42fc-5f01-469f-9375-76c1cd304a30	3	195751823	198124354	1156	0.1716
911a42fc-5f01-469f-9375-76c1cd304a30	3	198124600	198169247	7	-0.273
911a42fc-5f01-469f-9375-76c1cd304a30	4	68929	10208766	5683	0.2237
911a42fc-5f01-469f-9375-76c1cd304a30	4	10221792	10229874	28	2.9648
911a42fc-5f01-469f-9375-76c1cd304a30	4	10232590	10390730	177	0.2636
911a42fc-5f01-469f-9375-76c1cd304a30	4	10391530	10399044	15	-0.4454
911a42fc-5f01-469f-9375-76c1cd304a30	4	10401094	34777432	16730	0.1889
911a42fc-5f01-469f-9375-76c1cd304a30	4	34784878	34823103	38	0.7376
911a42fc-5f01-469f-9375-76c1cd304a30	4	34828250	40698556	3869	0.1926
911a42fc-5f01-469f-9375-76c1cd304a30	4	40701994	40702175	3	-2.768
911a42fc-5f01-469f-9375-76c1cd304a30	4	40702670	43259367	1723	0.1907
911a42fc-5f01-469f-9375-76c1cd304a30	4	43260780	43265040	2	-1.8624
