GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
4e75ac96-f2d0-448b-9169-3cb35b244af0	1	62920	462894	19	-0.6647
4e75ac96-f2d0-448b-9169-3cb35b244af0	1	599171	3306087	728	0.1148
4e75ac96-f2d0-448b-9169-3cb35b244af0	1	3308094	4361012	635	0.0114
4e75ac96-f2d0-448b-9169-3cb35b244af0	1	4361945	4363836	3	-1.4372
4e75ac96-f2d0-448b-9169-3cb35b244af0	1	4364038	15823420	6920	0.0112
4e75ac96-f2d0-448b-9169-3cb35b244af0	1	15827002	15827430	6	-2.0276
4e75ac96-f2d0-448b-9169-3cb35b244af0	1	15827706	25256188	5635	0.0091
4e75ac96-f2d0-448b-9169-3cb35b244af0	1	25256352	25320455	27	0.5385
4e75ac96-f2d0-448b-9169-3cb35b244af0	1	25336819	75585159	30478	0.0006
4e75ac96-f2d0-448b-9169-3cb35b244af0	1	75589078	75589169	2	-2.4138
4e75ac96-f2d0-448b-9169-3cb35b244af0	1	75593824	105476583	18861	0.0043
4e75ac96-f2d0-448b-9169-3cb35b244af0	1	105476614	105479753	16	1.3936
4e75ac96-f2d0-448b-9169-3cb35b244af0	1	105481433	109676386	2609	0.0099
4e75ac96-f2d0-448b-9169-3cb35b244af0	1	109677464	109710508	34	-0.4686
4e75ac96-f2d0-448b-9169-3cb35b244af0	1	109718120	111385772	1292	0.0062
4e75ac96-f2d0-448b-9169-3cb35b244af0	1	111386515	111387158	4	-1.2595
4e75ac96-f2d0-448b-9169-3cb35b244af0	1	111390609	112147704	617	-0.0012
4e75ac96-f2d0-448b-9169-3cb35b244af0	1	112153343	112154576	21	0.6265
4e75ac96-f2d0-448b-9169-3cb35b244af0	1	112154591	121549518	5108	-0.0011
4e75ac96-f2d0-448b-9169-3cb35b244af0	1	121551153	146002100	308	0.1665
4e75ac96-f2d0-448b-9169-3cb35b244af0	1	146004021	152582700	2127	0.0166
4e75ac96-f2d0-448b-9169-3cb35b244af0	1	152583051	152614064	34	0.5476
4e75ac96-f2d0-448b-9169-3cb35b244af0	1	152614100	152778761	158	0.0452
4e75ac96-f2d0-448b-9169-3cb35b244af0	1	152782154	152796224	45	0.6065
4e75ac96-f2d0-448b-9169-3cb35b244af0	1	152801429	158896783	3583	0.0036
4e75ac96-f2d0-448b-9169-3cb35b244af0	1	158898711	158899969	2	2.2939
4e75ac96-f2d0-448b-9169-3cb35b244af0	1	158905028	222193326	42916	0.0056
4e75ac96-f2d0-448b-9169-3cb35b244af0	1	222201492	222203662	2	-3.3704
4e75ac96-f2d0-448b-9169-3cb35b244af0	1	222208792	248930189	18259	0.0058
4e75ac96-f2d0-448b-9169-3cb35b244af0	2	12784	4158097	2972	0.0481
4e75ac96-f2d0-448b-9169-3cb35b244af0	2	4166274	4175977	38	-0.7763
4e75ac96-f2d0-448b-9169-3cb35b244af0	2	4176105	34466002	20890	0.0089
4e75ac96-f2d0-448b-9169-3cb35b244af0	2	34474248	34511990	46	0.5278
4e75ac96-f2d0-448b-9169-3cb35b244af0	2	34512096	35750907	862	-0.0058
4e75ac96-f2d0-448b-9169-3cb35b244af0	2	35752724	35762881	7	-1.637
4e75ac96-f2d0-448b-9169-3cb35b244af0	2	35772407	52531803	12019	0.0154
4e75ac96-f2d0-448b-9169-3cb35b244af0	2	52531878	52554404	28	-0.5878
4e75ac96-f2d0-448b-9169-3cb35b244af0	2	52560811	87286164	21864	0.0092
4e75ac96-f2d0-448b-9169-3cb35b244af0	2	87287256	87295819	3	-1.8107
4e75ac96-f2d0-448b-9169-3cb35b244af0	2	87299357	97537802	1795	0.006
4e75ac96-f2d0-448b-9169-3cb35b244af0	2	97540809	97545247	3	-2.4494
4e75ac96-f2d0-448b-9169-3cb35b244af0	2	97545726	146104517	29177	0.0073
4e75ac96-f2d0-448b-9169-3cb35b244af0	2	146106836	146120827	26	0.9128
