GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
f70dee4f-4b68-46e2-8734-ad3b59507552	1	62920	814954	31	-0.4254
f70dee4f-4b68-46e2-8734-ad3b59507552	1	817186	25278567	13978	-0.1692
f70dee4f-4b68-46e2-8734-ad3b59507552	1	25284629	25284961	2	-3.1694
f70dee4f-4b68-46e2-8734-ad3b59507552	1	25289805	31148580	3002	-0.1833
f70dee4f-4b68-46e2-8734-ad3b59507552	1	31150820	31152499	2	-1.8982
f70dee4f-4b68-46e2-8734-ad3b59507552	1	31152542	33025065	821	-0.1576
f70dee4f-4b68-46e2-8734-ad3b59507552	1	33026457	33040123	9	0.5016
f70dee4f-4b68-46e2-8734-ad3b59507552	1	33043554	34626073	1122	-0.2045
f70dee4f-4b68-46e2-8734-ad3b59507552	1	34637053	34638890	20	-1.5415
f70dee4f-4b68-46e2-8734-ad3b59507552	1	34648667	54995454	11314	-0.2003
f70dee4f-4b68-46e2-8734-ad3b59507552	1	54995757	65622331	8038	-0.2611
f70dee4f-4b68-46e2-8734-ad3b59507552	1	65622606	72303233	4378	-0.305
f70dee4f-4b68-46e2-8734-ad3b59507552	1	72303253	72345450	44	-1.2902
f70dee4f-4b68-46e2-8734-ad3b59507552	1	72345465	91160715	12291	-0.3149
f70dee4f-4b68-46e2-8734-ad3b59507552	1	91160768	95072297	2463	-0.2608
f70dee4f-4b68-46e2-8734-ad3b59507552	1	95073520	105470754	6177	-0.3343
f70dee4f-4b68-46e2-8734-ad3b59507552	1	105476583	105479722	15	0.4537
f70dee4f-4b68-46e2-8734-ad3b59507552	1	105479738	108187137	1940	-0.3262
f70dee4f-4b68-46e2-8734-ad3b59507552	1	108191613	108194874	3	-1.8565
f70dee4f-4b68-46e2-8734-ad3b59507552	1	108196482	108815562	263	-0.2954
f70dee4f-4b68-46e2-8734-ad3b59507552	1	108816609	112147704	2388	-0.2684
f70dee4f-4b68-46e2-8734-ad3b59507552	1	112153343	112154768	25	0.2549
f70dee4f-4b68-46e2-8734-ad3b59507552	1	112163334	143494500	5158	-0.2651
f70dee4f-4b68-46e2-8734-ad3b59507552	1	143541857	143796140	118	-2.1041
f70dee4f-4b68-46e2-8734-ad3b59507552	1	143811517	146039555	180	-0.3931
f70dee4f-4b68-46e2-8734-ad3b59507552	1	146040040	152582700	2139	-0.2375
f70dee4f-4b68-46e2-8734-ad3b59507552	1	152583051	152614100	35	0.7168
f70dee4f-4b68-46e2-8734-ad3b59507552	1	152614118	152789479	168	-0.2394
f70dee4f-4b68-46e2-8734-ad3b59507552	1	152789532	152796224	34	0.1422
f70dee4f-4b68-46e2-8734-ad3b59507552	1	152801429	158989785	3668	-0.2388
f70dee4f-4b68-46e2-8734-ad3b59507552	1	158992249	158993006	2	-2.2974
f70dee4f-4b68-46e2-8734-ad3b59507552	1	158997074	169247699	7586	-0.2612
f70dee4f-4b68-46e2-8734-ad3b59507552	1	169264736	169272528	7	-1.453
f70dee4f-4b68-46e2-8734-ad3b59507552	1	169273163	174827267	3514	-0.2808
f70dee4f-4b68-46e2-8734-ad3b59507552	1	174827418	174832702	16	-1.5771
f70dee4f-4b68-46e2-8734-ad3b59507552	1	174832716	184833760	6821	-0.271
f70dee4f-4b68-46e2-8734-ad3b59507552	1	184837894	196745743	7797	-0.3398
f70dee4f-4b68-46e2-8734-ad3b59507552	1	196758720	196846661	61	-1.1981
f70dee4f-4b68-46e2-8734-ad3b59507552	1	196847600	201044819	2647	-0.3241
f70dee4f-4b68-46e2-8734-ad3b59507552	1	201046605	206503888	3508	-0.2104
f70dee4f-4b68-46e2-8734-ad3b59507552	1	206504398	214880572	6000	-0.269
f70dee4f-4b68-46e2-8734-ad3b59507552	1	214883367	222843064	5540	-0.3099
f70dee4f-4b68-46e2-8734-ad3b59507552	1	222843983	222850262	5	-1.7454
f70dee4f-4b68-46e2-8734-ad3b59507552	1	222850427	231201285	5285	-0.248
f70dee4f-4b68-46e2-8734-ad3b59507552	1	231201742	236180918	3627	-0.2851
f70dee4f-4b68-46e2-8734-ad3b59507552	1	236182898	236182913	2	-2.2453
f70dee4f-4b68-46e2-8734-ad3b59507552	1	236186000	247999886	8685	-0.3042
f70dee4f-4b68-46e2-8734-ad3b59507552	1	248002400	248008274	2	-2.3785
f70dee4f-4b68-46e2-8734-ad3b59507552	1	248010151	248930189	454	-0.2961
f70dee4f-4b68-46e2-8734-ad3b59507552	2	12784	4175977	3022	-0.2297
f70dee4f-4b68-46e2-8734-ad3b59507552	2	4176105	6803977	2274	-0.3099
f70dee4f-4b68-46e2-8734-ad3b59507552	2	6804953	12428870	4254	-0.2288
f70dee4f-4b68-46e2-8734-ad3b59507552	2	12428885	23011773	7515	-0.2724
f70dee4f-4b68-46e2-8734-ad3b59507552	2	23011926	32540335	5546	-0.2271
f70dee4f-4b68-46e2-8734-ad3b59507552	2	32540777	32960915	267	-0.4341
f70dee4f-4b68-46e2-8734-ad3b59507552	2	32968392	34474248	1176	-0.2999
f70dee4f-4b68-46e2-8734-ad3b59507552	2	34476327	34512096	46	0.2549
f70dee4f-4b68-46e2-8734-ad3b59507552	2	34512489	35750907	867	-0.3191
f70dee4f-4b68-46e2-8734-ad3b59507552	2	35752724	35762850	6	-1.6703
f70dee4f-4b68-46e2-8734-ad3b59507552	2	35762881	38121433	1877	-0.303
f70dee4f-4b68-46e2-8734-ad3b59507552	2	38122373	49080253	7797	-0.2511
f70dee4f-4b68-46e2-8734-ad3b59507552	2	49086564	52527330	2431	-0.3183
f70dee4f-4b68-46e2-8734-ad3b59507552	2	52527342	52554404	39	-2.0068
f70dee4f-4b68-46e2-8734-ad3b59507552	2	52560811	54172415	1217	-0.3047
f70dee4f-4b68-46e2-8734-ad3b59507552	2	54172496	54197464	16	-4.2792
f70dee4f-4b68-46e2-8734-ad3b59507552	2	54200997	56232115	1464	-0.2711
f70dee4f-4b68-46e2-8734-ad3b59507552	2	56232878	59918444	2486	-0.3159
f70dee4f-4b68-46e2-8734-ad3b59507552	2	59918832	75930172	9869	-0.2544
f70dee4f-4b68-46e2-8734-ad3b59507552	2	75930604	83689360	5066	-0.3142
f70dee4f-4b68-46e2-8734-ad3b59507552	2	83690145	97210040	3683	-0.2418
f70dee4f-4b68-46e2-8734-ad3b59507552	2	97210463	97211436	5	-3.0206
f70dee4f-4b68-46e2-8734-ad3b59507552	2	97310327	97359885	13	-0.1297
f70dee4f-4b68-46e2-8734-ad3b59507552	2	97524284	97545726	9	0.6969
f70dee4f-4b68-46e2-8734-ad3b59507552	2	97550415	106266773	5560	-0.2639
f70dee4f-4b68-46e2-8734-ad3b59507552	2	106266875	106268523	5	-2.0183
f70dee4f-4b68-46e2-8734-ad3b59507552	2	106268557	110044146	2114	-0.255
f70dee4f-4b68-46e2-8734-ad3b59507552	2	110097158	110640222	71	0.4801
f70dee4f-4b68-46e2-8734-ad3b59507552	2	110643085	122875684	7435	-0.2613
f70dee4f-4b68-46e2-8734-ad3b59507552	2	122879052	126365859	2225	-0.3191
f70dee4f-4b68-46e2-8734-ad3b59507552	2	126366070	136817080	6162	-0.2607
f70dee4f-4b68-46e2-8734-ad3b59507552	2	136817683	146104517	5790	-0.3248
f70dee4f-4b68-46e2-8734-ad3b59507552	2	146106836	146109366	24	0.4758
f70dee4f-4b68-46e2-8734-ad3b59507552	2	146120238	168028823	13031	-0.3179
f70dee4f-4b68-46e2-8734-ad3b59507552	2	168029629	178667312	6904	-0.2856
