GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
ce60e213-0a8a-4cb4-8707-18b19096a74f	1	62920	16489035	8601	-0.2032
ce60e213-0a8a-4cb4-8707-18b19096a74f	1	16489595	16988207	140	-0.4858
ce60e213-0a8a-4cb4-8707-18b19096a74f	1	16993283	21313132	2904	-0.1922
ce60e213-0a8a-4cb4-8707-18b19096a74f	1	21313442	21313631	3	-1.8015
ce60e213-0a8a-4cb4-8707-18b19096a74f	1	21313902	21377333	46	-0.1478
ce60e213-0a8a-4cb4-8707-18b19096a74f	1	21377944	21457806	39	-0.4598
ce60e213-0a8a-4cb4-8707-18b19096a74f	1	21464228	21825701	223	-0.1923
ce60e213-0a8a-4cb4-8707-18b19096a74f	1	21833618	21833764	2	-2.5129
ce60e213-0a8a-4cb4-8707-18b19096a74f	1	21837671	34637053	6935	-0.1753
ce60e213-0a8a-4cb4-8707-18b19096a74f	1	34637069	34638890	19	-1.8031
ce60e213-0a8a-4cb4-8707-18b19096a74f	1	34648667	49448451	8339	-0.1764
ce60e213-0a8a-4cb4-8707-18b19096a74f	1	49449260	49532191	28	-1.8258
ce60e213-0a8a-4cb4-8707-18b19096a74f	1	49533594	72284670	15203	-0.1924
ce60e213-0a8a-4cb4-8707-18b19096a74f	1	72290430	72297687	9	-2.4639
ce60e213-0a8a-4cb4-8707-18b19096a74f	1	72302735	72345465	48	0.917
ce60e213-0a8a-4cb4-8707-18b19096a74f	1	72346221	103560166	19835	-0.1792
ce60e213-0a8a-4cb4-8707-18b19096a74f	1	103560435	103621165	31	0.4713
ce60e213-0a8a-4cb4-8707-18b19096a74f	1	103697067	105476583	912	-0.1466
ce60e213-0a8a-4cb4-8707-18b19096a74f	1	105476614	105479753	16	-1.6989
ce60e213-0a8a-4cb4-8707-18b19096a74f	1	105481433	112153571	4562	-0.1681
ce60e213-0a8a-4cb4-8707-18b19096a74f	1	112153651	112163334	23	0.3728
ce60e213-0a8a-4cb4-8707-18b19096a74f	1	112163438	152583291	7543	-0.1859
ce60e213-0a8a-4cb4-8707-18b19096a74f	1	152583319	152614118	33	-1.1885
ce60e213-0a8a-4cb4-8707-18b19096a74f	1	152618018	152787202	164	-0.1675
ce60e213-0a8a-4cb4-8707-18b19096a74f	1	152789447	152796224	37	-1.193
ce60e213-0a8a-4cb4-8707-18b19096a74f	1	152801429	169247699	11175	-0.1733
