GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
820a642e-893a-49ed-b73a-00bceaad9edd	1	62920	806913	28	0.1446
820a642e-893a-49ed-b73a-00bceaad9edd	1	810533	25256850	13968	-0.3971
820a642e-893a-49ed-b73a-00bceaad9edd	1	25266637	25320455	24	0.367
820a642e-893a-49ed-b73a-00bceaad9edd	1	25336819	40087661	7908	-0.3731
820a642e-893a-49ed-b73a-00bceaad9edd	1	40087772	53084515	7089	-0.3493
820a642e-893a-49ed-b73a-00bceaad9edd	1	53085621	53086208	2	-3.1439
820a642e-893a-49ed-b73a-00bceaad9edd	1	53088633	64961923	8904	-0.3415
820a642e-893a-49ed-b73a-00bceaad9edd	1	64963532	64964114	6	-1.5701
820a642e-893a-49ed-b73a-00bceaad9edd	1	64964291	72302815	4783	-0.3205
820a642e-893a-49ed-b73a-00bceaad9edd	1	72303233	72336821	31	-1.2135
820a642e-893a-49ed-b73a-00bceaad9edd	1	72338895	89009452	10940	-0.3218
820a642e-893a-49ed-b73a-00bceaad9edd	1	89009547	89012522	4	-2.0693
820a642e-893a-49ed-b73a-00bceaad9edd	1	89015841	105470754	9998	-0.3202
820a642e-893a-49ed-b73a-00bceaad9edd	1	105476583	105479738	16	0.368
820a642e-893a-49ed-b73a-00bceaad9edd	1	105479753	112147704	4595	-0.3191
820a642e-893a-49ed-b73a-00bceaad9edd	1	112153343	112154768	25	0.3044
820a642e-893a-49ed-b73a-00bceaad9edd	1	112163334	118674791	4135	-0.3361
820a642e-893a-49ed-b73a-00bceaad9edd	1	118674883	118675339	3	-1.9745
820a642e-893a-49ed-b73a-00bceaad9edd	1	118676830	152582700	3456	-0.3255
820a642e-893a-49ed-b73a-00bceaad9edd	1	152583051	152614118	36	0.7129
820a642e-893a-49ed-b73a-00bceaad9edd	1	152618018	169247699	11462	-0.3328
820a642e-893a-49ed-b73a-00bceaad9edd	1	169264736	169272528	7	-2.1335
820a642e-893a-49ed-b73a-00bceaad9edd	1	169273163	172430743	2175	-0.3205
820a642e-893a-49ed-b73a-00bceaad9edd	1	172439412	172440323	2	-1.9417
820a642e-893a-49ed-b73a-00bceaad9edd	1	172441694	173291093	539	-0.2739
820a642e-893a-49ed-b73a-00bceaad9edd	1	173296243	185343034	7903	-0.3437
820a642e-893a-49ed-b73a-00bceaad9edd	1	185344080	189679027	2796	-0.3159
820a642e-893a-49ed-b73a-00bceaad9edd	1	189679353	189679397	2	-1.8228
820a642e-893a-49ed-b73a-00bceaad9edd	1	189682917	196745743	4730	-0.2972
820a642e-893a-49ed-b73a-00bceaad9edd	1	196758720	196846661	61	-1.416
820a642e-893a-49ed-b73a-00bceaad9edd	1	196847600	199955268	1902	-0.2859
820a642e-893a-49ed-b73a-00bceaad9edd	1	199955678	202407067	1690	-0.3786
820a642e-893a-49ed-b73a-00bceaad9edd	1	202409128	202598425	87	-0.2877
820a642e-893a-49ed-b73a-00bceaad9edd	1	202598585	202598658	2	1.5184
