GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
ab185b04-9b48-4c41-989e-1b2e4590ee5a	1	62920	462894	19	0.2824
ab185b04-9b48-4c41-989e-1b2e4590ee5a	1	599171	3210974	677	-0.2232
ab185b04-9b48-4c41-989e-1b2e4590ee5a	1	3211361	15822848	7574	-0.0851
ab185b04-9b48-4c41-989e-1b2e4590ee5a	1	15823420	15828515	11	-1.4036
ab185b04-9b48-4c41-989e-1b2e4590ee5a	1	15839166	16864367	354	-0.038
ab185b04-9b48-4c41-989e-1b2e4590ee5a	1	16868660	16958425	58	-0.5574
ab185b04-9b48-4c41-989e-1b2e4590ee5a	1	16959715	40880756	13488	-0.0814
ab185b04-9b48-4c41-989e-1b2e4590ee5a	1	40881535	40909448	17	0.7371
ab185b04-9b48-4c41-989e-1b2e4590ee5a	1	40910828	72303233	20170	-0.0721
ab185b04-9b48-4c41-989e-1b2e4590ee5a	1	72303253	72345450	44	-1.5223
ab185b04-9b48-4c41-989e-1b2e4590ee5a	1	72345465	152583051	32858	-0.0621
ab185b04-9b48-4c41-989e-1b2e4590ee5a	1	152583230	152614118	35	1.3602
ab185b04-9b48-4c41-989e-1b2e4590ee5a	1	152618018	169247699	11347	-0.0702
ab185b04-9b48-4c41-989e-1b2e4590ee5a	1	169264736	169272528	7	-2.654
ab185b04-9b48-4c41-989e-1b2e4590ee5a	1	169273163	196745743	17992	-0.0728
ab185b04-9b48-4c41-989e-1b2e4590ee5a	1	196758720	196843400	60	0.4555
ab185b04-9b48-4c41-989e-1b2e4590ee5a	1	196846661	227237600	20208	-0.0818
ab185b04-9b48-4c41-989e-1b2e4590ee5a	1	227238371	227238504	2	-3.2156
ab185b04-9b48-4c41-989e-1b2e4590ee5a	1	227238705	235117260	5560	-0.078
ab185b04-9b48-4c41-989e-1b2e4590ee5a	1	235124437	235136069	3	-2.291
ab185b04-9b48-4c41-989e-1b2e4590ee5a	1	235136133	246255133	8064	-0.0764
ab185b04-9b48-4c41-989e-1b2e4590ee5a	1	246255480	246348722	53	0.276
ab185b04-9b48-4c41-989e-1b2e4590ee5a	1	246352273	247917119	993	-0.0805
ab185b04-9b48-4c41-989e-1b2e4590ee5a	1	247923651	248661962	368	0.1061
ab185b04-9b48-4c41-989e-1b2e4590ee5a	1	248662519	248930189	135	-0.1254
