GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
8999a237-aa83-47c7-9ea6-f4d1ab396b9b	1	62920	12792599	6471	-0.0035
8999a237-aa83-47c7-9ea6-f4d1ab396b9b	1	12797714	12797904	2	-4.076
8999a237-aa83-47c7-9ea6-f4d1ab396b9b	1	12799143	12868035	28	-0.8092
8999a237-aa83-47c7-9ea6-f4d1ab396b9b	1	12922922	46044681	18705	-0.0057
8999a237-aa83-47c7-9ea6-f4d1ab396b9b	1	46046603	46048154	2	3.0053
8999a237-aa83-47c7-9ea6-f4d1ab396b9b	1	46053881	72303233	17289	-0.002
8999a237-aa83-47c7-9ea6-f4d1ab396b9b	1	72303253	72345465	45	-1.1659
8999a237-aa83-47c7-9ea6-f4d1ab396b9b	1	72346221	74330842	1152	0.0053
8999a237-aa83-47c7-9ea6-f4d1ab396b9b	1	74333184	74333893	3	2.078
8999a237-aa83-47c7-9ea6-f4d1ab396b9b	1	74334349	78323769	2579	0.0037
8999a237-aa83-47c7-9ea6-f4d1ab396b9b	1	78323890	78324107	2	2.6987
8999a237-aa83-47c7-9ea6-f4d1ab396b9b	1	78329348	89009572	7106	0.0079
8999a237-aa83-47c7-9ea6-f4d1ab396b9b	1	89012275	89012522	2	-2.8925
8999a237-aa83-47c7-9ea6-f4d1ab396b9b	1	89015841	152583587	22084	0.0087
8999a237-aa83-47c7-9ea6-f4d1ab396b9b	1	152583668	152607349	23	0.95
8999a237-aa83-47c7-9ea6-f4d1ab396b9b	1	152613242	152789532	175	-0.0459
8999a237-aa83-47c7-9ea6-f4d1ab396b9b	1	152789570	152796224	33	0.788
8999a237-aa83-47c7-9ea6-f4d1ab396b9b	1	152801429	189546555	24409	0.0098
8999a237-aa83-47c7-9ea6-f4d1ab396b9b	1	189546636	189557469	12	-1.4052
8999a237-aa83-47c7-9ea6-f4d1ab396b9b	1	189557649	196874041	4869	0.004
8999a237-aa83-47c7-9ea6-f4d1ab396b9b	1	196874290	196878845	15	-1.0602
8999a237-aa83-47c7-9ea6-f4d1ab396b9b	1	196884220	248930189	35464	0.0051
8999a237-aa83-47c7-9ea6-f4d1ab396b9b	2	12784	33594925	23209	0.0093
8999a237-aa83-47c7-9ea6-f4d1ab396b9b	2	33599233	33599856	2	-3.0382
8999a237-aa83-47c7-9ea6-f4d1ab396b9b	2	33603907	34202579	489	-0.0057
8999a237-aa83-47c7-9ea6-f4d1ab396b9b	2	34203869	34204157	2	1.9056
8999a237-aa83-47c7-9ea6-f4d1ab396b9b	2	34204409	34294381	98	0.0396
8999a237-aa83-47c7-9ea6-f4d1ab396b9b	2	34295406	34300513	3	1.3242
8999a237-aa83-47c7-9ea6-f4d1ab396b9b	2	34300900	34476516	96	0.0013
8999a237-aa83-47c7-9ea6-f4d1ab396b9b	2	34476558	34511990	43	-1.7096
8999a237-aa83-47c7-9ea6-f4d1ab396b9b	2	34512096	52527330	12884	0.0163
8999a237-aa83-47c7-9ea6-f4d1ab396b9b	2	52527342	52554157	31	-0.8923
8999a237-aa83-47c7-9ea6-f4d1ab396b9b	2	52554188	106263639	29214	0.0114
8999a237-aa83-47c7-9ea6-f4d1ab396b9b	2	106264257	106268901	11	-1.5119
8999a237-aa83-47c7-9ea6-f4d1ab396b9b	2	106270799	179555909	43995	0.0051
8999a237-aa83-47c7-9ea6-f4d1ab396b9b	2	179556094	179556110	2	-3.2215
8999a237-aa83-47c7-9ea6-f4d1ab396b9b	2	179556165	242147305	38222	0.0062
8999a237-aa83-47c7-9ea6-f4d1ab396b9b	3	20930	6610989	5752	0.0008
8999a237-aa83-47c7-9ea6-f4d1ab396b9b	3	6611381	6611427	2	-2.7416
8999a237-aa83-47c7-9ea6-f4d1ab396b9b	3	6611461	47430543	27425	0.0054
8999a237-aa83-47c7-9ea6-f4d1ab396b9b	3	47437019	47450332	2	-3.1639
8999a237-aa83-47c7-9ea6-f4d1ab396b9b	3	47451230	60292333	7450	0.0115
8999a237-aa83-47c7-9ea6-f4d1ab396b9b	3	60292565	60294217	2	2.8217
8999a237-aa83-47c7-9ea6-f4d1ab396b9b	3	60294526	84053071	16293	-0.0031
8999a237-aa83-47c7-9ea6-f4d1ab396b9b	3	84056282	84057015	2	-3.0568
8999a237-aa83-47c7-9ea6-f4d1ab396b9b	3	84061816	130044016	24832	0.0043
8999a237-aa83-47c7-9ea6-f4d1ab396b9b	3	130044855	130087393	38	0.6354
8999a237-aa83-47c7-9ea6-f4d1ab396b9b	3	130088081	146871024	10421	0.0017
8999a237-aa83-47c7-9ea6-f4d1ab396b9b	3	146876137	146881446	3	-2.8381
8999a237-aa83-47c7-9ea6-f4d1ab396b9b	3	146883927	149245189	1380	-0.0036
8999a237-aa83-47c7-9ea6-f4d1ab396b9b	3	149245608	149253293	26	-0.8834
8999a237-aa83-47c7-9ea6-f4d1ab396b9b	3	149253404	162795361	8263	0.0019
8999a237-aa83-47c7-9ea6-f4d1ab396b9b	3	162795671	162857273	34	-0.6649
8999a237-aa83-47c7-9ea6-f4d1ab396b9b	3	162860892	193156958	19042	-0.0019
8999a237-aa83-47c7-9ea6-f4d1ab396b9b	3	193160113	193165114	20	-0.8384
8999a237-aa83-47c7-9ea6-f4d1ab396b9b	3	193168646	194920587	1155	0.0015
8999a237-aa83-47c7-9ea6-f4d1ab396b9b	3	194920617	194921899	6	-1.2065
8999a237-aa83-47c7-9ea6-f4d1ab396b9b	3	194926085	195559056	312	-0.0248
8999a237-aa83-47c7-9ea6-f4d1ab396b9b	3	195656271	195751990	46	-0.7226
8999a237-aa83-47c7-9ea6-f4d1ab396b9b	3	195752877	198169247	1158	-0.0377
8999a237-aa83-47c7-9ea6-f4d1ab396b9b	4	68929	40640258	26385	-0.0005
8999a237-aa83-47c7-9ea6-f4d1ab396b9b	4	40645294	40684451	22	0.8213
8999a237-aa83-47c7-9ea6-f4d1ab396b9b	4	40685217	68478894	15450	0.0042
8999a237-aa83-47c7-9ea6-f4d1ab396b9b	4	68494770	68639397	69	0.7676
8999a237-aa83-47c7-9ea6-f4d1ab396b9b	4	68640616	114258196	27467	0.0009
8999a237-aa83-47c7-9ea6-f4d1ab396b9b	4	114258272	114261019	12	1.2309
8999a237-aa83-47c7-9ea6-f4d1ab396b9b	4	114263073	151792456	21818	-0.0002
8999a237-aa83-47c7-9ea6-f4d1ab396b9b	4	151792485	151795456	2	-2.6743
8999a237-aa83-47c7-9ea6-f4d1ab396b9b	4	151796176	171448195	12497	0.0045
8999a237-aa83-47c7-9ea6-f4d1ab396b9b	4	171453733	171456625	12	1.1624
8999a237-aa83-47c7-9ea6-f4d1ab396b9b	4	171459220	190106768	12364	0.0006
8999a237-aa83-47c7-9ea6-f4d1ab396b9b	5	15532	21449167	15587	-0.0091
8999a237-aa83-47c7-9ea6-f4d1ab396b9b	5	21451091	21452329	5	-1.9688
8999a237-aa83-47c7-9ea6-f4d1ab396b9b	5	21452387	97709417	42621	0.0057
8999a237-aa83-47c7-9ea6-f4d1ab396b9b	5	97712762	97755391	35	-1.1857
8999a237-aa83-47c7-9ea6-f4d1ab396b9b	5	97757356	181363319	53665	0.002
8999a237-aa83-47c7-9ea6-f4d1ab396b9b	6	149661	48961930	33013	0.0007
8999a237-aa83-47c7-9ea6-f4d1ab396b9b	6	48963228	48967563	4	-1.9877
8999a237-aa83-47c7-9ea6-f4d1ab396b9b	6	48978926	66295080	8579	0.0052
8999a237-aa83-47c7-9ea6-f4d1ab396b9b	6	66298369	66338736	56	-0.6619
8999a237-aa83-47c7-9ea6-f4d1ab396b9b	6	66339513	78253172	7719	0.0053
8999a237-aa83-47c7-9ea6-f4d1ab396b9b	6	78259348	78325468	109	-1.9146
8999a237-aa83-47c7-9ea6-f4d1ab396b9b	6	78329517	168041795	57385	-0.0008
8999a237-aa83-47c7-9ea6-f4d1ab396b9b	6	168042894	168105916	32	-0.5689
8999a237-aa83-47c7-9ea6-f4d1ab396b9b	6	168107475	170741917	1733	-0.019
8999a237-aa83-47c7-9ea6-f4d1ab396b9b	7	43355	54305455	38187	0.0074
8999a237-aa83-47c7-9ea6-f4d1ab396b9b	7	54318812	54318824	6	-2.0605
