GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
499cad1d-5d42-4834-8b88-42aec6523e07	1	62920	462894	19	0.3338
499cad1d-5d42-4834-8b88-42aec6523e07	1	599171	3321181	742	-0.1268
499cad1d-5d42-4834-8b88-42aec6523e07	1	3324571	16504325	7825	0.0319
499cad1d-5d42-4834-8b88-42aec6523e07	1	16505368	16959715	121	-0.4155
499cad1d-5d42-4834-8b88-42aec6523e07	1	16959824	72303233	33713	0.0163
499cad1d-5d42-4834-8b88-42aec6523e07	1	72303253	72345450	44	-1.42
499cad1d-5d42-4834-8b88-42aec6523e07	1	72345465	152787202	33072	0.0103
499cad1d-5d42-4834-8b88-42aec6523e07	1	152789447	152796224	37	-1.649
499cad1d-5d42-4834-8b88-42aec6523e07	1	152801429	196772186	29172	0.0407
499cad1d-5d42-4834-8b88-42aec6523e07	1	196772237	196832312	41	0.5587
499cad1d-5d42-4834-8b88-42aec6523e07	1	196832525	209897717	8694	0.0454
499cad1d-5d42-4834-8b88-42aec6523e07	1	209908268	209910639	3	-2.4351
499cad1d-5d42-4834-8b88-42aec6523e07	1	209913207	222193326	8506	0.0423
499cad1d-5d42-4834-8b88-42aec6523e07	1	222201492	222203662	2	-3.0058
499cad1d-5d42-4834-8b88-42aec6523e07	1	222208792	228347149	3607	0.0325
499cad1d-5d42-4834-8b88-42aec6523e07	1	228347663	228356535	4	-1.3094
499cad1d-5d42-4834-8b88-42aec6523e07	1	228356973	229675422	782	0.0357
499cad1d-5d42-4834-8b88-42aec6523e07	1	229681109	229684383	2	-2.7394
499cad1d-5d42-4834-8b88-42aec6523e07	1	229684449	236095888	4719	0.0649
499cad1d-5d42-4834-8b88-42aec6523e07	1	236099667	248574146	8897	-0.4662
499cad1d-5d42-4834-8b88-42aec6523e07	1	248585893	248633912	32	-1.6109
499cad1d-5d42-4834-8b88-42aec6523e07	1	248645563	248930189	140	-0.4577
499cad1d-5d42-4834-8b88-42aec6523e07	2	12784	34295406	23753	0.0153
499cad1d-5d42-4834-8b88-42aec6523e07	2	34298911	34300513	2	-1.9989
499cad1d-5d42-4834-8b88-42aec6523e07	2	34300900	34466002	93	0.0183
499cad1d-5d42-4834-8b88-42aec6523e07	2	34474248	34512096	47	-0.4252
499cad1d-5d42-4834-8b88-42aec6523e07	2	34512489	35742970	855	0.0362
499cad1d-5d42-4834-8b88-42aec6523e07	2	35750907	35762850	7	1.1683
499cad1d-5d42-4834-8b88-42aec6523e07	2	35762881	52527330	11978	0.0122
499cad1d-5d42-4834-8b88-42aec6523e07	2	52527342	52560811	40	0.5991
499cad1d-5d42-4834-8b88-42aec6523e07	2	52563002	79056326	16983	0.0113
499cad1d-5d42-4834-8b88-42aec6523e07	2	79069893	79070348	2	-2.2324
499cad1d-5d42-4834-8b88-42aec6523e07	2	79070528	97359885	6644	0.0042
499cad1d-5d42-4834-8b88-42aec6523e07	2	97524284	97545726	9	-1.3833
499cad1d-5d42-4834-8b88-42aec6523e07	2	97550415	119416560	12993	0.0092
499cad1d-5d42-4834-8b88-42aec6523e07	2	119417480	119422789	4	-1.9584
499cad1d-5d42-4834-8b88-42aec6523e07	2	119422990	146107526	16139	0.008
499cad1d-5d42-4834-8b88-42aec6523e07	2	146107615	146120238	18	0.9268
499cad1d-5d42-4834-8b88-42aec6523e07	2	146120827	179196928	20071	-0.0019
499cad1d-5d42-4834-8b88-42aec6523e07	2	179202465	179214417	3	-2.1893
499cad1d-5d42-4834-8b88-42aec6523e07	2	179218864	242147305	38407	0.007
499cad1d-5d42-4834-8b88-42aec6523e07	3	20930	37935926	27313	0.0153
499cad1d-5d42-4834-8b88-42aec6523e07	3	37940617	37945392	17	-4.5342
499cad1d-5d42-4834-8b88-42aec6523e07	3	37945437	46750055	5476	0.0108
499cad1d-5d42-4834-8b88-42aec6523e07	3	46751887	46808099	41	-0.8064
499cad1d-5d42-4834-8b88-42aec6523e07	3	46817989	125950205	46416	0.0108
499cad1d-5d42-4834-8b88-42aec6523e07	3	125954540	125957120	3	-1.8183
499cad1d-5d42-4834-8b88-42aec6523e07	3	125961657	130035506	2354	0.0052
499cad1d-5d42-4834-8b88-42aec6523e07	3	130035762	130137637	63	0.325
499cad1d-5d42-4834-8b88-42aec6523e07	3	130137903	136300257	3961	0.0165
499cad1d-5d42-4834-8b88-42aec6523e07	3	136304109	136306584	2	-2.1401
499cad1d-5d42-4834-8b88-42aec6523e07	3	136319699	193160113	35140	0.0164
499cad1d-5d42-4834-8b88-42aec6523e07	3	193160173	193165114	19	-1.1274
499cad1d-5d42-4834-8b88-42aec6523e07	3	193168646	198169247	2673	0.0238
499cad1d-5d42-4834-8b88-42aec6523e07	4	68929	6399133	3452	0.0759
499cad1d-5d42-4834-8b88-42aec6523e07	4	6399471	6399824	2	-2.5758
499cad1d-5d42-4834-8b88-42aec6523e07	4	6401005	10208766	2190	0.0776
499cad1d-5d42-4834-8b88-42aec6523e07	4	10221792	10234518	36	1.2206
499cad1d-5d42-4834-8b88-42aec6523e07	4	10236812	10270469	40	0.015
499cad1d-5d42-4834-8b88-42aec6523e07	4	10271164	10272578	8	-0.9469
499cad1d-5d42-4834-8b88-42aec6523e07	4	10273002	10389091	119	0.0423
499cad1d-5d42-4834-8b88-42aec6523e07	4	10390730	10397651	9	-1.0694
499cad1d-5d42-4834-8b88-42aec6523e07	4	10397663	34777418	16634	0.0505
499cad1d-5d42-4834-8b88-42aec6523e07	4	34777432	34822561	38	1.106
499cad1d-5d42-4834-8b88-42aec6523e07	4	34823103	63828222	16398	0.0405
499cad1d-5d42-4834-8b88-42aec6523e07	4	63831751	63841863	20	-1.0095
499cad1d-5d42-4834-8b88-42aec6523e07	4	63841887	63842540	7	-2.958
499cad1d-5d42-4834-8b88-42aec6523e07	4	63850713	114252544	30326	0.016
499cad1d-5d42-4834-8b88-42aec6523e07	4	114254167	114261019	23	0.8678
499cad1d-5d42-4834-8b88-42aec6523e07	4	114263073	120348710	3625	0.0068
499cad1d-5d42-4834-8b88-42aec6523e07	4	120349784	120379729	34	-0.6318
499cad1d-5d42-4834-8b88-42aec6523e07	4	120380665	121360818	628	-0.0039
499cad1d-5d42-4834-8b88-42aec6523e07	4	121361313	121363980	28	-1.0945
499cad1d-5d42-4834-8b88-42aec6523e07	4	121369976	137170949	8773	0.0099
499cad1d-5d42-4834-8b88-42aec6523e07	4	137171041	137172260	15	-0.8501
499cad1d-5d42-4834-8b88-42aec6523e07	4	137173804	155935493	11400	0.0204
499cad1d-5d42-4834-8b88-42aec6523e07	4	155939239	155939953	3	-1.9292
499cad1d-5d42-4834-8b88-42aec6523e07	4	155941209	172066777	10185	0.0211
499cad1d-5d42-4834-8b88-42aec6523e07	4	172067997	172068354	10	-1.6157
499cad1d-5d42-4834-8b88-42aec6523e07	4	172068368	190106768	11943	0.0324
499cad1d-5d42-4834-8b88-42aec6523e07	5	15532	698357	306	-0.0092
499cad1d-5d42-4834-8b88-42aec6523e07	5	698390	852451	46	0.4921
499cad1d-5d42-4834-8b88-42aec6523e07	5	863682	5397664	3753	0.0296
499cad1d-5d42-4834-8b88-42aec6523e07	5	5398113	5511877	84	-0.6071
499cad1d-5d42-4834-8b88-42aec6523e07	5	5513512	5829718	335	0.0282
499cad1d-5d42-4834-8b88-42aec6523e07	5	5830456	5966212	113	-0.5461
499cad1d-5d42-4834-8b88-42aec6523e07	5	5966617	6048880	90	-0.0088
499cad1d-5d42-4834-8b88-42aec6523e07	5	6052420	6174623	97	-0.5561
499cad1d-5d42-4834-8b88-42aec6523e07	5	6177456	7933418	1408	0.0267
499cad1d-5d42-4834-8b88-42aec6523e07	5	7933858	8340197	347	-0.5629
499cad1d-5d42-4834-8b88-42aec6523e07	5	8346971	8396696	23	-0.0178
499cad1d-5d42-4834-8b88-42aec6523e07	5	8396772	8439243	31	-0.6533
499cad1d-5d42-4834-8b88-42aec6523e07	5	8439747	8643178	182	0.0407
499cad1d-5d42-4834-8b88-42aec6523e07	5	8645161	9096329	388	-0.5074
499cad1d-5d42-4834-8b88-42aec6523e07	5	9099551	9746187	591	0.0166
499cad1d-5d42-4834-8b88-42aec6523e07	5	9747311	9883040	121	-0.5435
499cad1d-5d42-4834-8b88-42aec6523e07	5	9883489	11648152	1498	0.039
499cad1d-5d42-4834-8b88-42aec6523e07	5	11650898	11855080	145	-0.585
499cad1d-5d42-4834-8b88-42aec6523e07	5	11857205	11883020	32	0.0954
499cad1d-5d42-4834-8b88-42aec6523e07	5	11891615	12050798	87	-0.5692
499cad1d-5d42-4834-8b88-42aec6523e07	5	12053579	12589832	290	0.029
499cad1d-5d42-4834-8b88-42aec6523e07	5	12592699	12624741	20	-0.5548
499cad1d-5d42-4834-8b88-42aec6523e07	5	12629839	17287669	3108	0.032
499cad1d-5d42-4834-8b88-42aec6523e07	5	17290650	17427728	83	-0.454
499cad1d-5d42-4834-8b88-42aec6523e07	5	17432602	18121494	369	0.0582
499cad1d-5d42-4834-8b88-42aec6523e07	5	18125209	18258594	101	-0.5177
499cad1d-5d42-4834-8b88-42aec6523e07	5	18259583	19486044	780	0.0325
499cad1d-5d42-4834-8b88-42aec6523e07	5	19486137	19527962	34	1.478
499cad1d-5d42-4834-8b88-42aec6523e07	5	19530899	19789730	130	-0.0263
499cad1d-5d42-4834-8b88-42aec6523e07	5	19790114	19878222	55	-0.5489
499cad1d-5d42-4834-8b88-42aec6523e07	5	19880078	21376735	846	0.0465
499cad1d-5d42-4834-8b88-42aec6523e07	5	21377730	21377744	2	2.456
499cad1d-5d42-4834-8b88-42aec6523e07	5	21385957	21449167	43	0.0154
499cad1d-5d42-4834-8b88-42aec6523e07	5	21451091	21452329	5	1.2155
499cad1d-5d42-4834-8b88-42aec6523e07	5	21452387	23922754	1369	0.0213
499cad1d-5d42-4834-8b88-42aec6523e07	5	23923518	24048364	53	-0.6278
499cad1d-5d42-4834-8b88-42aec6523e07	5	24058001	29020469	2918	0.0389
499cad1d-5d42-4834-8b88-42aec6523e07	5	29020510	29023197	2	-2.3416
