GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
a8bbc616-f4a4-4133-9bc2-35a82c99829d	1	62920	266187	17	0.0495
a8bbc616-f4a4-4133-9bc2-35a82c99829d	1	462795	462894	2	1.8325
a8bbc616-f4a4-4133-9bc2-35a82c99829d	1	599171	16679239	8653	-0.2312
a8bbc616-f4a4-4133-9bc2-35a82c99829d	1	16679281	16951445	82	0.0456
a8bbc616-f4a4-4133-9bc2-35a82c99829d	1	16955930	22068758	3371	-0.2321
a8bbc616-f4a4-4133-9bc2-35a82c99829d	1	22069767	22340487	205	0.1956
a8bbc616-f4a4-4133-9bc2-35a82c99829d	1	22343478	25256800	1674	-0.2338
a8bbc616-f4a4-4133-9bc2-35a82c99829d	1	25256850	25320455	25	0.3307
a8bbc616-f4a4-4133-9bc2-35a82c99829d	1	25336819	34637053	4947	-0.2285
a8bbc616-f4a4-4133-9bc2-35a82c99829d	1	34637069	34638890	19	-1.6247
a8bbc616-f4a4-4133-9bc2-35a82c99829d	1	34648667	54624527	11021	-0.2411
a8bbc616-f4a4-4133-9bc2-35a82c99829d	1	54627618	54628716	2	-2.4959
a8bbc616-f4a4-4133-9bc2-35a82c99829d	1	54630777	57275656	2148	-0.2424
a8bbc616-f4a4-4133-9bc2-35a82c99829d	1	57275724	57388076	91	-0.802
a8bbc616-f4a4-4133-9bc2-35a82c99829d	1	57388347	72284670	10460	-0.2697
a8bbc616-f4a4-4133-9bc2-35a82c99829d	1	72290430	72297687	9	-3.1842
a8bbc616-f4a4-4133-9bc2-35a82c99829d	1	72302735	72345465	48	0.7581
a8bbc616-f4a4-4133-9bc2-35a82c99829d	1	72346221	89009572	10928	-0.2913
a8bbc616-f4a4-4133-9bc2-35a82c99829d	1	89012275	89012522	2	-2.5032
a8bbc616-f4a4-4133-9bc2-35a82c99829d	1	89015841	103616762	9078	-0.2869
a8bbc616-f4a4-4133-9bc2-35a82c99829d	1	103620877	103621165	2	1.93
a8bbc616-f4a4-4133-9bc2-35a82c99829d	1	103697067	105476583	922	-0.281
a8bbc616-f4a4-4133-9bc2-35a82c99829d	1	105476614	105479753	16	0.503
a8bbc616-f4a4-4133-9bc2-35a82c99829d	1	105481433	112147704	4592	-0.2816
a8bbc616-f4a4-4133-9bc2-35a82c99829d	1	112153343	112154754	24	0.4108
a8bbc616-f4a4-4133-9bc2-35a82c99829d	1	112154768	152582700	7593	-0.2591
a8bbc616-f4a4-4133-9bc2-35a82c99829d	1	152583051	152613802	33	0.8953
a8bbc616-f4a4-4133-9bc2-35a82c99829d	1	152614064	152778761	161	-0.1985
a8bbc616-f4a4-4133-9bc2-35a82c99829d	1	152782154	152796224	45	0.091
a8bbc616-f4a4-4133-9bc2-35a82c99829d	1	152801429	157939918	2823	-0.238
a8bbc616-f4a4-4133-9bc2-35a82c99829d	1	157941489	158040572	68	0.5029
a8bbc616-f4a4-4133-9bc2-35a82c99829d	1	158040754	169247699	8371	-0.2658
a8bbc616-f4a4-4133-9bc2-35a82c99829d	1	169264736	169272528	7	-2.4201
a8bbc616-f4a4-4133-9bc2-35a82c99829d	1	169273163	193581427	16067	-0.2837
a8bbc616-f4a4-4133-9bc2-35a82c99829d	1	193582954	193588971	2	-2.4269
a8bbc616-f4a4-4133-9bc2-35a82c99829d	1	193589751	196745743	2083	-0.3171
a8bbc616-f4a4-4133-9bc2-35a82c99829d	1	196758720	196832525	57	-1.4458
a8bbc616-f4a4-4133-9bc2-35a82c99829d	1	196832720	229675422	21804	-0.2766
a8bbc616-f4a4-4133-9bc2-35a82c99829d	1	229681109	229684449	3	-2.2422
a8bbc616-f4a4-4133-9bc2-35a82c99829d	1	229684709	235437275	4363	-0.2708
a8bbc616-f4a4-4133-9bc2-35a82c99829d	1	235437426	235437498	2	-2.356
a8bbc616-f4a4-4133-9bc2-35a82c99829d	1	235437690	248574146	9418	-0.29
a8bbc616-f4a4-4133-9bc2-35a82c99829d	1	248585893	248631988	30	-1.9959
a8bbc616-f4a4-4133-9bc2-35a82c99829d	1	248633821	248930189	143	-0.2528
a8bbc616-f4a4-4133-9bc2-35a82c99829d	2	12784	7990754	6299	-0.2465
a8bbc616-f4a4-4133-9bc2-35a82c99829d	2	7991449	7992057	3	-6.1151
a8bbc616-f4a4-4133-9bc2-35a82c99829d	2	7992809	7996487	4	-2.0642
a8bbc616-f4a4-4133-9bc2-35a82c99829d	2	7999793	14563570	4732	-0.2472
a8bbc616-f4a4-4133-9bc2-35a82c99829d	2	14564825	14569897	11	-4.7504
a8bbc616-f4a4-4133-9bc2-35a82c99829d	2	14569968	34466002	13022	-0.2493
a8bbc616-f4a4-4133-9bc2-35a82c99829d	2	34474248	34512096	47	0.2504
a8bbc616-f4a4-4133-9bc2-35a82c99829d	2	34512489	52511964	12985	-0.2665
a8bbc616-f4a4-4133-9bc2-35a82c99829d	2	52512042	52554359	41	0.2474
a8bbc616-f4a4-4133-9bc2-35a82c99829d	2	52554366	76617340	15526	-0.2513
a8bbc616-f4a4-4133-9bc2-35a82c99829d	2	76618047	76618300	5	-2.4248
a8bbc616-f4a4-4133-9bc2-35a82c99829d	2	76620460	81329871	3225	-0.2736
a8bbc616-f4a4-4133-9bc2-35a82c99829d	2	81330404	81330716	2	-2.4167
a8bbc616-f4a4-4133-9bc2-35a82c99829d	2	81331952	83042032	1005	-0.2808
a8bbc616-f4a4-4133-9bc2-35a82c99829d	2	83049082	83155397	55	-0.9358
a8bbc616-f4a4-4133-9bc2-35a82c99829d	2	83158328	84406902	742	-0.2684
a8bbc616-f4a4-4133-9bc2-35a82c99829d	2	84410539	84410992	2	-1.99
a8bbc616-f4a4-4133-9bc2-35a82c99829d	2	84411166	86710564	1329	-0.2444
a8bbc616-f4a4-4133-9bc2-35a82c99829d	2	86725947	86726731	2	-2.1673
a8bbc616-f4a4-4133-9bc2-35a82c99829d	2	86743283	137224578	25842	-0.2498
a8bbc616-f4a4-4133-9bc2-35a82c99829d	2	137226077	137226309	3	-2.7679
a8bbc616-f4a4-4133-9bc2-35a82c99829d	2	137226577	139969290	1681	-0.2789
a8bbc616-f4a4-4133-9bc2-35a82c99829d	2	139970004	139972292	2	-1.8917
a8bbc616-f4a4-4133-9bc2-35a82c99829d	2	139976541	140780189	521	-0.2931
a8bbc616-f4a4-4133-9bc2-35a82c99829d	2	140785242	140890043	56	-0.8635
a8bbc616-f4a4-4133-9bc2-35a82c99829d	2	140898864	146107526	3210	-0.2786
a8bbc616-f4a4-4133-9bc2-35a82c99829d	2	146107615	146109366	17	-1.8757
a8bbc616-f4a4-4133-9bc2-35a82c99829d	2	146120238	159102108	7780	-0.2709
a8bbc616-f4a4-4133-9bc2-35a82c99829d	2	159103831	159104461	2	-2.0882
a8bbc616-f4a4-4133-9bc2-35a82c99829d	2	159106775	163780342	2795	-0.2626
a8bbc616-f4a4-4133-9bc2-35a82c99829d	2	163786978	163788025	3	-2.6554
a8bbc616-f4a4-4133-9bc2-35a82c99829d	2	163788616	193823021	18258	-0.2714
