GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
2da37d3b-1621-4e31-8bd6-cfa1e716750c	1	62920	965731	65	0.1097
2da37d3b-1621-4e31-8bd6-cfa1e716750c	1	968658	3128413	593	-0.1663
2da37d3b-1621-4e31-8bd6-cfa1e716750c	1	3130688	16617327	7983	-0.0067
2da37d3b-1621-4e31-8bd6-cfa1e716750c	1	16627347	16643961	19	-0.3994
2da37d3b-1621-4e31-8bd6-cfa1e716750c	1	16679239	25256850	5332	-0.0047
2da37d3b-1621-4e31-8bd6-cfa1e716750c	1	25266637	25320198	22	-1.8988
2da37d3b-1621-4e31-8bd6-cfa1e716750c	1	25320253	25320455	2	-0.8014
2da37d3b-1621-4e31-8bd6-cfa1e716750c	1	25336819	72284670	28667	-0.001
2da37d3b-1621-4e31-8bd6-cfa1e716750c	1	72290430	72297687	9	-1.1054
2da37d3b-1621-4e31-8bd6-cfa1e716750c	1	72302735	72345465	48	1.1824
2da37d3b-1621-4e31-8bd6-cfa1e716750c	1	72346221	75585159	1930	0.0034
2da37d3b-1621-4e31-8bd6-cfa1e716750c	1	75589078	75589169	2	-2.3759
2da37d3b-1621-4e31-8bd6-cfa1e716750c	1	75593824	103616762	18065	0.0008
2da37d3b-1621-4e31-8bd6-cfa1e716750c	1	103620877	103760781	7	0.9827
2da37d3b-1621-4e31-8bd6-cfa1e716750c	1	103760879	105628819	1055	0.0221
2da37d3b-1621-4e31-8bd6-cfa1e716750c	1	105632732	105669056	21	0.383
2da37d3b-1621-4e31-8bd6-cfa1e716750c	1	105669223	109690431	2489	0.008
2da37d3b-1621-4e31-8bd6-cfa1e716750c	1	109690640	109697556	10	1.0093
2da37d3b-1621-4e31-8bd6-cfa1e716750c	1	109702376	111769532	1575	-0.0072
2da37d3b-1621-4e31-8bd6-cfa1e716750c	1	111769589	111769929	3	1.3217
2da37d3b-1621-4e31-8bd6-cfa1e716750c	1	111770456	112147704	362	-0.0025
2da37d3b-1621-4e31-8bd6-cfa1e716750c	1	112153343	112154591	22	0.6359
2da37d3b-1621-4e31-8bd6-cfa1e716750c	1	112154619	121545598	5130	-0.0032
2da37d3b-1621-4e31-8bd6-cfa1e716750c	1	121547204	143619868	66	0.2238
