GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
516b3003-bda5-4b94-896a-5da9458b7570	1	62920	3296382	736	-0.3523
516b3003-bda5-4b94-896a-5da9458b7570	1	3298168	17266911	8243	-0.2039
516b3003-bda5-4b94-896a-5da9458b7570	1	17268401	17293514	22	0.6146
516b3003-bda5-4b94-896a-5da9458b7570	1	17296159	25256850	4992	-0.1888
516b3003-bda5-4b94-896a-5da9458b7570	1	25266637	25319693	21	-1.5589
516b3003-bda5-4b94-896a-5da9458b7570	1	25320198	28513790	1344	-0.1476
516b3003-bda5-4b94-896a-5da9458b7570	1	28519419	28579054	20	0.6335
516b3003-bda5-4b94-896a-5da9458b7570	1	28579255	40556404	6778	-0.1872
516b3003-bda5-4b94-896a-5da9458b7570	1	40562256	40562538	2	-3.5514
516b3003-bda5-4b94-896a-5da9458b7570	1	40563254	45671987	2958	-0.1696
516b3003-bda5-4b94-896a-5da9458b7570	1	45672664	54624527	4876	-0.218
516b3003-bda5-4b94-896a-5da9458b7570	1	54627618	54628716	2	-3.0417
516b3003-bda5-4b94-896a-5da9458b7570	1	54630777	63003832	6360	-0.2458
516b3003-bda5-4b94-896a-5da9458b7570	1	63005821	63006432	3	-2.0953
516b3003-bda5-4b94-896a-5da9458b7570	1	63007197	72275051	6320	-0.2424
516b3003-bda5-4b94-896a-5da9458b7570	1	72280850	72302815	17	0.1649
516b3003-bda5-4b94-896a-5da9458b7570	1	72303233	72345465	46	0.9529
516b3003-bda5-4b94-896a-5da9458b7570	1	72346221	103613180	19991	-0.2503
516b3003-bda5-4b94-896a-5da9458b7570	1	103614539	103717410	11	-1.6816
516b3003-bda5-4b94-896a-5da9458b7570	1	103717617	105476583	919	-0.2537
516b3003-bda5-4b94-896a-5da9458b7570	1	105476614	105479738	15	0.4111
516b3003-bda5-4b94-896a-5da9458b7570	1	105479753	108223733	1958	-0.2568
516b3003-bda5-4b94-896a-5da9458b7570	1	108226680	108274557	2	-2.8962
516b3003-bda5-4b94-896a-5da9458b7570	1	108310648	109684893	675	-0.1964
516b3003-bda5-4b94-896a-5da9458b7570	1	109690352	109697556	13	1.6276
516b3003-bda5-4b94-896a-5da9458b7570	1	109702376	110834746	834	-0.1875
516b3003-bda5-4b94-896a-5da9458b7570	1	110834943	110841332	35	-2.2028
516b3003-bda5-4b94-896a-5da9458b7570	1	110841350	112147704	1074	-0.2074
516b3003-bda5-4b94-896a-5da9458b7570	1	112153343	112154768	25	0.3783
516b3003-bda5-4b94-896a-5da9458b7570	1	112163334	117850275	3666	-0.2144
516b3003-bda5-4b94-896a-5da9458b7570	1	117850340	149906351	2530	-0.26
516b3003-bda5-4b94-896a-5da9458b7570	1	149907993	152583291	1397	-0.1851
516b3003-bda5-4b94-896a-5da9458b7570	1	152583319	152613762	29	-1.5416
516b3003-bda5-4b94-896a-5da9458b7570	1	152613802	152784298	166	-0.2573
516b3003-bda5-4b94-896a-5da9458b7570	1	152784330	152795805	36	0.2351
516b3003-bda5-4b94-896a-5da9458b7570	1	152795862	156885853	2092	-0.1835
516b3003-bda5-4b94-896a-5da9458b7570	1	156886003	159227554	1736	-0.2424
516b3003-bda5-4b94-896a-5da9458b7570	1	159229894	162051334	1732	-0.1736
516b3003-bda5-4b94-896a-5da9458b7570	1	162052604	196745743	23857	-0.2401
516b3003-bda5-4b94-896a-5da9458b7570	1	196758720	196762956	4	-1.652
516b3003-bda5-4b94-896a-5da9458b7570	1	196769493	196821815	44	-0.1443
516b3003-bda5-4b94-896a-5da9458b7570	1	196829435	196854187	15	0.5668
516b3003-bda5-4b94-896a-5da9458b7570	1	196854483	201607797	3121	-0.2266
516b3003-bda5-4b94-896a-5da9458b7570	1	201608371	207320030	3582	-0.1862
516b3003-bda5-4b94-896a-5da9458b7570	1	207320256	210484992	2469	-0.2436
516b3003-bda5-4b94-896a-5da9458b7570	1	210486622	210494872	11	-0.9986
516b3003-bda5-4b94-896a-5da9458b7570	1	210495654	213643968	2012	-0.2119
516b3003-bda5-4b94-896a-5da9458b7570	1	213651067	213657482	4	-1.947
516b3003-bda5-4b94-896a-5da9458b7570	1	213657558	223484461	6924	-0.2613
516b3003-bda5-4b94-896a-5da9458b7570	1	223484700	228177209	2772	-0.2033
516b3003-bda5-4b94-896a-5da9458b7570	1	228177945	229675422	888	-0.2395
516b3003-bda5-4b94-896a-5da9458b7570	1	229681109	229684449	3	-2.8874
516b3003-bda5-4b94-896a-5da9458b7570	1	229684709	248930189	13956	-0.2495
516b3003-bda5-4b94-896a-5da9458b7570	2	12784	8089375	6381	-0.2536
516b3003-bda5-4b94-896a-5da9458b7570	2	8089982	12216306	2994	-0.1897
516b3003-bda5-4b94-896a-5da9458b7570	2	12217340	14563570	1658	-0.2399
516b3003-bda5-4b94-896a-5da9458b7570	2	14564825	14569897	11	-4.7998
516b3003-bda5-4b94-896a-5da9458b7570	2	14569968	23450566	6360	-0.2497
516b3003-bda5-4b94-896a-5da9458b7570	2	23452081	28737312	2701	-0.1703
516b3003-bda5-4b94-896a-5da9458b7570	2	28743924	34427804	3939	-0.2389
516b3003-bda5-4b94-896a-5da9458b7570	2	34434869	34511446	56	0.2678
516b3003-bda5-4b94-896a-5da9458b7570	2	34511990	35742319	870	-0.2263
516b3003-bda5-4b94-896a-5da9458b7570	2	35742970	35762881	9	0.6732
516b3003-bda5-4b94-896a-5da9458b7570	2	35772407	38331727	2062	-0.2278
516b3003-bda5-4b94-896a-5da9458b7570	2	38332083	38332751	2	-2.584
