GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
6783c198-d4b3-400a-bde5-772ecf0718ca	1	62920	3301765	738	-0.1102
6783c198-d4b3-400a-bde5-772ecf0718ca	1	3302046	5716400	1872	-0.0066
6783c198-d4b3-400a-bde5-772ecf0718ca	1	5718176	5718729	2	-1.5868
6783c198-d4b3-400a-bde5-772ecf0718ca	1	5722109	9247978	2044	-0.0131
6783c198-d4b3-400a-bde5-772ecf0718ca	1	9255788	9342344	58	0.5064
6783c198-d4b3-400a-bde5-772ecf0718ca	1	9344634	16689764	3966	0.0027
6783c198-d4b3-400a-bde5-772ecf0718ca	1	16718963	16951445	77	0.3715
6783c198-d4b3-400a-bde5-772ecf0718ca	1	16955930	16988207	18	-0.1759
6783c198-d4b3-400a-bde5-772ecf0718ca	1	16993283	16997950	2	1.1954
6783c198-d4b3-400a-bde5-772ecf0718ca	1	16999460	20556451	2513	-0.0016
6783c198-d4b3-400a-bde5-772ecf0718ca	1	20556710	20560274	7	-0.9856
6783c198-d4b3-400a-bde5-772ecf0718ca	1	20560287	54624527	18722	-0.005
6783c198-d4b3-400a-bde5-772ecf0718ca	1	54627618	54628716	2	-2.221
6783c198-d4b3-400a-bde5-772ecf0718ca	1	54630777	55792696	937	-0.0098
6783c198-d4b3-400a-bde5-772ecf0718ca	1	55795141	55797726	2	-2.04
6783c198-d4b3-400a-bde5-772ecf0718ca	1	55801297	61647430	4478	-0.0036
6783c198-d4b3-400a-bde5-772ecf0718ca	1	61648334	61652515	4	-0.8781
6783c198-d4b3-400a-bde5-772ecf0718ca	1	61654137	63442597	1250	-0.002
6783c198-d4b3-400a-bde5-772ecf0718ca	1	63443177	63447222	2	2.1471
6783c198-d4b3-400a-bde5-772ecf0718ca	1	63447402	72284670	6018	-0.0073
6783c198-d4b3-400a-bde5-772ecf0718ca	1	72290430	72297687	9	-0.6989
6783c198-d4b3-400a-bde5-772ecf0718ca	1	72302735	72345465	48	0.4074
6783c198-d4b3-400a-bde5-772ecf0718ca	1	72346221	105470132	20930	0.0019
6783c198-d4b3-400a-bde5-772ecf0718ca	1	105470754	105479753	18	0.6861
6783c198-d4b3-400a-bde5-772ecf0718ca	1	105481433	109664699	2629	0.0006
6783c198-d4b3-400a-bde5-772ecf0718ca	1	109676386	109697556	20	-0.7376
6783c198-d4b3-400a-bde5-772ecf0718ca	1	109702376	110656583	682	-0.0149
6783c198-d4b3-400a-bde5-772ecf0718ca	1	110659537	110660660	2	-1.3522
6783c198-d4b3-400a-bde5-772ecf0718ca	1	110664263	112147704	1260	-0.0055
6783c198-d4b3-400a-bde5-772ecf0718ca	1	112153343	112154768	25	0.6118
6783c198-d4b3-400a-bde5-772ecf0718ca	1	112163334	121705338	5156	-0.0042
6783c198-d4b3-400a-bde5-772ecf0718ca	1	143459641	144432083	129	-0.6989
6783c198-d4b3-400a-bde5-772ecf0718ca	1	144432313	152583051	2312	-0.0171
6783c198-d4b3-400a-bde5-772ecf0718ca	1	152583230	152614064	33	-1.5975
6783c198-d4b3-400a-bde5-772ecf0718ca	1	152614100	152790414	181	0.0008
6783c198-d4b3-400a-bde5-772ecf0718ca	1	152790427	152795471	15	0.6422
6783c198-d4b3-400a-bde5-772ecf0718ca	1	152795487	158545233	3289	-0.0042
6783c198-d4b3-400a-bde5-772ecf0718ca	1	158545295	158573151	37	0.6417
6783c198-d4b3-400a-bde5-772ecf0718ca	1	158575645	164864738	4442	0.003
6783c198-d4b3-400a-bde5-772ecf0718ca	1	164866001	164866448	3	1.8772
6783c198-d4b3-400a-bde5-772ecf0718ca	1	164866680	165795803	869	-0.0227
6783c198-d4b3-400a-bde5-772ecf0718ca	1	165798534	165799470	2	2.1398
6783c198-d4b3-400a-bde5-772ecf0718ca	1	165804765	169247699	2623	-0.0004
6783c198-d4b3-400a-bde5-772ecf0718ca	1	169264736	169272528	7	0.8248
6783c198-d4b3-400a-bde5-772ecf0718ca	1	169273163	174827267	3512	-0.0047
6783c198-d4b3-400a-bde5-772ecf0718ca	1	174827418	174832716	17	-0.6802
6783c198-d4b3-400a-bde5-772ecf0718ca	1	174832734	182113837	4932	-0.0113
6783c198-d4b3-400a-bde5-772ecf0718ca	1	182115841	182118079	5	-1.1591
6783c198-d4b3-400a-bde5-772ecf0718ca	1	182118201	196745743	9689	0.0052
6783c198-d4b3-400a-bde5-772ecf0718ca	1	196758720	196832312	56	0.3609
