GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
f3e0595b-e839-4c34-b467-56b303181376	1	62920	777165	23	-0.1133
f3e0595b-e839-4c34-b467-56b303181376	1	783283	1027585	54	0.8656
f3e0595b-e839-4c34-b467-56b303181376	1	1052992	10610834	5263	0.1789
f3e0595b-e839-4c34-b467-56b303181376	1	10611363	10619664	3	-1.5444
f3e0595b-e839-4c34-b467-56b303181376	1	10621749	12792599	1129	0.1644
f3e0595b-e839-4c34-b467-56b303181376	1	12797714	12868035	30	-0.7485
f3e0595b-e839-4c34-b467-56b303181376	1	12922922	14496017	862	0.1317
f3e0595b-e839-4c34-b467-56b303181376	1	14496420	25256850	6592	0.1814
f3e0595b-e839-4c34-b467-56b303181376	1	25266637	25320198	22	-0.2288
f3e0595b-e839-4c34-b467-56b303181376	1	25320253	33104527	3849	0.1724
f3e0595b-e839-4c34-b467-56b303181376	1	33106376	51563717	10354	0.1473
f3e0595b-e839-4c34-b467-56b303181376	1	51564707	51585116	10	0.7516
f3e0595b-e839-4c34-b467-56b303181376	1	51587466	72284670	14315	0.1449
f3e0595b-e839-4c34-b467-56b303181376	1	72290430	72297687	9	-0.852
f3e0595b-e839-4c34-b467-56b303181376	1	72302735	72345465	48	1.3338
f3e0595b-e839-4c34-b467-56b303181376	1	72346221	103620877	19871	0.1474
f3e0595b-e839-4c34-b467-56b303181376	1	103621165	103717617	5	1.3169
f3e0595b-e839-4c34-b467-56b303181376	1	103760781	105476688	911	0.1364
f3e0595b-e839-4c34-b467-56b303181376	1	105476748	105479753	14	1.5251
f3e0595b-e839-4c34-b467-56b303181376	1	105481433	109684893	2615	0.1551
f3e0595b-e839-4c34-b467-56b303181376	1	109690352	109697556	12	1.3962
f3e0595b-e839-4c34-b467-56b303181376	1	109702376	112153343	1933	0.1689
f3e0595b-e839-4c34-b467-56b303181376	1	112153465	112154768	24	-0.3238
f3e0595b-e839-4c34-b467-56b303181376	1	112163334	114289343	1318	0.1409
f3e0595b-e839-4c34-b467-56b303181376	1	114291004	114291088	2	-1.8977
f3e0595b-e839-4c34-b467-56b303181376	1	114291180	143494500	3807	0.1439
f3e0595b-e839-4c34-b467-56b303181376	1	143541857	152583051	2417	0.7506
f3e0595b-e839-4c34-b467-56b303181376	1	152583230	152614118	35	-1.5972
f3e0595b-e839-4c34-b467-56b303181376	1	152618018	152789447	165	0.7467
f3e0595b-e839-4c34-b467-56b303181376	1	152789463	152801429	37	1.2619
f3e0595b-e839-4c34-b467-56b303181376	1	152804279	158411038	3136	0.7429
f3e0595b-e839-4c34-b467-56b303181376	1	158412810	158498370	60	1.1358
f3e0595b-e839-4c34-b467-56b303181376	1	158502209	163554603	3594	0.729
f3e0595b-e839-4c34-b467-56b303181376	1	163555434	164052247	290	1.1395
f3e0595b-e839-4c34-b467-56b303181376	1	164057282	169017063	3896	-0.738
f3e0595b-e839-4c34-b467-56b303181376	1	169017136	169017973	3	-7.6595
f3e0595b-e839-4c34-b467-56b303181376	1	169020148	188803609	12923	-0.7233
f3e0595b-e839-4c34-b467-56b303181376	1	188807778	188838716	15	1.0264
f3e0595b-e839-4c34-b467-56b303181376	1	188844382	190764276	1306	1.1248
f3e0595b-e839-4c34-b467-56b303181376	1	190765748	191249214	297	0.6859
f3e0595b-e839-4c34-b467-56b303181376	1	191249489	193252785	1359	1.1363
f3e0595b-e839-4c34-b467-56b303181376	1	193255965	195809597	1647	0.729
f3e0595b-e839-4c34-b467-56b303181376	1	195810831	196105695	245	1.1308
f3e0595b-e839-4c34-b467-56b303181376	1	196105818	196745692	379	0.7242
f3e0595b-e839-4c34-b467-56b303181376	1	196745743	196821815	49	-0.0215
f3e0595b-e839-4c34-b467-56b303181376	1	196829435	204489038	4954	0.7209
f3e0595b-e839-4c34-b467-56b303181376	1	204497732	209897717	3768	0.157
f3e0595b-e839-4c34-b467-56b303181376	1	209908268	209910639	3	1.4318
f3e0595b-e839-4c34-b467-56b303181376	1	209913207	215682652	3854	0.1294
f3e0595b-e839-4c34-b467-56b303181376	1	215684851	215688763	14	-0.9569
f3e0595b-e839-4c34-b467-56b303181376	1	215692667	235117260	13279	0.1358
f3e0595b-e839-4c34-b467-56b303181376	1	235124437	235124487	2	-1.857
f3e0595b-e839-4c34-b467-56b303181376	1	235136069	240655348	4175	0.147
f3e0595b-e839-4c34-b467-56b303181376	1	240657216	240657773	3	-1.1475
f3e0595b-e839-4c34-b467-56b303181376	1	240662000	246793852	4248	0.1589
f3e0595b-e839-4c34-b467-56b303181376	1	246794759	246795038	2	1.8958
f3e0595b-e839-4c34-b467-56b303181376	1	246798440	248930189	1214	0.1457
f3e0595b-e839-4c34-b467-56b303181376	2	12784	3158335	2185	0.0876
f3e0595b-e839-4c34-b467-56b303181376	2	3159967	3193425	34	0.4416
f3e0595b-e839-4c34-b467-56b303181376	2	3193576	3197646	19	0.0553
f3e0595b-e839-4c34-b467-56b303181376	2	3199226	3199974	2	2.5422
f3e0595b-e839-4c34-b467-56b303181376	2	3200081	4149435	725	0.0924
f3e0595b-e839-4c34-b467-56b303181376	2	4149699	4182472	51	0.463
f3e0595b-e839-4c34-b467-56b303181376	2	4187192	5183410	788	0.1156
