GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
73e72d55-f8ea-4f06-b439-62a6d5a81164	1	62920	7769713	3827	-0.063
73e72d55-f8ea-4f06-b439-62a6d5a81164	1	7772152	12832455	2684	-0.1154
73e72d55-f8ea-4f06-b439-62a6d5a81164	1	12850124	12867264	6	-2.0867
73e72d55-f8ea-4f06-b439-62a6d5a81164	1	12868035	16583114	2128	-0.077
73e72d55-f8ea-4f06-b439-62a6d5a81164	1	16604834	16949746	108	-0.398
73e72d55-f8ea-4f06-b439-62a6d5a81164	1	16951445	19546296	1864	-0.0668
73e72d55-f8ea-4f06-b439-62a6d5a81164	1	19549531	19550095	3	-3.0706
73e72d55-f8ea-4f06-b439-62a6d5a81164	1	19552832	25256800	3386	-0.0858
73e72d55-f8ea-4f06-b439-62a6d5a81164	1	25256850	25320455	25	0.522
73e72d55-f8ea-4f06-b439-62a6d5a81164	1	25336819	29000083	1517	-0.1234
73e72d55-f8ea-4f06-b439-62a6d5a81164	1	29001131	30904896	1380	-0.0373
73e72d55-f8ea-4f06-b439-62a6d5a81164	1	30912340	32861080	849	-0.126
73e72d55-f8ea-4f06-b439-62a6d5a81164	1	32869438	32877136	2	-1.5842
73e72d55-f8ea-4f06-b439-62a6d5a81164	1	32878772	33298460	202	-0.1182
73e72d55-f8ea-4f06-b439-62a6d5a81164	1	33298800	38666758	3209	-0.053
73e72d55-f8ea-4f06-b439-62a6d5a81164	1	38666759	38666761	3	1.1868
73e72d55-f8ea-4f06-b439-62a6d5a81164	1	38669516	44547821	3399	-0.0696
73e72d55-f8ea-4f06-b439-62a6d5a81164	1	44549461	45997209	701	-0.1113
73e72d55-f8ea-4f06-b439-62a6d5a81164	1	45997300	50915188	2743	-0.0187
73e72d55-f8ea-4f06-b439-62a6d5a81164	1	50918024	54897021	2220	-0.0801
73e72d55-f8ea-4f06-b439-62a6d5a81164	1	54899550	71468378	11961	-0.0242
73e72d55-f8ea-4f06-b439-62a6d5a81164	1	71470021	71649772	126	-3.2577
73e72d55-f8ea-4f06-b439-62a6d5a81164	1	71651498	72303233	387	0.0156
73e72d55-f8ea-4f06-b439-62a6d5a81164	1	72303253	72345465	45	-1.3993
73e72d55-f8ea-4f06-b439-62a6d5a81164	1	72346221	89009572	10929	-0.0226
73e72d55-f8ea-4f06-b439-62a6d5a81164	1	89012275	89012522	2	-2.1763
73e72d55-f8ea-4f06-b439-62a6d5a81164	1	89015841	103616762	9078	-0.0295
73e72d55-f8ea-4f06-b439-62a6d5a81164	1	103620877	103760781	7	-1.2446
73e72d55-f8ea-4f06-b439-62a6d5a81164	1	103760879	105470754	916	-0.0505
73e72d55-f8ea-4f06-b439-62a6d5a81164	1	105476583	105479753	17	0.7061
73e72d55-f8ea-4f06-b439-62a6d5a81164	1	105481433	110833598	3481	-0.0301
73e72d55-f8ea-4f06-b439-62a6d5a81164	1	110834746	110836273	6	-1.8523
73e72d55-f8ea-4f06-b439-62a6d5a81164	1	110836443	110836717	8	-3.0617
73e72d55-f8ea-4f06-b439-62a6d5a81164	1	110836788	110845604	25	-1.5658
73e72d55-f8ea-4f06-b439-62a6d5a81164	1	110849445	112147704	1072	-0.0306
73e72d55-f8ea-4f06-b439-62a6d5a81164	1	112153343	112163440	28	0.4935
73e72d55-f8ea-4f06-b439-62a6d5a81164	1	112163460	113112025	616	-0.0774
73e72d55-f8ea-4f06-b439-62a6d5a81164	1	113112096	147897295	5453	-0.0145
73e72d55-f8ea-4f06-b439-62a6d5a81164	1	147901334	152583051	1524	-0.0652
73e72d55-f8ea-4f06-b439-62a6d5a81164	1	152583230	152618018	36	1.1341
73e72d55-f8ea-4f06-b439-62a6d5a81164	1	152618089	152789570	169	0.0096
73e72d55-f8ea-4f06-b439-62a6d5a81164	1	152789781	152795805	28	0.4094
73e72d55-f8ea-4f06-b439-62a6d5a81164	1	152795862	153561422	567	-0.0124
73e72d55-f8ea-4f06-b439-62a6d5a81164	1	153561551	156792225	1482	-0.1123
73e72d55-f8ea-4f06-b439-62a6d5a81164	1	156795592	184593415	19434	-0.0332
73e72d55-f8ea-4f06-b439-62a6d5a81164	1	184593758	184596084	2	-2.2559
73e72d55-f8ea-4f06-b439-62a6d5a81164	1	184597959	186470404	1129	-0.0157
73e72d55-f8ea-4f06-b439-62a6d5a81164	1	186472644	186472940	2	-2.1126
73e72d55-f8ea-4f06-b439-62a6d5a81164	1	186475787	200063693	8849	-0.0169
73e72d55-f8ea-4f06-b439-62a6d5a81164	1	200065089	205920201	4012	-0.0641
73e72d55-f8ea-4f06-b439-62a6d5a81164	1	205921171	229675422	15809	-0.0238
73e72d55-f8ea-4f06-b439-62a6d5a81164	1	229681109	229684449	3	-2.5867
73e72d55-f8ea-4f06-b439-62a6d5a81164	1	229684709	248930189	13965	-0.0322
73e72d55-f8ea-4f06-b439-62a6d5a81164	2	12784	13844585	10475	-0.0486
73e72d55-f8ea-4f06-b439-62a6d5a81164	2	13846099	13846179	2	-1.9257
73e72d55-f8ea-4f06-b439-62a6d5a81164	2	13847748	24865060	7699	-0.0348
73e72d55-f8ea-4f06-b439-62a6d5a81164	2	24865162	27983974	1463	-0.0964
73e72d55-f8ea-4f06-b439-62a6d5a81164	2	27985547	34476516	4428	-0.0317
73e72d55-f8ea-4f06-b439-62a6d5a81164	2	34476558	34515690	48	0.4715
73e72d55-f8ea-4f06-b439-62a6d5a81164	2	34515732	35750907	866	-0.0401
73e72d55-f8ea-4f06-b439-62a6d5a81164	2	35752724	35762881	7	0.8844
73e72d55-f8ea-4f06-b439-62a6d5a81164	2	35772407	52531615	12116	-0.0428
73e72d55-f8ea-4f06-b439-62a6d5a81164	2	52531630	52554274	28	0.4462
73e72d55-f8ea-4f06-b439-62a6d5a81164	2	52554359	59400017	4784	-0.0404
73e72d55-f8ea-4f06-b439-62a6d5a81164	2	59411121	59416363	2	1.935
73e72d55-f8ea-4f06-b439-62a6d5a81164	2	59417321	90048577	18007	-0.0495
73e72d55-f8ea-4f06-b439-62a6d5a81164	2	90051689	90053630	3	-1.8236
73e72d55-f8ea-4f06-b439-62a6d5a81164	2	90062670	97359885	1031	-0.0611
73e72d55-f8ea-4f06-b439-62a6d5a81164	2	97524284	97545726	9	-1.2263
73e72d55-f8ea-4f06-b439-62a6d5a81164	2	97550415	146106875	29368	-0.0374
73e72d55-f8ea-4f06-b439-62a6d5a81164	2	146106889	146109366	21	-1.5345
73e72d55-f8ea-4f06-b439-62a6d5a81164	2	146120238	152957719	4213	-0.0252
73e72d55-f8ea-4f06-b439-62a6d5a81164	2	152958576	152958815	2	-4.3424
73e72d55-f8ea-4f06-b439-62a6d5a81164	2	152963424	207090434	32426	-0.0289
73e72d55-f8ea-4f06-b439-62a6d5a81164	2	207092513	207092671	3	-2.023
73e72d55-f8ea-4f06-b439-62a6d5a81164	2	207100946	207490231	276	-0.0451
73e72d55-f8ea-4f06-b439-62a6d5a81164	2	207490454	207494612	16	-2.2154
73e72d55-f8ea-4f06-b439-62a6d5a81164	2	207494752	228397576	13568	-0.0311
73e72d55-f8ea-4f06-b439-62a6d5a81164	2	228399698	228401658	2	-1.9005
73e72d55-f8ea-4f06-b439-62a6d5a81164	2	228404140	234596780	3854	-0.0609
73e72d55-f8ea-4f06-b439-62a6d5a81164	2	234597219	234597242	2	-1.6298
73e72d55-f8ea-4f06-b439-62a6d5a81164	2	234600712	242147305	4631	-0.0596
73e72d55-f8ea-4f06-b439-62a6d5a81164	3	20930	6604856	5806	-0.2825
73e72d55-f8ea-4f06-b439-62a6d5a81164	3	6609441	6611645	23	-1.9725
