GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
26a14093-45da-4f34-b8c9-b2f09c44f845	1	62920	783283	24	0.3294
26a14093-45da-4f34-b8c9-b2f09c44f845	1	787937	864015	22	-0.256
26a14093-45da-4f34-b8c9-b2f09c44f845	1	864083	3308771	704	-0.3849
26a14093-45da-4f34-b8c9-b2f09c44f845	1	3309193	16504325	7883	-0.2111
26a14093-45da-4f34-b8c9-b2f09c44f845	1	16505368	16955930	118	-0.5547
26a14093-45da-4f34-b8c9-b2f09c44f845	1	16956580	21581921	3102	-0.1949
26a14093-45da-4f34-b8c9-b2f09c44f845	1	21590741	21771173	117	0.2451
26a14093-45da-4f34-b8c9-b2f09c44f845	1	21775623	23005076	785	-0.1883
26a14093-45da-4f34-b8c9-b2f09c44f845	1	23011270	23326452	164	0.2774
26a14093-45da-4f34-b8c9-b2f09c44f845	1	23330157	25256850	1082	-0.2072
26a14093-45da-4f34-b8c9-b2f09c44f845	1	25266637	25320253	23	-1.732
26a14093-45da-4f34-b8c9-b2f09c44f845	1	25320455	32565141	3627	-0.2027
26a14093-45da-4f34-b8c9-b2f09c44f845	1	32566811	32906586	133	0.3112
26a14093-45da-4f34-b8c9-b2f09c44f845	1	32911416	47860749	8568	-0.2035
26a14093-45da-4f34-b8c9-b2f09c44f845	1	47862978	72280850	16352	-0.2502
26a14093-45da-4f34-b8c9-b2f09c44f845	1	72280864	72303233	17	-0.0702
26a14093-45da-4f34-b8c9-b2f09c44f845	1	72303253	72345450	44	-1.3313
26a14093-45da-4f34-b8c9-b2f09c44f845	1	72345465	105470754	20939	-0.2568
26a14093-45da-4f34-b8c9-b2f09c44f845	1	105476583	105479722	15	0.5311
26a14093-45da-4f34-b8c9-b2f09c44f845	1	105479738	111769532	4231	-0.2314
26a14093-45da-4f34-b8c9-b2f09c44f845	1	111769589	111769929	3	0.9732
26a14093-45da-4f34-b8c9-b2f09c44f845	1	111770456	112147704	362	-0.2168
26a14093-45da-4f34-b8c9-b2f09c44f845	1	112153343	112154768	25	0.3593
26a14093-45da-4f34-b8c9-b2f09c44f845	1	112163334	152583319	7600	-0.2343
26a14093-45da-4f34-b8c9-b2f09c44f845	1	152583408	152614064	30	-1.1943
26a14093-45da-4f34-b8c9-b2f09c44f845	1	152614100	152787202	167	-0.2316
26a14093-45da-4f34-b8c9-b2f09c44f845	1	152789447	152795883	35	0.2366
26a14093-45da-4f34-b8c9-b2f09c44f845	1	152796094	161374707	5190	-0.2033
26a14093-45da-4f34-b8c9-b2f09c44f845	1	161383573	161385279	3	-1.4402
26a14093-45da-4f34-b8c9-b2f09c44f845	1	161385844	175476154	10048	-0.2435
26a14093-45da-4f34-b8c9-b2f09c44f845	1	175477962	178888099	2207	-0.2956
26a14093-45da-4f34-b8c9-b2f09c44f845	1	178891779	194479104	10524	-0.2567
26a14093-45da-4f34-b8c9-b2f09c44f845	1	194482281	194485888	2	1.334
26a14093-45da-4f34-b8c9-b2f09c44f845	1	194487886	196745743	1449	-0.2746
26a14093-45da-4f34-b8c9-b2f09c44f845	1	196758720	196846661	61	-1.5867
26a14093-45da-4f34-b8c9-b2f09c44f845	1	196847600	198220288	757	-0.2671
26a14093-45da-4f34-b8c9-b2f09c44f845	1	198220335	208022736	6412	-0.2221
26a14093-45da-4f34-b8c9-b2f09c44f845	1	208024537	209897717	1593	-0.2656
26a14093-45da-4f34-b8c9-b2f09c44f845	1	209908268	209908720	2	-2.0062
26a14093-45da-4f34-b8c9-b2f09c44f845	1	209910639	210944431	801	-0.2617
26a14093-45da-4f34-b8c9-b2f09c44f845	1	210948465	212785795	1110	-0.2159
26a14093-45da-4f34-b8c9-b2f09c44f845	1	212785953	222193326	6684	-0.2756
26a14093-45da-4f34-b8c9-b2f09c44f845	1	222201492	222203662	2	-2.7719
26a14093-45da-4f34-b8c9-b2f09c44f845	1	222208792	245473108	16194	-0.2549
26a14093-45da-4f34-b8c9-b2f09c44f845	1	245473737	245483602	11	-2.8331
