GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
0c9e9403-59c4-4c9a-aac2-17bc34947341	1	62920	1716451	216	-0.415
0c9e9403-59c4-4c9a-aac2-17bc34947341	1	1718623	1741164	9	-2.9281
0c9e9403-59c4-4c9a-aac2-17bc34947341	1	1756148	2342007	192	-0.4633
0c9e9403-59c4-4c9a-aac2-17bc34947341	1	2348984	2350915	3	1.7491
0c9e9403-59c4-4c9a-aac2-17bc34947341	1	2351678	72303233	42007	-0.3217
0c9e9403-59c4-4c9a-aac2-17bc34947341	1	72303253	72345465	45	-1.1061
0c9e9403-59c4-4c9a-aac2-17bc34947341	1	72346221	81422771	5716	-0.3344
0c9e9403-59c4-4c9a-aac2-17bc34947341	1	81422917	81422920	2	2.3788
0c9e9403-59c4-4c9a-aac2-17bc34947341	1	81422982	105079911	14830	-0.3332
0c9e9403-59c4-4c9a-aac2-17bc34947341	1	105080318	105080931	2	2.1148
0c9e9403-59c4-4c9a-aac2-17bc34947341	1	105084196	105478597	222	-0.3271
0c9e9403-59c4-4c9a-aac2-17bc34947341	1	105478759	105479231	6	-2.0492
0c9e9403-59c4-4c9a-aac2-17bc34947341	1	105479468	109684695	2619	-0.3228
0c9e9403-59c4-4c9a-aac2-17bc34947341	1	109684893	109697556	13	1.3874
0c9e9403-59c4-4c9a-aac2-17bc34947341	1	109702376	143754062	7186	-0.3129
0c9e9403-59c4-4c9a-aac2-17bc34947341	1	143754077	143754192	2	2.4666
0c9e9403-59c4-4c9a-aac2-17bc34947341	1	143754798	152582700	2301	-0.3019
0c9e9403-59c4-4c9a-aac2-17bc34947341	1	152583051	152613762	32	1.0929
0c9e9403-59c4-4c9a-aac2-17bc34947341	1	152613802	152778761	160	-0.2836
0c9e9403-59c4-4c9a-aac2-17bc34947341	1	152782154	152796224	45	0.4188
0c9e9403-59c4-4c9a-aac2-17bc34947341	1	152801429	170206219	11859	-0.3134
0c9e9403-59c4-4c9a-aac2-17bc34947341	1	170207728	170361359	143	0.0429
0c9e9403-59c4-4c9a-aac2-17bc34947341	1	170361700	174828195	2657	-0.3078
0c9e9403-59c4-4c9a-aac2-17bc34947341	1	174828247	174828310	2	2.2277
0c9e9403-59c4-4c9a-aac2-17bc34947341	1	174828367	193186662	12143	-0.3243
0c9e9403-59c4-4c9a-aac2-17bc34947341	1	193187149	193187218	4	1.9966
0c9e9403-59c4-4c9a-aac2-17bc34947341	1	193190593	196740316	2372	-0.3223
