GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
586958fe-f0d2-466d-be89-af58aea6dc2c	1	62920	968658	66	0.0613
586958fe-f0d2-466d-be89-af58aea6dc2c	1	969227	1094939	20	-0.6684
586958fe-f0d2-466d-be89-af58aea6dc2c	1	1100599	2065208	261	-0.1061
586958fe-f0d2-466d-be89-af58aea6dc2c	1	2065483	2465735	118	-0.2947
586958fe-f0d2-466d-be89-af58aea6dc2c	1	2484985	3259896	258	-0.1389
586958fe-f0d2-466d-be89-af58aea6dc2c	1	3260916	7773370	3107	-0.0504
586958fe-f0d2-466d-be89-af58aea6dc2c	1	7773425	12779433	2655	-0.0968
586958fe-f0d2-466d-be89-af58aea6dc2c	1	12792599	12867264	30	-2.1427
586958fe-f0d2-466d-be89-af58aea6dc2c	1	12868035	16877002	2184	-0.0561
586958fe-f0d2-466d-be89-af58aea6dc2c	1	16883108	16935752	51	-0.5899
586958fe-f0d2-466d-be89-af58aea6dc2c	1	16949746	17613939	456	-0.0675
586958fe-f0d2-466d-be89-af58aea6dc2c	1	17619688	18847120	970	-0.0156
586958fe-f0d2-466d-be89-af58aea6dc2c	1	18848253	18860632	5	0.7513
586958fe-f0d2-466d-be89-af58aea6dc2c	1	18860749	19256867	232	-0.0147
586958fe-f0d2-466d-be89-af58aea6dc2c	1	19257510	25277975	3603	-0.0807
586958fe-f0d2-466d-be89-af58aea6dc2c	1	25278567	25320455	13	0.6533
586958fe-f0d2-466d-be89-af58aea6dc2c	1	25336819	29145923	1569	-0.1259
586958fe-f0d2-466d-be89-af58aea6dc2c	1	29146182	30765649	1231	-0.0313
586958fe-f0d2-466d-be89-af58aea6dc2c	1	30768199	33518706	1271	-0.1007
586958fe-f0d2-466d-be89-af58aea6dc2c	1	33520233	34811039	1000	-0.0378
586958fe-f0d2-466d-be89-af58aea6dc2c	1	34814188	36569244	788	-0.1026
586958fe-f0d2-466d-be89-af58aea6dc2c	1	36569987	37426949	602	-0.018
586958fe-f0d2-466d-be89-af58aea6dc2c	1	37427023	37433067	3	-0.8358
586958fe-f0d2-466d-be89-af58aea6dc2c	1	37434572	38662929	691	-0.0557
586958fe-f0d2-466d-be89-af58aea6dc2c	1	38666758	38666761	4	0.7312
586958fe-f0d2-466d-be89-af58aea6dc2c	1	38669516	38922124	178	-0.0419
586958fe-f0d2-466d-be89-af58aea6dc2c	1	38925542	38930398	5	-0.8036
586958fe-f0d2-466d-be89-af58aea6dc2c	1	38933197	40024990	524	-0.091
586958fe-f0d2-466d-be89-af58aea6dc2c	1	40025165	40569010	288	-0.1742
586958fe-f0d2-466d-be89-af58aea6dc2c	1	40572498	41654173	651	-0.0615
586958fe-f0d2-466d-be89-af58aea6dc2c	1	41658206	42004603	270	-0.5774
586958fe-f0d2-466d-be89-af58aea6dc2c	1	42005270	47441932	2924	-0.0899
586958fe-f0d2-466d-be89-af58aea6dc2c	1	47441990	48755631	963	-0.0093
586958fe-f0d2-466d-be89-af58aea6dc2c	1	48755684	52003922	1483	-0.0837
586958fe-f0d2-466d-be89-af58aea6dc2c	1	52005042	52008801	3	-0.9545
586958fe-f0d2-466d-be89-af58aea6dc2c	1	52009771	53273275	685	-0.1047
586958fe-f0d2-466d-be89-af58aea6dc2c	1	53273344	59994583	5109	-0.0562
586958fe-f0d2-466d-be89-af58aea6dc2c	1	59994604	62942489	2045	-0.0847
586958fe-f0d2-466d-be89-af58aea6dc2c	1	62944136	62944948	2	-2.4848
586958fe-f0d2-466d-be89-af58aea6dc2c	1	62945637	70452130	5244	-0.0901
586958fe-f0d2-466d-be89-af58aea6dc2c	1	70453039	70601370	123	0.1043
586958fe-f0d2-466d-be89-af58aea6dc2c	1	70603424	72303233	1043	-0.1153
586958fe-f0d2-466d-be89-af58aea6dc2c	1	72303253	72345450	44	-1.4651
586958fe-f0d2-466d-be89-af58aea6dc2c	1	72345465	75585159	1931	-0.1262
586958fe-f0d2-466d-be89-af58aea6dc2c	1	75589078	75589169	2	-1.8937
586958fe-f0d2-466d-be89-af58aea6dc2c	1	75593824	103616762	18081	-0.1013
586958fe-f0d2-466d-be89-af58aea6dc2c	1	103620877	103717410	5	-1.0001
586958fe-f0d2-466d-be89-af58aea6dc2c	1	103717617	105476614	920	-0.1285
