GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
6c2af050-1558-41f9-b865-ebcfd83d44bf	1	62920	668210	21	0.3798
6c2af050-1558-41f9-b865-ebcfd83d44bf	1	771719	3298168	715	-0.4074
6c2af050-1558-41f9-b865-ebcfd83d44bf	1	3301765	16784801	7904	-0.2155
6c2af050-1558-41f9-b865-ebcfd83d44bf	1	16785064	16999460	82	-0.6767
6c2af050-1558-41f9-b865-ebcfd83d44bf	1	17003142	25256850	5181	-0.215
6c2af050-1558-41f9-b865-ebcfd83d44bf	1	25266637	25269914	4	0.6678
6c2af050-1558-41f9-b865-ebcfd83d44bf	1	25273814	25276440	6	-0.0257
6c2af050-1558-41f9-b865-ebcfd83d44bf	1	25277975	25301974	8	0.7379
6c2af050-1558-41f9-b865-ebcfd83d44bf	1	25318693	26450977	532	-0.2426
6c2af050-1558-41f9-b865-ebcfd83d44bf	1	26455064	26455812	2	-3.4228
6c2af050-1558-41f9-b865-ebcfd83d44bf	1	26456189	50446079	13160	-0.2295
6c2af050-1558-41f9-b865-ebcfd83d44bf	1	50449796	50474090	19	-2.5943
6c2af050-1558-41f9-b865-ebcfd83d44bf	1	50474269	51011416	227	-1.3133
6c2af050-1558-41f9-b865-ebcfd83d44bf	1	51011662	59756708	5986	-0.2463
6c2af050-1558-41f9-b865-ebcfd83d44bf	1	59757553	59757660	2	-2.5673
6c2af050-1558-41f9-b865-ebcfd83d44bf	1	59758172	72303233	8523	-0.2789
6c2af050-1558-41f9-b865-ebcfd83d44bf	1	72303253	72345465	45	1.046
6c2af050-1558-41f9-b865-ebcfd83d44bf	1	72346221	85950054	8781	-0.2909
6c2af050-1558-41f9-b865-ebcfd83d44bf	1	85950172	85997467	39	-0.8497
6c2af050-1558-41f9-b865-ebcfd83d44bf	1	85997957	112147704	16468	-0.2837
6c2af050-1558-41f9-b865-ebcfd83d44bf	1	112153343	112154619	23	-1.0721
6c2af050-1558-41f9-b865-ebcfd83d44bf	1	112154754	152583230	7525	-0.2552
